video_id,frame_index,timestamp_seconds,mp_detected,yolo_detected,mp_confidence,yolo_confidence,mp_failure,yolo_failure,mp_inference_ms,yolo_inference_ms,mp_total_ms,yolo_total_ms,mp_ear,mp_ear_left,mp_ear_right,mp_mar,mp_pitch,mp_yaw,mp_roll,yolo_ear,yolo_ear_left,yolo_ear_right,yolo_mar,yolo_pitch,yolo_yaw,yolo_roll,yolo_filtered_ear,yolo_filtered_ear_left,yolo_filtered_ear_right,yolo_filtered_mar,yolo_filtered_pitch,yolo_filtered_yaw,yolo_filtered_roll
video_01,0,0.0,1,1,1.0,0.8233912587165833,,,5.426472,58.586166,6.585728,59.027789,0.44826772316568736,0.7005438578205122,0.1959915885108625,0.036169543667266706,-153.25438696569694,-44.85736361177376,-19.15880918765875,,,,,-167.7194643296399,-39.31207196752923,-2.618227485693151,,,,,,,
video_01,1,0.05548474057414176,1,1,1.0,0.8287631869316101,,,3.477392,56.299597,4.376699,56.73474,0.4290457011868104,0.6705000419949542,0.1875913603786666,0.028488890434471524,-152.14328031175737,-44.77341935095066,-19.835154945643698,,,,,-168.0434931693548,-38.71579174970475,-2.2362023988618205,,,,,,,
video_01,2,0.11096948114828352,1,1,1.0,0.8295800685882568,,,4.232627,58.14358,4.860876,58.616694,0.434216902845205,0.6484675344771057,0.21996627121330423,0.03401772862072977,-152.82468279324618,-44.22807040857805,-19.97190386168616,,,,,-167.83692563154543,-38.89357260055757,-2.2078228719288666,,,,,,,
video_01,3,0.16645422172242527,1,1,1.0,0.829705536365509,,,3.940319,59.863803,4.818211,60.359627,0.4890579242547994,0.7581718640675515,0.21994398444204719,0.02319324684684975,-151.05130220691495,-43.79893211663743,-21.49010154745212,,,,,-167.78218065638822,-39.4902798983122,-2.9008533491327486,,,,,,,
video_01,4,0.22193896229656704,1,1,1.0,0.8314067721366882,,,4.036177,61.232582,4.885264,61.742552,0.4179833326954885,0.6667388488476409,0.16922781654333605,0.047989071577722385,-151.34517350434956,-43.889478499489215,-20.88010458709394,,,,,-168.4800434465026,-38.83477703622659,-2.496249829401452,,,,,,,
video_01,5,0.2774237028707088,1,1,1.0,0.8309062123298645,,,4.068747,59.82331,5.119965,60.332529,0.5067028291487737,0.8394783731273633,0.17392728517018427,0.021732210723509355,-149.44212913389475,-43.66232453281059,-23.29295409845204,,,,,-168.52883695556773,-38.5397185494615,-2.445805877083648,,,,,,,
video_01,6,0.33290844344485054,1,1,1.0,0.8316229581832886,,,3.343593,60.345175,4.128315,60.936966,0.4217373524633215,0.6585902867693513,0.18488441815729173,0.05128853480538203,-148.80188138245697,-42.387741874621334,-22.115818983693128,,,,,-168.48866429349994,-38.73638467211698,-2.3964424331531284,,,,,,,
video_01,7,0.3883931840189923,1,1,1.0,0.829886257648468,,,4.090595,60.231435,5.146466,60.728501,0.49033404663208957,0.7926213420700927,0.18804675119408645,0.02720721582825702,-148.7176366810644,-42.46828326295279,-22.284634934538264,,,,,-168.8420246274695,-38.83481995141564,-2.227800035314818,,,,,,,
video_01,8,0.4438779245931341,1,1,1.0,0.833832323551178,,,3.342547,60.363148,4.119705,60.867808,0.42583138289479433,0.6224236257567314,0.22923914003285728,0.03613291882076869,-147.6472933557124,-42.20476267953058,-22.49965397313927,,,,,-168.9544915413759,-38.749336712819684,-2.6633321134123955,,,,,,,
video_01,9,0.4993626651672758,1,1,1.0,0.8320431709289551,,,4.040676,61.677058,4.896694,62.163025,0.42146418761617366,0.6189847535535044,0.2239436216788429,0.036832251513116115,-149.50661310853022,-41.51920783043627,-21.820371671819288,,,,,-168.64048923594348,-39.038416441207076,-3.1825000201946203,,,,,,,
