indicator,count,bias,lower,upper,mae,rmse,mp_jitter,yolo_jitter
ear,0,,,,,,0.018260984457380752,
mar,0,,,,,,0.00247919000479695,
pitch,17019,5.975938460874702,-76.75320859612799,88.7050855178774,33.7445274595009,42.62846007727948,0.9438196394228271,0.47838309148217206
yaw,17019,-6.83495255082152,-38.44462563315495,24.774720531511907,10.186436138818097,17.515530704349416,0.9862784723970393,0.38140388247517976
roll,17019,10.631189715051484,-25.492327988239154,46.75470741834212,14.163020575864957,21.276292753488235,0.6383907253689323,0.3707050033569237
