fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
3,train,dataset,60,mixed,1552,93120,85266,0.9156572164948453,93,1372
3,train,dataset,150,alert,2568,385200,37824,0.09819314641744548,1949,81
3,train,dataset,150,distraction,642,96300,68009,0.7062201453790239,87,225
3,train,dataset,150,fatigue,51,7650,5072,0.6630065359477124,0,2
3,train,dataset,150,mixed,1568,235200,212068,0.9016496598639456,79,1335
3,validation,dataset,30,alert,993,29790,4916,0.16502181940248406,777,111
3,validation,dataset,30,distraction,152,4560,1804,0.3956140350877193,75,41
3,validation,dataset,30,fatigue,13,390,0,0.0,13,0
3,validation,dataset,30,mixed,64,1920,1830,0.953125,3,61
3,validation,dataset,60,alert,986,59160,9772,0.1651791751183232,738,78
3,validation,dataset,60,distraction,152,9120,3598,0.3945175438596491,69,31
3,validation,dataset,60,fatigue,13,780,0,0.0,13,0
3,validation,dataset,60,mixed,65,3900,3610,0.9256410256410257,4,60
3,validation,dataset,150,alert,969,145350,24434,0.1681045751633987,653,44
3,validation,dataset,150,distraction,145,21750,8685,0.3993103448275862,54,15
3,validation,dataset,150,fatigue,11,1650,0,0.0,11,0
3,validation,dataset,150,mixed,73,10950,8561,0.7818264840182648,14,53
4,test,dataset,30,alert,960,28800,5367,0.18635416666666665,710,115
4,test,dataset,30,distraction,141,4230,1443,0.34113475177304964,78,30
4,test,dataset,30,fatigue,4,120,0,0.0,4,0
4,test,dataset,30,mixed,1013,30390,30139,0.9917407041790063,6,1000
4,test,dataset,60,alert,957,57420,10664,0.18571926158133054,666,80
4,test,dataset,60,distraction,138,8280,2871,0.3467391304347826,68,20
4,test,dataset,60,mixed,1021,61260,60301,0.984345412993797,12,999
4,test,dataset,150,alert,946,141900,27022,0.19042988019732207,555,46
4,test,dataset,150,distraction,130,19500,6978,0.35784615384615387,53,8
4,test,dataset,150,mixed,1034,155100,150227,0.9685815602836879,27,992
