rank,model,model_id,representation,window_size_frames,completed_folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,accuracy_mean,precision_non_attention_mean,recall_non_attention_mean,f1_non_attention_mean,best_fold,best_fold_macro_f1,worst_fold,worst_fold_macro_f1
1,Random Forest,random_forest,temporal_behavior_v1,60,4,0.600507406737072,0.028752882869462305,0.5920374821498441,0.8558649714509585,0.33529340579756156,0.24842645958187198,0.28148010027805426,4,0.6351751159443468,3,0.5727987290487291
2,XGBoost,xgboost,temporal_behavior_v1,60,4,0.5995847931108452,0.027581709676977796,0.6080682031220266,0.8289451759262394,0.2905503958070254,0.3192335453979518,0.2967058056099152,1,0.6365358628547203,3,0.5752055024324778
3,MiniRocket + Ridge,minirocket_ridge,R0,60,4,0.5882078296143125,0.020686420058475936,0.6122549087337567,0.7994755016775601,0.251045651159981,0.36748110183968946,0.2935269725907758,1,0.6154600406053894,3,0.5713456377676762
4,Shapelet + Ridge,random_shapelet_ridge,R0,60,4,0.5662722856179397,0.025486657068538403,0.6299679132974827,0.7332624605983273,0.2175246194427779,0.4985616016605805,0.30029212642040587,3,0.5891065212621492,1,0.5421882584839882
5,MiniRocket + Ridge,minirocket_ridge,R0,30,4,0.5645200676847143,0.02140188567728817,0.6013634313997094,0.7553176914361018,0.21417832466312553,0.39965383263946874,0.27667111600097016,1,0.5862030207235687,2,0.5372281668768062
6,MiniRocket + Ridge,minirocket_ridge,R0,150,4,0.5617703053875017,0.020921964468339226,0.5713239911037158,0.8180224948029208,0.22402477953127492,0.25278684775749577,0.22675409901068616,3,0.5737971608762508,4,0.5304557440589656
7,SVM,svm,temporal_behavior_v1,60,4,0.5514359175437396,0.025596022545278364,0.58741961907073,0.749500330771286,0.19401095652576442,0.3763105753926874,0.25385261167015444,1,0.581977771299214,3,0.5270419481698094
8,Regressão logística,logistic_regression,temporal_behavior_v1,60,4,0.5399048894526501,0.03273589464452439,0.5816433605702387,0.7249775557507167,0.18363905065884056,0.395916059848352,0.24853125396142467,1,0.5698788606351631,2,0.49356064993734405
