source,scientific_status,run_id,family,model,representation,window_size_frames,fold,seed,balancing,subset,scope,label,metric,value
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,classical,fixed_rules,R0_flat,30,1,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,validation,global,,accuracy,0.2514767932489452
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,validation,global,,balanced_accuracy,0.28709078334926297
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,validation,global,,macro_f1,0.15464158959844057
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,test,global,,accuracy,0.1184
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,test,global,,balanced_accuracy,0.20947757991847243
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,test,global,,macro_f1,0.07888603309870314
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,classical,fixed_rules,R0_flat,30,2,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,validation,global,,accuracy,0.31951640759930916
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,validation,global,,balanced_accuracy,0.29135969329163797
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,validation,global,,macro_f1,0.20159587680079483
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,test,global,,accuracy,0.10971579643093192
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,test,global,,balanced_accuracy,0.1602299151533287
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,test,global,,macro_f1,0.07246823747235522
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,classical,fixed_rules,R0_flat,30,3,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,validation,global,,accuracy,0.2532981530343008
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,validation,global,,balanced_accuracy,0.24628075119234258
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,validation,global,,macro_f1,0.15630384642392225
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,test,global,,accuracy,0.26334841628959277
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,test,global,,balanced_accuracy,0.2886081560283688
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,test,global,,macro_f1,0.1715435684647303
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,classical,fixed_rules,R0_flat,30,4,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,validation,global,,accuracy,0.10932203389830508
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,validation,global,,balanced_accuracy,0.2083789904302725
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,validation,global,,macro_f1,0.07627118644067797
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,test,global,,accuracy,0.1408083441981747
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,test,global,,balanced_accuracy,0.21581497438695085
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,test,global,,macro_f1,0.12844578121161074
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,classical,fixed_rules,R0_flat,60,1,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,validation,global,,accuracy,0.11508951406649616
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,validation,global,,balanced_accuracy,0.26890933761418795
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,validation,global,,macro_f1,0.08540685767629246
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,test,global,,accuracy,0.06330472103004292
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,test,global,,balanced_accuracy,0.1791537313465261
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,test,global,,macro_f1,0.04329944200711841
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,classical,fixed_rules,R0_flat,60,2,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,validation,global,,accuracy,0.15377932232841007
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,validation,global,,balanced_accuracy,0.25764789372401203
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,validation,global,,macro_f1,0.11780387058868014
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,test,global,,accuracy,0.048666666666666664
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,test,global,,balanced_accuracy,0.15911769487116964
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,test,global,,macro_f1,0.03791962327975197
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,classical,fixed_rules,R0_flat,60,3,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,validation,global,,accuracy,0.10933333333333334
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,validation,global,,balanced_accuracy,0.21064868635201117
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,validation,global,,macro_f1,0.08214842390783349
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,test,global,,accuracy,0.1415525114155251
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,test,global,,balanced_accuracy,0.3724501385670801
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,test,global,,macro_f1,0.10380215444091079
G1,reused_valid,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,classical,fixed_rules,R0_flat,60,4,42,none,all,cost,,train_seconds,0.0
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,validation,global,,accuracy,0.8562770562770563
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,validation,global,,balanced_accuracy,0.3881365236203946
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,validation,global,,macro_f1,0.39988943007501954
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,test,global,,accuracy,0.8075916230366492
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,test,global,,balanced_accuracy,0.49757791658533407
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,test,global,,macro_f1,0.5036017669045192
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,classical,random_forest,R0_flat,150,1,42,none,all,cost,,train_seconds,1.7757083000033163
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,validation,global,,accuracy,0.8646551724137931
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,validation,global,,balanced_accuracy,0.4203449259315181
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,validation,global,,macro_f1,0.3969779290209689
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,test,global,,accuracy,0.8951656708310701
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,test,global,,balanced_accuracy,0.7805855917510722
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,test,global,,macro_f1,0.5268410664529023
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,classical,random_forest,R0_flat,150,2,42,none,all,cost,,train_seconds,1.365466799998103
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,validation,global,,accuracy,0.8088888888888889
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,validation,global,,balanced_accuracy,0.3892767754409689
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,validation,global,,macro_f1,0.38891123698525387
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,test,global,,accuracy,0.8961821835231079
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,test,global,,balanced_accuracy,0.4282558112746792
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,test,global,,macro_f1,0.42956283538781137
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,classical,random_forest,R0_flat,150,3,42,none,all,cost,,train_seconds,1.7034227000003739
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,validation,global,,accuracy,0.8443438914027149
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,validation,global,,balanced_accuracy,0.4302713254809063
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,validation,global,,macro_f1,0.40761918125372715
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,test,global,,accuracy,0.7871747211895911
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,test,global,,balanced_accuracy,0.5505204098227354
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,test,global,,macro_f1,0.36333543224306974
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,classical,random_forest,R0_flat,150,4,42,none,all,cost,,train_seconds,1.954322100002173
