model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
svm,temporal_behavior_v1,3,test,1500,0.8606666666666667,0.4678127286027798,0.4314084710445421,0.4314084710445421,"[""alert"", ""fatigue"", ""distraction""]",[],11.337166324999998,False,final__screening__feature__svm__temporal_behavior_v1__w60__fold_3__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,6a7969a318665f7e16fbbc3380454ac0709a2a5e4c7d893f57ef8809c7af1711,new,pending_probability_support,pending_confirmation
svm,temporal_behavior_v1,4,validation,1125,0.7715555555555556,0.424187527448397,0.3831390620764435,0.3831390620764435,"[""alert"", ""fatigue"", ""distraction""]",[],11.626456447999772,False,final__screening__feature__svm__temporal_behavior_v1__w60__fold_4__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,5adb821d8f8250d8e6180b419e45b93dac3d37a2d12c5e6ba09c48813aec38c1,new,pending_probability_support,pending_confirmation
svm,temporal_behavior_v1,4,test,1095,0.7114155251141553,0.5465335514061151,0.5361110683082423,0.3574073788721615,"[""alert"", ""distraction""]","[""fatigue""]",11.687583881000137,False,final__screening__feature__svm__temporal_behavior_v1__w60__fold_4__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,5adb821d8f8250d8e6180b419e45b93dac3d37a2d12c5e6ba09c48813aec38c1,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,1,validation,1180,0.8516949152542372,0.3978011542114106,0.4100655112142924,0.4100655112142924,"[""alert"", ""fatigue"", ""distraction""]",[],9.004169854999418,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,df2538b5688a5100c2a5ef2747e9c32e0d5edad7cf897d31e8a85b5104abdda2,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,1,test,1534,0.8011734028683182,0.4917319830306793,0.4965213132941564,0.4965213132941564,"[""alert"", ""fatigue"", ""distraction""]",[],9.077812767000069,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_1__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,df2538b5688a5100c2a5ef2747e9c32e0d5edad7cf897d31e8a85b5104abdda2,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,2,validation,1173,0.887468030690537,0.3987654320987654,0.3959014161220044,0.3959014161220044,"[""alert"", ""fatigue"", ""distraction""]",[],8.995351868999933,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_2__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,1986237caaea5e4c525d11a6c473c0a8601f09c01f3175535af442caa5715d42,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,2,test,1864,0.8953862660944206,0.7616341844393801,0.7846780123339658,0.5231186748893105,"[""alert"", ""distraction""]","[""fatigue""]",9.069371171000057,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_2__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,1986237caaea5e4c525d11a6c473c0a8601f09c01f3175535af442caa5715d42,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,3,validation,1151,0.8140747176368376,0.3835450695704779,0.3858618233618234,0.3858618233618234,"[""alert"", ""fatigue"", ""distraction""]",[],8.952653230000578,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_3__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,95b1262df722b481aff176d0bcd0e82f4a7b68b2ef273d40321814487fe33ce5,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,3,test,1500,0.894,0.4308226216602223,0.4321082803262321,0.4321082803262321,"[""alert"", ""fatigue"", ""distraction""]",[],9.026371048000328,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_3__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,95b1262df722b481aff176d0bcd0e82f4a7b68b2ef273d40321814487fe33ce5,new,pending_probability_support,pending_confirmation
random_forest,temporal_behavior_v1,4,validation,1125,0.8702222222222222,0.4418917435221783,0.4329131989544748,0.4329131989544748,"[""alert"", ""fatigue"", ""distraction""]",[],9.037997913999789,False,final__screening__feature__random_forest__temporal_behavior_v1__w60__fold_4__seed_42,screening,feature,classical,42,temporal_behavior_v1,60,class_weights,6757e95718eda232ef7e00dc8447c2f2f2a3710de872be2cc00e44e572ed3046,new,pending_probability_support,pending_confirmation
