rank,model,model_id,representation,window_size_frames,completed_folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,accuracy_mean,fatigue_f1_mean,training_seconds_total
1,Random Forest,random_forest,temporal_behavior_v1,60,4,0.40618548741314875,0.02039802761483119,0.40550084985070806,0.8558649714509585,0.0,35.99017286799972
2,XGBoost,xgboost,temporal_behavior_v1,60,4,0.4054915701812556,0.01700774215659609,0.41947843628809833,0.8289451759262394,0.0,40.089089469999635
3,MiniRocket + Ridge,minirocket_ridge,R0,60,4,0.39677661803525155,0.012898117988563041,0.422431369038601,0.7990401507255851,0.0,16.372981925000204
4,MiniRocket + Ridge,minirocket_ridge,R0,30,4,0.3837546216931639,0.01898066192670669,0.41734786059291207,0.7538092599722425,0.014285714285714285,24.18860927100104
5,Shapelet + Ridge,random_shapelet_ridge,R0,60,4,0.38331892141999313,0.019254981842232143,0.47356006219926755,0.7178320193182984,0.00816326530612245,4575.246977903
6,Regressão logística,logistic_regression,temporal_behavior_v1,60,4,0.3727562461485413,0.03280615574504873,0.436181640725272,0.7226172006504483,0.025,105.85603869600072
7,MiniRocket + Ridge,minirocket_ridge,R0,150,4,0.3714085766609606,0.011416905131105624,0.378533657477051,0.8153987408804854,0.0,26.787288082001396
8,SVM,svm,temporal_behavior_v1,60,4,0.3696918736257051,0.016912753497496578,0.396949721024553,0.7467281497298691,0.0,43.89586950299963
