video_id,fps,window_size_frames,duration_seconds
video_01,18.02297333739436,30,1.6645422172242528
video_01,18.02297333739436,60,3.3290844344485055
video_01,18.02297333739436,150,8.322711086121263
video_02,15.715857300015715,30,1.9089
video_02,15.715857300015715,60,3.8178
video_02,15.715857300015715,150,9.544500000000001
video_03,17.00686183760897,30,1.7639938682666316
video_03,17.00686183760897,60,3.5279877365332633
video_03,17.00686183760897,150,8.819969341333158
video_04,17.813525615558454,30,1.684113557722554
video_04,17.813525615558454,60,3.368227115445108
video_04,17.813525615558454,150,8.420567788612772
