run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__logistic_regression__r0_flat__w30__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,3,42,none,6887fc2c202997aa694cf786a016775032ceddb81b06504f8840c0927fd501e6,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,4,42,none,10eb2f7a46f5b33de44fe511a525c1c9197eeadfdc752752d1be8e2bbfa4a176,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,1,42,none,43a94e48aba411837e9f7c563cbb6f16423eba0cf9039c618f94ba01fb4ad4e2,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,2,42,none,a2e7acf6ce4b53d4fca8d36b6f83659108a5ef0c68c79e171117bc06aba363ef,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,3,42,none,c5f3f2685c95ba3e64528e90cdd42655ee6a784c68c3d6d52b18afd7920d38f0,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,4,42,none,951e1f830d5742edb2b0d7ffcc2275fdf43af9f92f2c0be38f5b0a1c56c5a799,skipped,new,,,2026-09-09T21:37:39+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w150__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,150,1,42,none,fbd2d54e4c61e0a495bc6d8698c4a782da50908841227807e6386cfa1727b798,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w150__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,150,2,42,none,e99a73e0755081aafc6d48ee7723959a0914305d5bb2d83e5f935e611bffb0ed,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w150__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,150,3,42,none,e6e11f808774b58c8b3905835769558ee3a9d46dac8d9b759c6dbc9df9fe6a98,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
final__screening__logistic_regression__r3__w150__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,historical_r3,150,4,42,none,bebdfe6535318b1a74e8d0131acbbfa75728a754234c78802cf971ac6755f0e1,skipped,new,,,2026-09-09T21:03:02+00:00,superseded by current canonical configuration
