video_id,frame_index,timestamp_seconds,ear,mar,pitch,yaw,roll,face_detected,pose_detected,ear_eye,pitch_raw,yaw_raw,roll_raw,pose_confidence,face_presence_confidence,face_mesh_detected,indicators_accepted,all_indicators_valid,detection_status,ear_valid,mar_valid,head_pose_valid,ear_status,mar_status,head_pose_status
video_02,0,0.0,0.302359039807264,0.014707447832258306,-35.74625518746281,-18.453839727592147,-157.60658432754315,1,1,RIGHT_EYE,-35.74625518746281,-18.453839727592147,-157.60658432754315,0.8679506182670593,0.9978170394897461,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,1,0.066,nan,nan,nan,nan,nan,0,1,,nan,nan,nan,0.8722337484359741,2.1056805053376593e-05,0,0,0,face_mesh_missing,0,0,0,not_evaluated_face_mesh_missing,not_evaluated_face_mesh_missing,not_evaluated_face_mesh_missing
video_02,2,0.133,nan,nan,nan,nan,nan,0,1,,nan,nan,nan,0.879139244556427,6.049440344213508e-05,0,0,0,face_mesh_missing,0,0,0,not_evaluated_face_mesh_missing,not_evaluated_face_mesh_missing,not_evaluated_face_mesh_missing
video_02,3,0.199,0.32087843168658814,0.01027579066440862,-36.52518609480301,-19.879735079705483,-159.12468539022458,1,1,RIGHT_EYE,-36.52518609480301,-19.879735079705483,-159.12468539022458,0.8733697533607483,0.9973845481872559,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,4,0.266,0.28687238246489777,0.030876423735901604,-34.58063551860106,-22.966570814423083,-150.66415318101485,1,1,RIGHT_EYE,-34.58063551860106,-22.966570814423083,-150.66415318101485,0.865310549736023,0.999159038066864,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,5,0.333,0.26393070508850286,0.02434560617567872,-33.557937942415194,-23.50843303532269,-147.91463929996934,1,1,RIGHT_EYE,-33.557937942415194,-23.50843303532269,-147.91463929996934,0.8634084463119507,0.998735249042511,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,6,0.399,0.23602353095073936,0.02635535150334192,-33.41335494240036,-23.446991083727188,-147.8363921772703,1,1,RIGHT_EYE,-33.41335494240036,-23.446991083727188,-147.8363921772703,0.8625959157943726,0.9992549419403076,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,7,0.466,0.2527726141915958,0.023285185144887966,-31.239102520877882,-22.75980661357522,-149.40417773852914,1,1,RIGHT_EYE,-31.239102520877882,-22.75980661357522,-149.40417773852914,0.8641592264175415,0.9989559650421143,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,8,0.533,0.25489210250677047,0.01394418032748197,-32.353119564326036,-22.201060390906978,-150.36944029095005,1,1,RIGHT_EYE,-32.353119564326036,-22.201060390906978,-150.36944029095005,0.8632298707962036,0.9979861378669739,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,9,0.599,0.26352315721264297,0.01693129812573942,-32.92010761847152,-21.756642103065385,-151.02929132123015,1,1,RIGHT_EYE,-32.92010761847152,-21.756642103065385,-151.02929132123015,0.8652435541152954,0.9984704852104187,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,10,0.666,0.2836436090912643,0.03157877635228365,-32.61980331742916,-21.90579014426455,-150.97475559988158,1,1,RIGHT_EYE,-32.61980331742916,-21.90579014426455,-150.97475559988158,0.8689472079277039,0.9998098611831665,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,11,0.733,0.32412700267705796,0.037449109563487085,-35.13545900057244,-22.843581794605523,-153.10888584677068,1,1,RIGHT_EYE,-35.13545900057244,-22.843581794605523,-153.10888584677068,0.8681964874267578,0.9987509250640869,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,12,0.799,0.26752401410281995,0.02710134616014265,-32.430785611098656,-21.45418943913082,-151.659381405527,1,1,RIGHT_EYE,-32.430785611098656,-21.45418943913082,-151.659381405527,0.8705595135688782,0.9993790984153748,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,13,0.866,0.29181588015165155,0.031236717755118437,-39.36678588825731,-20.45748535608002,-159.3124374907099,1,1,RIGHT_EYE,-39.36678588825731,-20.45748535608002,-159.3124374907099,0.8735418319702148,0.999975860118866,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,14,0.933,0.277000342429724,0.07035903814995285,-37.269547671717596,-22.268416392365786,-156.5712856140077,1,1,RIGHT_EYE,-37.269547671717596,-22.268416392365786,-156.5712856140077,0.876079261302948,0.9998050332069397,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,15,0.999,0.22883718054854313,0.12776408742442127,-38.77877180815773,-19.925647683128158,-158.08299891584414,1,1,RIGHT_EYE,-38.77877180815773,-19.925647683128158,-158.08299891584414,0.8799067735671997,0.9999666213989258,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,16,1.066,0.3220572298130726,0.06290039467399229,-43.18022441038627,-15.501330971100359,-160.8161198721738,1,1,RIGHT_EYE,-43.18022441038627,-15.501330971100359,-160.8161198721738,0.8799170255661011,0.9486476182937622,1,1,1,both_detected,1,1,1,ok,ok,ok
video_02,17,1.133,0.2855969530006702,0.41295776296015774,-44.38740648884346,-10.232189670599894,-167.66307658819386,1,1,RIGHT_EYE,-44.38740648884346,-10.232189670599894,-167.66307658819386,0.8797045350074768,0.8526206612586975,1,1,1,both_detected,1,1,1,ok,ok,ok
