video_id,complete,field,value,frames,fraction
video_03,True,pose_detected,0,5576,0.18382013582119075
video_03,True,pose_detected,1,24758,0.8161798641788093
video_03,True,face_mesh_detected,0,14591,0.4810114063427177
video_03,True,face_mesh_detected,1,15743,0.5189885936572822
video_03,True,indicators_accepted,0,14610,0.4816377662029406
video_03,True,indicators_accepted,1,15724,0.5183622337970594
video_03,True,all_indicators_valid,0,14610,0.4816377662029406
video_03,True,all_indicators_valid,1,15724,0.5183622337970594
video_03,True,detection_status,both_detected,15724,0.5183622337970594
video_03,True,detection_status,both_missing,5557,0.1831937759609679
video_03,True,detection_status,face_mesh_missing,9034,0.29781763038174985
video_03,True,detection_status,pose_missing,19,0.0006263598602228522
video_03,True,ear_valid,0,14610,0.4816377662029406
video_03,True,ear_valid,1,15724,0.5183622337970594
video_03,True,mar_valid,0,14610,0.4816377662029406
video_03,True,mar_valid,1,15724,0.5183622337970594
video_03,True,head_pose_valid,0,14610,0.4816377662029406
video_03,True,head_pose_valid,1,15724,0.5183622337970594
video_03,True,ear_status,not_evaluated_both_missing,5557,0.1831937759609679
video_03,True,ear_status,not_evaluated_face_mesh_missing,9034,0.29781763038174985
video_03,True,ear_status,not_evaluated_pose_missing,19,0.0006263598602228522
video_03,True,ear_status,ok,15724,0.5183622337970594
video_03,True,mar_status,not_evaluated_both_missing,5557,0.1831937759609679
video_03,True,mar_status,not_evaluated_face_mesh_missing,9034,0.29781763038174985
video_03,True,mar_status,not_evaluated_pose_missing,19,0.0006263598602228522
video_03,True,mar_status,ok,15724,0.5183622337970594
video_03,True,head_pose_status,not_evaluated_both_missing,5557,0.1831937759609679
video_03,True,head_pose_status,not_evaluated_face_mesh_missing,9034,0.29781763038174985
video_03,True,head_pose_status,not_evaluated_pose_missing,19,0.0006263598602228522
video_03,True,head_pose_status,ok,15724,0.5183622337970594
