run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__deep__lstm__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,lstm,R0,60,4,42,class_weights,6023eda80e51a708c1e7e31cd41aa81ff4ec4d07fe6247b69fb4318cec03f51f,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,150,1,42,class_weights,0f2f421eb32f16a9a985e84aab7b12f8cee921d126990062349ee22e1e45ff14,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,150,2,42,class_weights,8cc4f587da21895ee6e8b1096b79edc680dba0d8f53b0c30b22542a28ba7acd2,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,150,3,42,class_weights,c341e6d7ce960861eab448c5708505753788140610b826221a6fbad16c04def7,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,150,4,42,class_weights,80ed3143603c118f731f9669f80627822395faddb48aa184fb75f25c0f08c5d6,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,30,1,42,class_weights,3f0614e43fab17ba66d3f6269d79857564816eb4306c1becd22f8b52a53317e0,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,30,2,42,class_weights,4c6032be567f3343cd932ae546814dd4fc9dc679d467f939c8de20f9fa4e6974,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,30,3,42,class_weights,05d9e0c995d481f599cc1d2e5a9d6f02b0788e05f3b01d5a67ebab68aef287cd,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,30,4,42,class_weights,206efa5914effa144278550ae20f95fd8a68f53d1b2df04a24e6a19f6d9e1771,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,60,1,42,class_weights,504a5f332ff07e6a8ccc752d2ee99226694bbc39509146ad7496f7dc80ac9191,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,60,2,42,class_weights,4be33c5a165fe7a3e541f9c828ba804ff41c5f04399bcc7131e1e3f8cc36a87e,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,60,3,42,class_weights,302653221681614297759898e28d5a23aef884aa6fb81084cc8fe4097d41ad89,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__tcn__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,60,4,42,class_weights,c255c57f4910a394919c457048e7a551780887541e211bacbb62cf09c24a6023,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,150,1,42,class_weights,bb5b33f74b3132908cc97802991fbfa0126fb385aff8580c65de92101e24d557,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,150,2,42,class_weights,52752ddb3447f9fa223934785b9dc4cab7bcb3222ac316b2e59ecddadc4ab726,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,150,3,42,class_weights,6d3cd6faa1709515fdcaf6d766d43b629363a6531f23ef01c03e41f2b0cc9c04,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,150,4,42,class_weights,36bc6a4531384415560933fa4e118e660840c6e6a05ca706dfa4d161c888bd99,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,30,1,42,class_weights,e401774661a68bdafbb8186875bc72d60e2e9f2bd57c6ed934f95e3d1a345248,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,30,2,42,class_weights,1b51c9372c501e44127881ef46b224d81ccb709b9aaddf5dfb61d93b774dd790,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,30,3,42,class_weights,57e1cfff353e314d65a0b6c31c4e01336452e94b364551996536af1a5f9af187,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,30,4,42,class_weights,152fc8cf9a37eb193297c760eaed30df18cd8f809c26ef4936ab1b9d4a31b278,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,transformer,R0,60,1,42,class_weights,5f4eedb55f4170a9daf8d8974b8219fa6f4829d0dc8fde2cb5f0b796c9450cce,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,transformer,R0,60,2,42,class_weights,1e8d897ec13ba3345ad0d5e77741d177f6d11c2ee36824bf9b8072e54b5ff177,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w60__fold_3__seed_42,screening,deep,temporal,screening,transformer,R0,60,3,42,class_weights,06b434678a4b8ae6d8c45f8e7f3ae8845997cd9de73396a395e80c45ee291771,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__deep__transformer__r0__w60__fold_4__seed_42,screening,deep,temporal,screening,transformer,R0,60,4,42,class_weights,c93483ffa886c7b92490c05ade1d534567ed0d43c3040f52b9366b4ed6e25aad,pending,new,,,2026-09-15T18:36:42+00:00,
final__screening__distance__knn_dtw__r0__w60__fold_1__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,1,42,none,d361e08168d9bbad7201cd78ebe0c0992e4dcd34b245ff7faca32cd123a6695d,blocked,new,,,2026-09-15T18:36:42+00:00,"DTW train=3233 eval=2715 pairs=8,777,595; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_2__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,2,42,none,4a6aaf113969ee5aeb80f3fadbb773055a7413c3b780d60289ab6b0db74c6aa7,blocked,new,,,2026-09-15T18:36:42+00:00,"DTW train=2910 eval=3037 pairs=8,837,670; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_3__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,3,42,none,65acae595fc868b4dd310cb344cd48684b30e04d6ef4e6519c78f6f0c9c0c66e,blocked,new,,,2026-09-15T18:36:42+00:00,"DTW train=3307 eval=2652 pairs=8,770,164; limit=5,000,000; cache=True"
final__screening__distance__knn_dtw__r0__w60__fold_4__seed_42,screening,distance,classical,screening,knn_dtw,R0,60,4,42,none,1524d30fa9a467532ad69942c08b5a5591d5b9153785bafb3fc7c9ff3dc656f6,blocked,new,,,2026-09-15T18:36:42+00:00,"DTW train=3723 eval=2225 pairs=8,283,675; limit=5,000,000; cache=True"
final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,1,42,none,b2e8e146e2e516e18c1d645ac07e31d3615df5c15a05e6f89cd3c6bbc20f5c4c,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_1__seed_42.joblib,1.237,2026-09-15T18:36:48+00:00,
