model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
logistic_regression,R0_flat,4,validation,1137,0.7968337730870713,0.6045426028957752,0.5766277812076361,0.5766277812076361,"[""attention"", ""distraction""]",[],0.026484139998501632,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,9a29acee87e82f861ccfd028dd02b9265e48a9d532e2ef89943c450a1bfdfacd,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1180,0.8076271186440678,0.593349730282075,0.5949952749952749,0.5949952749952749,"[""attention"", ""distraction""]",[],0.05057654299889691,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,a7a6cd3fcfac16c41ac06696c4b4baf45467bbd5719c044153f990bffe0fc503,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1173,0.8235294117647058,0.5749701314217444,0.5507933835677008,0.5507933835677008,"[""attention"", ""distraction""]",[],0.05303795899999386,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,3eafe15a7cb43fd867be746e904c475328cc233cc323dd6413b69e9919308fed,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1151,0.7593397046046916,0.5617954391788064,0.5549601410383291,0.5549601410383291,"[""attention"", ""distraction""]",[],0.04758704799860425,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,e84928b3a014c92a07a5a8bb61ea2d4749a7c3ff456c00d15ef731d4dc17e4f5,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1125,0.7831111111111111,0.5885742768197558,0.5578400041236051,0.5578400041236051,"[""attention"", ""distraction""]",[],0.05557779400078289,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,a099839729fada21acd167fda152a4c1a3619e804f49344c5aca55355d45957c,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1155,0.8095238095238095,0.5572206822206822,0.5610367892976589,0.5610367892976589,"[""attention"", ""distraction""]",[],0.19756799300012062,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,a4c57e673a6ef298a87cafca448e758180e485416f4d3c0cbf4e5df4dc61f320,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1160,0.7913793103448276,0.5289939803386601,0.5085434173669467,0.5085434173669467,"[""attention"", ""distraction""]",[],0.1751552139994601,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,59da8391e02e1a5fe716595af9cf0c9baecc321c10f061a95f132458311d9ef4,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1125,0.7511111111111111,0.5408926728586172,0.5349427758158433,0.5349427758158433,"[""attention"", ""distraction""]",[],0.15507070100102283,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,4cd18c6fd12b710d327aa0f9d426517a51ecb8d164958b8d7fe6a9e4d8e3d855,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1105,0.7484162895927602,0.5259141910354049,0.5048517085751129,0.5048517085751129,"[""attention"", ""distraction""]",[],0.18261931699998968,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,dfd35e6cbbf77ab3083991c23e295d66f04e13cc008f9a1af2a54db46203eb21,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1194,0.8509212730318257,0.49706457925636005,0.4597285067873303,0.4597285067873303,"[""attention"", ""distraction""]",[],5.8786163730001135,False,final__screening__feature__svm__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,c47bc4b1eaddc190756ac6370299468fdd5af493ff972e189b8f8de54f301739,new,average_precision_not_trapezoidal_auc,pending_confirmation
