video,frame_index,backend,method,presence,pitch,yaw,roll,rmse_px,min_depth,all_positive_depth
1,17795,cpu,iterative,0.9020183086395264,-46.38457061804984,-15.430816542397558,-152.85980440078555,1.9997121829639168,0.9174363858712368,True
1,17795,cpu,sqpnp,0.9020183086395264,-46.743252150564125,-15.57732898075181,-152.67996406070813,2.010385039758067,0.9081535559050018,True
1,17795,cuda,iterative,0.9015080332756042,-46.38047572083439,-15.42838476968446,-152.85383304830606,1.9994188754697608,0.917415858788957,True
1,17795,cuda,sqpnp,0.9015080332756042,-46.73900699786637,-15.57479166582317,-152.6741293696235,2.0100848767001827,0.9081370938232803,True
1,17796,cpu,iterative,0.7829224467277527,-43.718205553738905,-13.634308949872631,-156.39778540751024,2.059309727714338,0.9420522275717531,True
1,17796,cpu,sqpnp,0.7829224467277527,-44.10063809285234,-13.795312699216426,-156.20983282056866,2.0687460637906323,0.9327246226819381,True
1,17796,cuda,iterative,0.7825945019721985,17.162498043485744,7.6552632720059925,26.31429665488541,22.493654267011944,10267100.076583449,True
1,17796,cuda,sqpnp,0.7825945019721985,-44.10487829588597,-13.797665623703258,-156.2082524036782,2.0686121557587382,0.9327309630705188,True
1,17797,cpu,missing_face,0.30184927582740784,,,,,,
1,17797,cuda,missing_face,0.3016074597835541,,,,,,
1,25596,cpu,iterative,0.9996752142906189,7.190595283880458,9.90608568744228,-135.41453691963832,2.632456871518757,0.9986682130395209,True
1,25596,cpu,sqpnp,0.9996752142906189,-0.607643585189422,8.45649305893303,-150.4168421413605,3.5410967301416223,1.040983393517551,True
1,25596,cuda,iterative,0.9996750354766846,7.203053241291831,9.91418840704841,-135.42524399536504,2.633598238515159,0.9986881848045963,True
1,25596,cuda,sqpnp,0.9996750354766846,-0.6044098214024128,8.45950329922528,-150.39523973337106,3.539634831055779,1.0409219749817598,True
1,25597,cpu,iterative,0.9951542615890503,-0.30953118541871527,-168.6254538344301,-158.08371145672402,3.234189826144751,-1.0515975599399938,False
1,25597,cpu,sqpnp,0.9951542615890503,4.985745121729507,12.238826639845415,-127.15304843698546,3.1874163756664515,0.945259215782259,True
1,25597,cuda,iterative,0.9951666593551636,-0.3120764235670392,-168.626304698955,-158.08350028491068,3.2342504864095023,-1.0515910543071094,False
1,25597,cuda,sqpnp,0.9951666593551636,4.981463241878007,12.23539000667967,-127.15462701704462,3.18731126849303,0.9452655404347332,True
1,25598,cpu,iterative,0.9931541085243225,4.711601235759177,11.421300582880097,-134.20140144000862,2.921899199629044,0.9846670860594807,True
1,25598,cpu,sqpnp,0.9931541085243225,6.450900156854532,12.854086335544887,-119.8533505878276,4.135018792098864,0.8812553914940379,True
1,25598,cuda,iterative,0.9931628704071045,4.710320386826454,11.420855190896326,-134.2028420222887,2.9227280710443835,0.9847437455002526,True
1,25598,cuda,sqpnp,0.9931628704071045,6.449906974331942,12.85294208094099,-119.85971236517766,4.134711553432462,0.881352242990366,True
1,25599,cpu,iterative,0.9911832809448242,11.045799041556497,13.92484393353943,-140.364447236768,2.882517327060417,0.9953479780523177,True
1,25599,cpu,sqpnp,0.9911832809448242,12.489126636049768,15.810432642772964,-125.96881017208966,3.909292021499305,0.9021266656862726,True
1,25599,cuda,iterative,0.9911864995956421,11.047648383635572,13.924083637527366,-140.36586430785283,2.882059959221751,0.9953548135487379,True
1,25599,cuda,sqpnp,0.9911864995956421,12.488191659759842,15.80793649838644,-125.97090059275013,3.908759778045549,0.9021469703068649,True
2,3050,cpu,iterative,0.9998908638954163,-44.551340710208734,172.4731505833528,-172.72512235564494,2.0621270892271264,-1.0478448767735273,False
2,3050,cpu,sqpnp,0.9998908638954163,-33.363939051896274,-29.903247236694085,-141.2255085233764,2.856971422679717,0.9081617638904877,True
2,3050,cuda,iterative,0.9998908638954163,-44.56263509034796,172.4755259542945,-172.73658612133636,2.0630258183368038,-1.0478596201292463,False
2,3050,cuda,sqpnp,0.9998908638954163,-33.36527732623319,-29.91454673919695,-141.21467247335383,2.857752151262441,0.9081421675534819,True
2,3051,cpu,iterative,0.9999345541000366,-24.222603112685494,-19.674307914692932,-147.34100447442333,1.4493596738730667,0.9600360742915766,True
2,3051,cpu,sqpnp,0.9999345541000366,4.14797206269912,-10.984399148214388,-157.42148690355035,4.359917817317437,1.0319369788028636,True
2,3051,cuda,iterative,0.9999344348907471,-24.22781254825064,-19.675579554759086,-147.33801800275035,1.4492889397980742,0.9599754699471068,True
2,3051,cuda,sqpnp,0.9999344348907471,4.1576033186723675,-10.983393496983751,-157.4208334484026,4.362046033744326,1.0318914987205372,True
2,3052,cpu,iterative,0.9999533891677856,-44.25194849080743,172.8432147668422,-172.0484130038007,1.9249362741956753,-1.043820578812132,False
2,3052,cpu,sqpnp,0.9999533891677856,-32.97362735931901,-27.780373572247964,-142.29234257046693,2.5409859937618107,0.9131403399222223,True
2,3052,cuda,iterative,0.9999532699584961,-44.2540654415061,172.84591445638213,-172.05301118641535,1.924498134498174,-1.043777847332988,False
2,3052,cuda,sqpnp,0.9999532699584961,-32.977488946679685,-27.784138377163096,-142.2891443607723,2.5414666927795446,0.9130770468229483,True
2,9264,cpu,iterative,0.9652982950210571,1.3131073924588925,8.515111483479405,-96.70361118886366,618.0400516145191,-0.039244758846145186,False
2,9264,cpu,sqpnp,0.9652982950210571,-30.32986998981296,-15.085436485002306,-142.68911946334305,4.188956196932267,0.9629354874208317,True
2,9264,cuda,iterative,0.9652988910675049,1.317042977012906,8.543243121383982,-96.69016909951308,618.0393409792026,-0.03922734090842753,False
2,9264,cuda,sqpnp,0.9652988910675049,-30.32982644427229,-15.085414844547893,-142.6892932130593,4.188935854289156,0.9629363463286639,True
2,9265,cpu,iterative,0.9874870777130127,-21.998369853327535,-160.53698088537044,163.52733747711193,17.09837566398639,-4.089803155951853,False
2,9265,cpu,sqpnp,0.9874870777130127,-22.79399434063652,-13.78216232980199,-140.524823707499,4.254376709517836,0.9587692604609598,True
2,9265,cuda,iterative,0.9875631928443909,-48.081556319226706,-173.62773434156796,174.78952464489402,3.735786062047689,-1.102255002123529,False
2,9265,cuda,sqpnp,0.9875631928443909,-22.805200616421693,-13.783122857152891,-140.53759194265703,4.252269961944528,0.9588164779001883,True
2,9266,cpu,iterative,0.9653511643409729,0.8320445556279976,19.75687821825255,-96.0964950553476,616.9788289065218,-0.03920632668185725,False
2,9266,cpu,sqpnp,0.9653511643409729,-29.643369457930145,-15.96886888878616,-141.4167905727091,3.8818588625821375,0.9389024420718219,True
2,9266,cuda,iterative,0.9653685092926025,0.8284793898383193,19.83332115557128,-96.09311424333264,616.9729956990137,-0.0392062142660352,False
2,9266,cuda,sqpnp,0.9653685092926025,-29.641235700830673,-15.969296436375917,-141.41571197041165,3.882183535555617,0.9388884714710184,True
2,18551,cpu,iterative,0.9971392750740051,-50.4052602372881,-176.62136218010602,170.34219534933823,1.9581639523084786,-1.043409081141994,False
2,18551,cpu,sqpnp,0.9971392750740051,-30.17516806258185,-19.281447975933137,-146.16556441119855,2.8476967183917825,0.9579921278506321,True
2,18551,cuda,iterative,0.997122585773468,-50.39779522002012,-176.626904666809,170.36268642745068,1.9578279332887012,-1.0434086863753291,False
2,18551,cuda,sqpnp,0.997122585773468,-30.18554211698882,-19.283259628133912,-146.1495757091089,2.8487489026584565,0.957870330534976,True
2,18552,cpu,iterative,0.9959359169006348,1.3708034226081058,3.9998961569537403,-96.85891197664985,617.7138986454453,-0.039443410687243025,False
2,18552,cpu,sqpnp,0.9959359169006348,-33.00405898873418,-19.46361686838347,-145.2624265820169,2.902244681278065,0.9349815255249954,True
2,18552,cuda,iterative,0.9959343075752258,1.3707471832178912,4.00153427513656,-96.85883813929962,617.7134811553115,-0.0394434028035078,False
2,18552,cuda,sqpnp,0.9959343075752258,-33.00762857509836,-19.463339012143077,-145.26908251166356,2.9016736279070283,0.9349922141685294,True
2,18553,cpu,iterative,0.9641246795654297,-28.127794413521734,-11.746805344306548,-161.15806282771993,1.3559615612764413,1.049304778339732,True
2,18553,cpu,sqpnp,0.9641246795654297,-33.81223482697757,-17.73611029656895,-145.879671598369,2.942342395796004,0.9842940741364986,True
2,18553,cuda,iterative,0.964363157749176,-28.126180561745244,-11.746195438982408,-161.15163473124562,1.3561568749927089,1.0493633944324459,True
2,18553,cuda,sqpnp,0.964363157749176,-33.80773962480492,-17.737913887562538,-145.86159434372075,2.943848145555677,0.9843107298186415,True
3,3945,cpu,iterative,0.9992689490318298,1.3846789082420166,3.683260082017332,-96.27827283043884,619.3502602397352,-0.03961651018589057,False
3,3945,cpu,sqpnp,0.9992689490318298,9.90271612193358,-5.303969055229965,-159.90715139607875,6.268363223351066,1.0321314671132888,True
3,3945,cuda,iterative,0.9992648363113403,1.3855836007597575,3.663222959331655,-96.27919638567816,619.3519630176552,-0.03961700342349038,False
3,3945,cuda,sqpnp,0.9992648363113403,9.903160758835924,-5.3037819508199755,-159.90594271616442,6.26834115931463,1.032147498949398,True
3,3946,cpu,iterative,0.999869167804718,-49.29713521183891,176.33562098654528,-176.70045894043997,3.0246922718144296,-1.0127580865095114,False
3,3946,cpu,sqpnp,0.999869167804718,9.714161278389373,-4.5442896400062605,-160.96120962718584,6.164576847741656,1.0107650767951568,True
3,3946,cuda,iterative,0.9998689293861389,-49.29812008088718,176.33624296114863,-176.6995092293071,3.0247330228177542,-1.0127553786176897,False
3,3946,cuda,sqpnp,0.9998689293861389,9.713927763500841,-4.542411235846056,-160.9611843840394,6.164971564668975,1.0107626550098403,True
3,3947,cpu,iterative,0.9999813437461853,-48.84945608465331,175.58966556762945,-175.80280480858696,3.0236297319105208,-1.0248930446009223,False
3,3947,cpu,sqpnp,0.9999813437461853,-9.509779939226927,-18.65301864533647,-124.58448518528144,6.194439597296059,0.870759538557488,True
3,3947,cuda,iterative,0.9999813437461853,-48.849166316593355,175.58958621371562,-175.80255556681524,3.023729322825407,-1.0248965467830484,False
3,3947,cuda,sqpnp,0.9999813437461853,-9.511312575464004,-18.65380533046246,-124.58417686404924,6.194342933383684,0.8707580102712941,True
3,4405,cpu,iterative,0.9995608329772949,-53.233062512715485,-176.61595003599376,175.80284770968,2.021768288017108,-1.0467377476061064,False
3,4405,cpu,sqpnp,0.9995608329772949,-20.42897938635564,-19.74070053602812,-134.7128994238287,3.9263063227650488,0.9546638652786209,True
3,4405,cuda,iterative,0.9995624423027039,-53.22766173730924,-176.62633065537082,175.81292011035498,2.0223651451232865,-1.0467930232656613,False
3,4405,cuda,sqpnp,0.9995624423027039,-20.426158144499958,-19.744362923389946,-134.7063282525766,3.926248362391705,0.9546660255429041,True
3,4406,cpu,iterative,0.9992459416389465,1.347179278701514,5.246274094400723,-95.9847547560471,618.8562857774192,-0.03960135939336787,False
