model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
tcn,A,none,validation,alert,0.9126327773107226,0.022985597887750873,0.9143608418591475,0.8888888888888888,0.932920536635707,4,precision
tcn,A,none,validation,distraction,0.30244714576488424,0.0754408149979606,0.2994772218073189,0.21348314606741572,0.3973509933774834,4,precision
tcn,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
tcn,B,class_weights,test,alert,0.9355197717088506,0.023160823333251476,0.9422556363767959,0.9027093596059114,0.954858454475899,4,precision
tcn,B,class_weights,test,distraction,0.4723830644897951,0.2050851461988715,0.5029079712624016,0.22072072072072071,0.6629955947136564,4,precision
tcn,B,class_weights,test,fatigue,0.01417624521072797,0.017117477320834237,0.011111111111111112,0.0,0.034482758620689655,4,precision
tcn,B,class_weights,validation,alert,0.9187912714636594,0.02309154865891019,0.9196189839572193,0.8917410714285714,0.9441860465116279,4,precision
tcn,B,class_weights,validation,distraction,0.2628777740331676,0.08430595393566237,0.2774536854552621,0.14732142857142858,0.3492822966507177,4,precision
tcn,B,class_weights,validation,fatigue,0.029884067541514042,0.02357861534510891,0.031678247442578654,0.0,0.056179775280898875,4,precision
tcn,C,weighted_sampling,test,alert,0.9408101856531063,0.027666305439968772,0.9472326528036351,0.9023485784919654,0.9664268585131894,4,precision
tcn,C,weighted_sampling,test,distraction,0.42879602238308195,0.17635250011691403,0.4507438489414457,0.21808510638297873,0.5956112852664577,4,precision
tcn,C,weighted_sampling,test,fatigue,0.020800372266170312,0.02716453861465361,0.013029315960912053,0.0,0.05714285714285714,4,precision
tcn,C,weighted_sampling,validation,alert,0.9199486952236247,0.02439318141750842,0.9230860478546568,0.8880208333333334,0.9456018518518519,4,precision
tcn,C,weighted_sampling,validation,distraction,0.2758528708944751,0.0998387988387871,0.28037127357786296,0.15283842794759825,0.3898305084745763,4,precision
tcn,C,weighted_sampling,validation,fatigue,0.036962277541216296,0.015629835231551138,0.03953488372093023,0.018779342723004695,0.05,4,precision
tcn,D,augmentation,test,alert,0.9194258235937696,0.023599967245495096,0.9180234854856386,0.8939732142857143,0.9476831091180867,4,precision
tcn,D,augmentation,test,distraction,0.4606968431457979,0.20564204343704756,0.48063973063973064,0.21608040201005024,0.6654275092936803,4,precision
tcn,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
tcn,D,augmentation,validation,alert,0.9136026328894354,0.022574272391123622,0.9159102030829459,0.8879310344827587,0.9346590909090909,4,precision
tcn,D,augmentation,validation,distraction,0.29088534292525026,0.07357015592623993,0.2877780118578265,0.20512820512820512,0.38285714285714284,4,precision
tcn,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,A,none,test,alert,0.9053028456574294,0.038452562552085394,0.9119850777637664,0.8595600676818951,0.9376811594202898,4,precision
transformer,A,none,test,distraction,0.4802935395665573,0.25945483700580635,0.5096841243347086,0.16770186335403728,0.7341040462427746,4,precision
transformer,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,A,none,validation,alert,0.9141798055687017,0.03285878871832298,0.9119549463426668,0.8835051546391752,0.9493041749502982,4,precision
transformer,A,none,validation,distraction,0.3106115043903164,0.09427957602894567,0.28469507887920886,0.22727272727272727,0.4457831325301205,4,precision
transformer,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,B,class_weights,test,alert,0.9511177020875603,0.029645665498623998,0.9546846447539288,0.9129852744310576,0.9821162444113264,4,precision
transformer,B,class_weights,test,distraction,0.4057647380662827,0.15539353598992312,0.4046597633136095,0.21888412017167383,0.594855305466238,4,precision
transformer,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,B,class_weights,validation,alert,0.9269367576176392,0.02236673271722336,0.9295159606451655,0.8998778998778999,0.9488372093023256,4,precision
transformer,B,class_weights,validation,distraction,0.2552744544364192,0.09389194487658091,0.2477182210421507,0.15,0.37566137566137564,4,precision
transformer,B,class_weights,validation,fatigue,0.007936507936507936,0.015873015873015872,0.0,0.0,0.031746031746031744,4,precision
transformer,C,weighted_sampling,test,alert,0.9499227722954013,0.028820848984285902,0.9541636278323583,0.912043301759134,0.9793205317577548,4,precision
transformer,C,weighted_sampling,test,distraction,0.414114004934453,0.16315407041885527,0.4071764904910268,0.22594142259414227,0.6161616161616161,4,precision
transformer,C,weighted_sampling,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,C,weighted_sampling,validation,alert,0.9273535024019814,0.0219305761413335,0.9293122015169959,0.902676399026764,0.9481132075471698,4,precision
transformer,C,weighted_sampling,validation,distraction,0.26527197434358785,0.10384479252401542,0.2555978031263202,0.15298507462686567,0.39690721649484534,4,precision
transformer,C,weighted_sampling,validation,fatigue,0.009114583333333334,0.018229166666666668,0.0,0.0,0.036458333333333336,4,precision
transformer,D,augmentation,test,alert,0.9221973630736897,0.027852457072388623,0.9267259825334915,0.8864864864864865,0.9488510007412898,4,precision
transformer,D,augmentation,test,distraction,0.43960868413580856,0.21292784785404908,0.4689711225855804,0.16556291390728478,0.6549295774647887,4,precision
transformer,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
transformer,D,augmentation,validation,alert,0.9252087862634693,0.020517653740374585,0.9250210981477132,0.9013605442176871,0.9494324045407637,4,precision
transformer,D,augmentation,validation,distraction,0.2845628650217184,0.09467231781333132,0.26461681807593757,0.193717277486911,0.41530054644808745,4,precision
transformer,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,precision
lstm,A,none,test,alert,0.8477669952002608,0.12846535469896503,0.8941450170040337,0.6645220588235294,0.9382558879694463,4,recall
lstm,A,none,test,distraction,0.5778454983743011,0.26278516987786593,0.5503412969283277,0.2898550724637681,0.920844327176781,4,recall
lstm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
lstm,A,none,validation,alert,0.8742010682666487,0.033079976176389726,0.8745800896343272,0.8402366863905325,0.9074074074074074,4,recall
lstm,A,none,validation,distraction,0.3979095597790773,0.06388509180822873,0.3969704353476283,0.32894736842105265,0.46875,4,recall
lstm,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
lstm,B,class_weights,test,alert,0.8029163250601795,0.10938725556803841,0.8118010057949013,0.6746323529411765,0.913430935709739,4,recall
lstm,B,class_weights,test,distraction,0.5984320199455395,0.1778701867529303,0.6199262554851293,0.36231884057971014,0.7915567282321899,4,recall
lstm,B,class_weights,test,fatigue,0.06627576403695806,0.08996377164089459,0.03731343283582089,0.0,0.19047619047619047,4,recall
lstm,B,class_weights,validation,alert,0.7538166507754536,0.06501399526161063,0.7362303733754039,0.7025691699604744,0.8402366863905325,4,recall
lstm,B,class_weights,validation,distraction,0.42847425276153345,0.03716892641663756,0.419996751137102,0.39473684210526316,0.4791666666666667,4,recall
lstm,B,class_weights,validation,fatigue,0.39196832579185514,0.26182753313016544,0.5147058823529411,0.0,0.5384615384615384,4,recall
lstm,C,weighted_sampling,test,alert,0.778744577826332,0.138994190370911,0.8070456857758526,0.5919117647058824,0.9089751750477403,4,recall
lstm,C,weighted_sampling,test,distraction,0.588872156078001,0.17606201777748398,0.6199262554851293,0.34782608695652173,0.7678100263852242,4,recall
lstm,C,weighted_sampling,test,fatigue,0.09168443496801706,0.11091519661953052,0.07142857142857142,0.0,0.22388059701492538,4,recall
lstm,C,weighted_sampling,validation,alert,0.7498037468989069,0.030125265138987077,0.7513943677405216,0.7124505928853755,0.783975659229209,4,recall
lstm,C,weighted_sampling,validation,distraction,0.4179814408706953,0.022602394961215456,0.4144736842105263,0.3950617283950617,0.4479166666666667,4,recall
lstm,C,weighted_sampling,validation,fatigue,0.3970588235294118,0.46658839350159975,0.29411764705882354,0.0,1.0,4,recall
lstm,D,augmentation,test,alert,0.8559502981751161,0.07681864585430138,0.8583115999433302,0.7803308823529411,0.9268471104608632,4,recall
lstm,D,augmentation,test,distraction,0.5725658205949429,0.1587816015682709,0.5958983422720624,0.36231884057971014,0.7361477572559367,4,recall
lstm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
lstm,D,augmentation,validation,alert,0.8657946309584716,0.031869625952867006,0.8606115502854633,0.8336713995943205,0.908284023668639,4,recall
lstm,D,augmentation,validation,distraction,0.41180352501624434,0.05509320163127673,0.4111842105263158,0.345679012345679,0.4791666666666667,4,recall
lstm,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
svm,A,none,test,alert,0.8736369275566479,0.034763659194244845,0.8803563648392788,0.8254963427377221,0.9083386378103119,4,recall
svm,A,none,test,distraction,0.5387661035813627,0.171673001542375,0.5909160165772793,0.2898550724637681,0.683377308707124,4,recall
svm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
svm,A,none,validation,alert,0.8570195468017484,0.032042369803717816,0.8475552627726541,0.8296146044624746,0.903353057199211,4,recall
svm,A,none,validation,distraction,0.3516995614035087,0.03061515302756128,0.34100877192982454,0.32894736842105265,0.3958333333333333,4,recall
svm,A,none,validation,fatigue,0.15441176470588236,0.23205490938322795,0.058823529411764705,0.0,0.5,4,recall
svm,B,class_weights,test,alert,0.8037921901071093,0.08714846081390734,0.8137326395656996,0.6920955882352942,0.8956078930617442,4,recall
svm,B,class_weights,test,distraction,0.5718381965633301,0.1846960450553334,0.6043088737201365,0.3188405797101449,0.7598944591029023,4,recall
svm,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
svm,B,class_weights,validation,alert,0.7791847948794363,0.045809811893852415,0.7659084896054646,0.7407407407407407,0.8441814595660749,4,recall
svm,B,class_weights,validation,distraction,0.39471653671215073,0.014199670436053321,0.39798570500324887,0.375,0.40789473684210525,4,recall
svm,B,class_weights,validation,fatigue,0.13970588235294118,0.24179142068899068,0.029411764705882353,0.0,0.5,4,recall
svm,C,weighted_sampling,test,alert,0.7697094802691012,0.059171035684291606,0.7731866759311705,0.6966911764705882,0.8357733927434755,4,recall
svm,C,weighted_sampling,test,distraction,0.5483356377219718,0.21467535893011191,0.6090321794246709,0.2391304347826087,0.7361477572559367,4,recall
svm,C,weighted_sampling,test,fatigue,0.0037313432835820895,0.007462686567164179,0.0,0.0,0.014925373134328358,4,recall
svm,C,weighted_sampling,validation,alert,0.7283231030190129,0.030168325146622266,0.7161030595813205,0.7079107505070994,0.7731755424063116,4,recall
svm,C,weighted_sampling,validation,distraction,0.3835790285899935,0.027789004332157023,0.3954475308641975,0.34210526315789475,0.40131578947368424,4,recall
svm,C,weighted_sampling,validation,fatigue,0.16911764705882354,0.22575644979744028,0.08823529411764705,0.0,0.5,4,recall
svm,D,augmentation,test,alert,0.8582208093858561,0.03758704989523474,0.8620210771762984,0.8087774294670846,0.9000636537237429,4,recall
svm,D,augmentation,test,distraction,0.5542389139628286,0.15514594859894576,0.5819874451487079,0.34057971014492755,0.712401055408971,4,recall
svm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
svm,D,augmentation,validation,alert,0.8441746694561181,0.0339742752549992,0.8348960620699751,0.8144016227180527,0.8925049309664694,4,recall
svm,D,augmentation,validation,distraction,0.38765025990903185,0.023110106618569378,0.3848684210526316,0.36419753086419754,0.4166666666666667,4,recall
svm,D,augmentation,validation,fatigue,0.15441176470588236,0.23205490938322795,0.058823529411764705,0.0,0.5,4,recall
tcn,A,none,test,alert,0.9072121089674359,0.05324207797635579,0.9230479339687594,0.831765935214211,0.950986632718014,4,recall
tcn,A,none,test,distraction,0.5307199047328569,0.1847769588157031,0.5332764505119454,0.30434782608695654,0.7519788918205804,4,recall
tcn,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
tcn,A,none,validation,alert,0.8976623013850724,0.035011889616946644,0.9017685213337387,0.8519269776876268,0.9351851851851852,4,recall
