run_id,model,scenario,strategy,fold,subset,video_id,session_id,observed_hours,false_fatigue_windows,false_fatigue_episodes,false_windows_per_hour,false_episodes_per_hour
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,svm,C,weighted_sampling,1,validation,video_03,session_03,0.09897965594162766,20,6,202.06172480327487,60.618517440982465
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,svm,C,weighted_sampling,1,validation,video_04,session_04,0.09894167151620005,14,8,141.49750843564163,80.85571910608093
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,svm,C,weighted_sampling,1,test,video_01,session_01,0.4933518182717438,18,11,36.48511940840845,22.296461860694055
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,svm,C,weighted_sampling,2,validation,video_01,session_01,0.08484541579462511,10,9,117.86140602110753,106.07526541899678
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,svm,C,weighted_sampling,2,validation,video_03,session_03,0.09897965594162766,21,11,212.16481104343862,111.13394864180118
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,svm,C,weighted_sampling,2,validation,video_04,session_04,0.09894167151620005,20,12,202.13929776520234,121.2835786591214
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,svm,C,weighted_sampling,2,test,video_02,session_02,0.498435,74,38,148.46469449376548,76.23862690220389
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,svm,C,weighted_sampling,3,validation,video_01,session_01,0.08484541579462511,7,6,82.50298421477527,70.71684361266452
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,svm,C,weighted_sampling,3,validation,video_02,session_02,0.099687,12,8,120.37677931926932,80.2511862128462
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,svm,C,weighted_sampling,3,validation,video_04,session_04,0.09894167151620005,7,6,70.74875421782082,60.6417893295607
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,svm,C,weighted_sampling,3,test,video_03,session_03,0.49538827800487906,30,22,60.55855847219811,44.40960954627861
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,svm,C,weighted_sampling,4,validation,video_01,session_01,0.08484541579462511,9,6,106.07526541899678,70.71684361266452
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,svm,C,weighted_sampling,4,validation,video_02,session_02,0.099687,21,10,210.6593638087213,100.31398276605776
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,svm,C,weighted_sampling,4,validation,video_03,session_03,0.09897965594162766,26,9,262.68024224425733,90.92777616147369
G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_4__seed_42,svm,C,weighted_sampling,4,test,video_04,session_04,0.49564397622417944,57,29,115.00190203909376,58.509739633924895
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,tcn,C,weighted_sampling,1,validation,video_02,session_02,0.099687,36,6,361.13033795780797,60.18838965963466
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,tcn,C,weighted_sampling,1,validation,video_03,session_03,0.09897965594162766,82,3,828.453071693427,30.309258720491233
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,tcn,C,weighted_sampling,1,validation,video_04,session_04,0.09894167151620005,91,10,919.7338048316706,101.06964888260117
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_1__seed_42,tcn,C,weighted_sampling,1,test,video_01,session_01,0.4933518182717438,299,46,606.0583723952293,93.23974959926605
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,tcn,C,weighted_sampling,2,validation,video_01,session_01,0.08484541579462511,26,7,306.4396556548796,82.50298421477527
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,tcn,C,weighted_sampling,2,validation,video_03,session_03,0.09897965594162766,25,6,252.57715600409358,60.618517440982465
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,tcn,C,weighted_sampling,2,validation,video_04,session_04,0.09894167151620005,25,9,252.67412220650291,90.96268399434105
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_2__seed_42,tcn,C,weighted_sampling,2,test,video_02,session_02,0.498435,71,15,142.44585552780202,30.094194829817326
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_3__seed_42,tcn,C,weighted_sampling,3,validation,video_01,session_01,0.08484541579462511,84,14,990.0358105773033,165.00596842955053
G4__g4_c_weighted_sampling_w60__tcn__r0__w60__fold_3__seed_42,tcn,C,weighted_sampling,3,validation,video_02,session_02,0.099687,3,3,30.09419482981733,30.09419482981733
