model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,2,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,fatigue,distraction,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,distraction,alert,115,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,distraction,fatigue,7,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,2,test,distraction,distraction,171,G4__g4_b_class_weights_w60__svm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,alert,alert,766,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,alert,fatigue,20,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,alert,distraction,200,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,fatigue,alert,13,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,distraction,alert,88,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,distraction,fatigue,2,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,validation,distraction,distraction,62,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,alert,alert,1152,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,alert,fatigue,9,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,alert,distraction,206,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,fatigue,alert,14,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,fatigue,distraction,7,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,distraction,alert,36,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,distraction,fatigue,6,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,3,test,distraction,distraction,70,G4__g4_b_class_weights_w60__svm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,alert,alert,764,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,alert,fatigue,40,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,alert,distraction,208,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,fatigue,alert,15,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,fatigue,distraction,2,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,distraction,alert,55,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,distraction,fatigue,5,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,validation,distraction,distraction,36,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,alert,alert,751,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,alert,fatigue,34,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,alert,distraction,172,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,fatigue,alert,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
svm,r0_flat,4,test,fatigue,distraction,0,G4__g4_b_class_weights_w60__svm__r0__w60__fold_4__seed_42,G4,g4_b_class_weights_w60,R0,60,B,class_weights,42
