model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,inference_seconds,inference_windows_per_second,model_size_bytes,parameter_count,peak_gpu_memory_bytes,stopping_epoch,training_seconds
tcn,temporal_r0,1,validation,1180,0.8330508474576271,0.4268755935422602,0.4289865860568595,0.4289865860568595,"[""alert"", ""fatigue"", ""distraction""]",[],382.1272772000011,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,3.9676679000003787,297.40392334748765,637244,49379,188977152,22,382.1272772000011
tcn,temporal_r0,1,test,1534,0.8305084745762712,0.5536620815872523,0.5393976990103332,0.5393976990103332,"[""alert"", ""fatigue"", ""distraction""]",[],382.1272772000011,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,5.708207899999252,268.73583213396995,637244,49379,188977152,22,382.1272772000011
tcn,temporal_r0,2,validation,1173,0.8772378516624041,0.3950617283950617,0.38791986407513207,0.38791986407513207,"[""alert"", ""fatigue"", ""distraction""]",[],305.0764182999992,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,3.951308200001222,296.86370706279945,637052,49379,189763584,20,305.0764182999992
tcn,temporal_r0,2,test,1864,0.8905579399141631,0.7587697668709523,0.7777466053192683,0.5184977368795122,"[""alert"", ""distraction""]","[""fatigue""]",305.0764182999992,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,6.113239499998599,304.9119865172021,637052,49379,189763584,20,305.0764182999992
tcn,temporal_r0,3,validation,1151,0.7819287576020851,0.41555460659762994,0.40173702223932367,0.40173702223932367,"[""alert"", ""fatigue"", ""distraction""]",[],383.3797777,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,8,0.38581888331170877,0.5293528201474406,0.40173702223932367,qualification_r0_w60_b1024,3.7808227999994415,304.4310883864142,637372,49379,189763584,23,383.3797777
tcn,temporal_r0,3,test,1500,0.8913333333333333,0.4790295049987808,0.4594580119965724,0.4594580119965724,"[""alert"", ""fatigue"", ""distraction""]",[],383.3797777,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,8,0.38581888331170877,0.5293528201474406,0.40173702223932367,qualification_r0_w60_b1024,5.100818799997796,294.0704343390218,637372,49379,189763584,23,383.3797777
tcn,temporal_r0,4,validation,1125,0.8462222222222222,0.4644268774703557,0.43120758315104607,0.43120758315104607,"[""alert"", ""fatigue"", ""distraction""]",[],340.01912399999856,True,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,4,0.41290829999252726,0.46443741949399314,0.43120758315104607,qualification_r0_w60_b1024,3.49234129999968,322.13346387425054,636924,49379,186113024,19,340.01912399999856
tcn,temporal_r0,4,test,1095,0.765296803652968,0.5680568806505838,0.5536701300060745,0.3691134200040496,"[""alert"", ""distraction""]","[""fatigue""]",340.01912399999856,True,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,4,0.41290829999252726,0.46443741949399314,0.43120758315104607,qualification_r0_w60_b1024,3.396938699999737,322.34906093539007,636924,49379,186113024,19,340.01912399999856
transformer,temporal_r0,1,validation,1155,0.8571428571428571,0.39755454379110294,0.41041757118105576,0.41041757118105576,"[""alert"", ""fatigue"", ""distraction""]",[],6.9278790999997,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,5,0.2903022467855836,0.37811593666221155,0.41041757118105576,qualification_r0_w150_b1024,0.03663610000148765,31526.281453350657,267763,17443,570034688,20,6.9278790999997
transformer,temporal_r0,1,test,1528,0.831151832460733,0.5358806688789121,0.5326557684054466,0.5326557684054466,"[""alert"", ""fatigue"", ""distraction""]",[],6.9278790999997,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,G2,R0,150,42,,A,none,5,0.2903022467855836,0.37811593666221155,0.41041757118105576,qualification_r0_w150_b1024,0.04178400000091642,36569.02163427358,267763,17443,570034688,20,6.9278790999997
transformer,temporal_r0,2,validation,1160,0.853448275862069,0.4540574093646719,0.4084289248762933,0.4084289248762933,"[""alert"", ""fatigue"", ""distraction""]",[],8.022920000003069,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,15,0.3613035149252723,0.38355440641271654,0.4084289248762933,qualification_r0_w150_b1024,0.033240199998544995,34897.50362665616,268851,17443,570034688,30,8.022920000003069
transformer,temporal_r0,2,test,1841,0.8924497555676263,0.7921126471393376,0.7921126471393376,0.5280750980928918,"[""alert"", ""distraction""]","[""fatigue""]",8.022920000003069,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,15,0.3613035149252723,0.38355440641271654,0.4084289248762933,qualification_r0_w150_b1024,0.04813389999981155,38247.47215594847,268851,17443,570034688,30,8.022920000003069
transformer,temporal_r0,3,validation,1125,0.8,0.39365621626751124,0.39020915706836284,0.39020915706836284,"[""alert"", ""fatigue"", ""distraction""]",[],6.004303699999582,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,3,0.3854414101156564,0.5087802194025781,0.39020915706836284,qualification_r0_w150_b1024,0.041176299997459864,27321.541762358454,267507,17443,570034688,18,6.004303699999582
transformer,temporal_r0,3,test,1493,0.8948425987943738,0.44807058769322916,0.4421222480059219,0.4421222480059219,"[""alert"", ""fatigue"", ""distraction""]",[],6.004303699999582,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,3,0.3854414101156564,0.5087802194025781,0.39020915706836284,qualification_r0_w150_b1024,0.04272829999899841,34941.713104312534,267507,17443,570034688,18,6.004303699999582
transformer,temporal_r0,4,validation,1105,0.8552036199095022,0.4475846841116302,0.42321963962359366,0.42321963962359366,"[""alert"", ""fatigue"", ""distraction""]",[],6.257067800001096,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,3,0.34877615476023593,0.40292383285399475,0.42321963962359366,qualification_r0_w150_b1024,0.0353343999995559,31272.640826330382,267507,17443,570034688,18,6.257067800001096
transformer,temporal_r0,4,test,1076,0.7797397769516728,0.5330216295332574,0.5291080618445908,0.3527387078963939,"[""alert"", ""distraction""]","[""fatigue""]",6.257067800001096,False,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,3,0.34877615476023593,0.40292383285399475,0.42321963962359366,qualification_r0_w150_b1024,0.033963600002607564,31680.97610139649,267507,17443,570034688,18,6.257067800001096
transformer,temporal_r0,1,validation,1155,0.7186147186147186,0.40594142529626404,0.41470533295974593,0.41470533295974593,"[""alert"", ""fatigue"", ""distraction""]",[],12.699257600004785,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,R0,150,42,,B,class_weights,21,0.3844847483703904,1.1624236817999836,0.41470533295974593,g4_b_class_weights_w150,0.03534190000209492,32680.755701632806,269619,17443,568797184,36,12.699257600004785
transformer,temporal_r0,1,test,1528,0.6714659685863874,0.5268836619168455,0.4498616628088519,0.4498616628088519,"[""alert"", ""fatigue"", ""distraction""]",[],12.699257600004785,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,R0,150,42,,B,class_weights,21,0.3844847483703904,1.1624236817999836,0.41470533295974593,g4_b_class_weights_w150,0.04385480000200914,34842.2521578025,269619,17443,568797184,36,12.699257600004785
transformer,temporal_r0,2,validation,1160,0.7396551724137931,0.4424480346268056,0.36037836164034615,0.36037836164034615,"[""alert"", ""fatigue"", ""distraction""]",[],6.0448199000020395,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,R0,150,42,,B,class_weights,6,0.6412090390899813,1.2218461620396581,0.36037836164034615,g4_b_class_weights_w150,0.031664299996919,36634.31688408935,267955,17443,568971264,21,6.0448199000020395
transformer,temporal_r0,2,test,1841,0.8625746876697447,0.778860981841409,0.7732553366174055,0.5155035577449371,"[""alert"", ""distraction""]","[""fatigue""]",6.0448199000020395,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,R0,150,42,,B,class_weights,6,0.6412090390899813,1.2218461620396581,0.36037836164034615,g4_b_class_weights_w150,0.05125170000246726,35920.75969990018,267955,17443,568971264,21,6.0448199000020395
transformer,temporal_r0,3,validation,1125,0.7173333333333334,0.4144455120221107,0.38945504381745993,0.38945504381745993,"[""alert"", ""fatigue"", ""distraction""]",[],8.368622800000594,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,R0,150,42,,B,class_weights,11,0.4064694796556053,1.708216694633166,0.38945504381745993,g4_b_class_weights_w150,0.03353550000610994,33546.54022737197,268531,17443,568971264,26,8.368622800000594
transformer,temporal_r0,3,test,1493,0.883456128600134,0.5135300757942267,0.4695919323578898,0.4695919323578898,"[""alert"", ""fatigue"", ""distraction""]",[],8.368622800000594,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,R0,150,42,,B,class_weights,11,0.4064694796556053,1.708216694633166,0.38945504381745993,g4_b_class_weights_w150,0.04148669999995036,35987.43693766403,268531,17443,568971264,26,8.368622800000594
transformer,temporal_r0,4,validation,1105,0.6669683257918552,0.5497210706791545,0.38661679543980837,0.38661679543980837,"[""alert"", ""fatigue"", ""distraction""]",[],7.096104100004595,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,R0,150,42,,B,class_weights,3,0.662682087354093,1.0632419312701507,0.38661679543980837,g4_b_class_weights_w150,0.043061099997430574,25661.211628730678,267635,17443,568971264,18,7.096104100004595
transformer,temporal_r0,4,test,1076,0.6812267657992565,0.5566189624329159,0.5433310715488667,0.36222071436591113,"[""alert"", ""distraction""]","[""fatigue""]",7.096104100004595,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,R0,150,42,,B,class_weights,3,0.662682087354093,1.0632419312701507,0.38661679543980837,g4_b_class_weights_w150,0.04493430000002263,23946.072376769152,267635,17443,568971264,18,7.096104100004595
lstm,temporal_r0,1,validation,1180,0.7830508474576271,0.5907784839408771,0.46230365557907716,0.46230365557907716,"[""alert"", ""fatigue"", ""distraction""]",[],3.3810958999965806,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,R0,60,42,,B,class_weights,9,0.9416568554847795,1.0061415130809201,0.46230365557907716,g4_b_class_weights_w60,0.019952800001192372,59139.56938021148,652434,51651,376863744,24,3.3810958999965806
lstm,temporal_r0,1,test,1534,0.6773142112125163,0.5136053156150028,0.49498128742739467,0.49498128742739467,"[""alert"", ""fatigue"", ""distraction""]",[],3.3810958999965806,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,R0,60,42,,B,class_weights,9,0.9416568554847795,1.0061415130809201,0.46230365557907716,g4_b_class_weights_w60,0.026840499995159917,57152.437558041864,652434,51651,376863744,24,3.3810958999965806
lstm,temporal_r0,2,validation,1173,0.7331628303495311,0.391829109811566,0.33815165744779224,0.33815165744779224,"[""alert"", ""fatigue"", ""distraction""]",[],3.1360491999948863,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,R0,60,42,,B,class_weights,8,0.9397821014928605,1.0815254412242112,0.33815165744779224,g4_b_class_weights_w60,0.025698400000692345,45644.86504873447,652306,51651,377266176,23,3.1360491999948863
lstm,temporal_r0,2,test,1864,0.8707081545064378,0.7775345804828558,0.766461278997441,0.510974185998294,"[""alert"", ""distraction""]","[""fatigue""]",3.1360491999948863,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,R0,60,42,,B,class_weights,8,0.9397821014928605,1.0815254412242112,0.33815165744779224,g4_b_class_weights_w60,0.031868599995505065,58490.17529050255,652306,51651,377266176,23,3.1360491999948863
lstm,temporal_r0,3,validation,1151,0.6620330147697654,0.5460221782416722,0.39763990497999196,0.39763990497999196,"[""alert"", ""fatigue"", ""distraction""]",[],3.9570870000025025,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,R0,60,42,,B,class_weights,12,0.879392947113467,1.1256484369108928,0.39763990497999196,g4_b_class_weights_w60,0.022437799998442642,51297.36427278469,652754,51651,377266176,27,3.9570870000025025
lstm,temporal_r0,3,test,1500,0.8413333333333334,0.5533137968671985,0.4803296000224983,0.4803296000224983,"[""alert"", ""fatigue"", ""distraction""]",[],3.9570870000025025,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,R0,60,42,,B,class_weights,12,0.879392947113467,1.1256484369108928,0.39763990497999196,g4_b_class_weights_w60,0.029339200002141297,51126.1384049505,652754,51651,377266176,27,3.9570870000025025
lstm,temporal_r0,4,validation,1125,0.6808888888888889,0.5703825337776746,0.40367770692186283,0.40367770692186283,"[""alert"", ""fatigue"", ""distraction""]",[],4.96416290000343,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_4__seed_42,G4,R0,60,42,,B,class_weights,17,0.8532284335947844,1.1168137271139358,0.40367770692186283,g4_b_class_weights_w60,0.023591099998157006,47687.47536519652,653266,51651,377266176,32,4.96416290000343
lstm,temporal_r0,4,test,1095,0.7031963470319634,0.5573349688791968,0.5387552804014428,0.3591701869342952,"[""alert"", ""distraction""]","[""fatigue""]",4.96416290000343,False,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_4__seed_42,G4,R0,60,42,,B,class_weights,17,0.8532284335947844,1.1168137271139358,0.40367770692186283,g4_b_class_weights_w60,0.022604400001000613,48441.896265838885,653266,51651,377266176,32,4.96416290000343
