model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
lstm,temporal_r0,3,test,distraction,0.38620689655172413,0.5,0.4357976653696498,112,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,validation,alert,0.930327868852459,0.8972332015810277,0.9134808853118712,1012,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,validation,fatigue,0.0,0.0,0.0,17,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,validation,distraction,0.30201342281879195,0.46875,0.3673469387755102,96,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,test,alert,0.8927789934354485,0.8526645768025078,0.8722608230892571,957,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,test,fatigue,,,,0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,4,test,distraction,0.22099447513812154,0.2898550724637681,0.2507836990595611,138,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,validation,alert,0.8969873663751214,0.9102564102564102,0.90357317670093,1014,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,4,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,validation,distraction,0.3973509933774834,0.37037037037037035,0.38338658146964855,162,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,test,alert,0.8775510204081632,0.9090073529411765,0.8930022573363431,1088,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,test,fatigue,0.0,0.0,0.0,67,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
tcn,temporal_r0,1,test,distraction,0.7002457002457002,0.7519788918205804,0.7251908396946565,379,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
