configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames,scenario,strategy
qualification_r0_w60_b1024,5,2,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8091629348949363,0.8031672363522707,0.4596023966116434,0.8456947996589941,0.6796477460901857,0.3826885545318633,60,A,none
qualification_r0_w60_b1024,6,2,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8022735101619015,0.6695081117520282,0.4310846249537706,0.9173060528559249,0.5195738145000185,0.3189565732918334,60,A,none
qualification_r0_w60_b1024,7,2,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.7971064416121254,0.5466126094716933,0.3998117900114271,0.9198635976129582,0.41476656276754914,0.3194197750148016,60,A,none
qualification_r0_w60_b1024,8,2,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.7946951429555632,0.4951553230362845,0.3621894473960112,0.9207161125319693,0.3688030837441954,0.3195739014647137,60,A,none
qualification_r0_w60_b1024,9,2,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.7878057182225284,0.4860490839767982,0.3300316344191124,0.9207161125319693,0.36081010582146233,0.3195739014647137,60,A,none
qualification_r0_w60_b1024,10,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8122631760248019,0.48328300141236963,0.4421792773895448,0.8644501278772379,0.3678393736545184,0.3874546953739524,60,A,none
qualification_r0_w60_b1024,11,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.826730967964175,0.4779855497861541,0.4893708876855567,0.8567774936061381,0.3749416449312867,0.3849010961800364,60,A,none
qualification_r0_w60_b1024,12,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8315535652772994,0.46640566767514513,0.4993094760536621,0.8567774936061381,0.374555635241393,0.38993628349480663,60,A,none
qualification_r0_w60_b1024,13,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8329314502239064,0.4583872658114905,0.503413460878949,0.8499573742540495,0.37250198075787594,0.3854051939454124,60,A,none
qualification_r0_w60_b1024,14,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8353427488804684,0.45236186327459565,0.506487460050181,0.8465473145780051,0.3701278536063631,0.3832252071555567,60,A,none
qualification_r0_w60_b1024,15,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8353427488804684,0.448595459733057,0.5059382741353091,0.8456947996589941,0.3686809094665605,0.3803055825408567,60,A,none
qualification_r0_w60_b1024,16,2,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8374095763003789,0.44772408252291296,0.5083224037501738,0.8448422847399829,0.36986956046060526,0.38448569799376253,60,A,none
qualification_r0_w60_b1024,17,2,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8363761625904237,0.44315567215352153,0.507151348279817,0.8439897698209718,0.37229213161744934,0.38394777899947413,60,A,none
qualification_r0_w60_b1024,18,2,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8391319324836376,0.44219943412903295,0.5114415798598876,0.8431372549019608,0.37450521442489754,0.3834130436350783,60,A,none
qualification_r0_w60_b1024,19,2,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8401653461935928,0.4434674220930245,0.5128961037996546,0.8414322250639387,0.3762580108307207,0.38235294117647056,60,A,none
qualification_r0_w60_b1024,20,2,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8429211160868068,0.44097655403831687,0.5163757549534025,0.8414322250639387,0.3761742375441728,0.38235294117647056,60,A,none
qualification_r0_w60_b1024,21,2,G2,0.000125,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8415432311401998,0.4433825902186547,0.5150975563883047,0.8414322250639387,0.3759648039212922,0.38235294117647056,60,A,none
qualification_r0_w60_b1024,22,2,G2,0.000125,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8408542886668963,0.4449369438118332,0.5149570123647638,0.8414322250639387,0.37568793239394316,0.38235294117647056,60,A,none
qualification_r0_w60_b1024,23,2,G2,0.000125,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8391319324836376,0.4394192087354637,0.5131201660064139,0.8422847399829497,0.37475398640193597,0.38288144603934077,60,A,none
qualification_r0_w60_b1024,24,2,G2,0.000125,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,0.8394764037202893,0.4409574970289875,0.5134586732708121,0.8431372549019608,0.3737098336067346,0.3834130436350783,60,A,none
