video,frame_index,max_circular_delta
1,244,173.74012648215296
1,245,173.17373369916277
1,316,175.17730762090093
1,320,173.1226678715076
1,321,171.50227852316954
1,885,158.8071259937497
1,886,160.72386398072524
1,1511,44.07930470346497
1,1639,97.46543395210432
1,2039,84.3115292960818
1,2062,35.409997579308424
1,2063,119.17214413551508
1,2954,46.36608753994625
1,2955,52.705036876020955
1,3757,95.49394960793785
1,3762,93.87237310357835
1,3763,91.8241242327254
1,3769,103.64928101677856
1,3820,109.24995996511363
1,3944,103.83152623751204
1,3965,111.1875929774543
1,4004,112.45145388042818
1,4527,167.12427289016887
1,4590,164.18676296187454
1,4595,163.04677063569477
1,5835,93.11878725198875
1,5836,88.5274529447385
1,5977,100.56540952084177
1,5978,100.783392837017
1,10208,48.321040479231215
1,10209,48.03941516028101
1,10344,81.42273370384703
1,10369,81.8207432615963
1,10370,79.5367587218661
1,10376,71.01841059827217
1,10377,72.2541657021496
1,10400,79.50210447420795
1,10401,90.07609195787836
1,10402,88.64083551933228
1,10453,30.371568545396116
1,10583,103.59705794662716
1,10597,90.10434864813163
1,10598,91.04168794500994
1,10783,170.55270751965497
1,10784,170.4538029863612
1,10825,45.033903414286414
1,10864,172.78150503718086
1,10945,168.9699776016662
1,10955,169.8648338283798
1,10956,170.9878832740178
1,10964,170.61359901897504
1,10965,169.38693887904685
1,10967,176.38744084727176
1,10996,170.9637489763743
1,10997,170.51752388499682
1,10998,171.28562146748067
1,11012,37.581410646190136
1,11167,170.70734334014531
1,11204,169.37076456854038
1,11489,30.37896484299651
1,11490,31.18438188019104
1,11549,169.52765732827015
1,11550,169.4924277832214
1,11556,30.534927346073346
1,11593,94.57212378441636
1,11612,77.08740215679342
1,11613,77.53242100375552
1,11670,80.36248328034992
1,11671,79.64868941916568
1,12203,34.703572262227425
1,12218,85.43628560695674
1,12219,82.40637437972718
1,12442,148.16460479599354
1,12486,102.72529177017236
1,12740,91.13501350942295
1,12741,91.26732076447527
1,12761,95.35902209939897
1,12986,90.80228688654421
1,12989,97.52293014527625
1,12991,103.00966991078462
1,12992,100.70081840411288
1,13051,41.537192196024534
1,13537,103.04586122891874
1,13543,112.70951396115402
1,13544,111.56585037034874
1,13546,103.73884797226549
1,13580,97.99243031799153
1,13590,69.7678865629708
1,13591,70.76762156167968
1,13692,41.82455514688388
1,13693,43.54403968690821
1,14021,100.76723222063288
1,14022,101.02901423061496
1,14229,176.8207445175397
1,14230,174.5147828986759
1,14577,138.5388563287512
1,14578,138.20134085714784
1,14762,33.62488855784301
1,14893,156.32965515649983
1,14894,159.26298818806004
1,15229,88.92545697203593
1,15230,87.276704324771
1,15264,91.94498280612072
1,15265,91.81117891581553
1,15763,32.78237644974769
1,16275,159.64785383799884
1,16276,159.15201274172694
1,16469,48.68112525428984
1,16500,30.26350655507224
1,16518,46.856053237022564
1,16574,41.24821319395764
1,16824,161.05214246523735
1,16825,160.36001071878331
1,17011,56.512719548738175
1,17012,61.977834144090465
1,17167,93.39096676067412
1,17187,117.28977746416385
1,17196,108.77956294296905
1,17198,98.5564583594906
1,17359,56.86175965137858
1,17360,53.27818332688484
1,17391,82.5744553783968
1,17402,34.71587544635503
1,17560,32.29409142851097
1,17561,30.994336404246667
1,17649,82.20466787982735
1,17650,83.00921886804183
1,17796,179.16812970319148
1,17823,40.73116306711782
1,18460,171.6569624897777
1,18461,171.54262506509076
1,18484,116.30351752091178
1,18495,35.73398791573476
1,18499,50.558012206961166
1,18500,52.65967041464624
1,18535,47.09512837453326
1,18540,43.76449149531547
1,18842,172.6073900223381
1,19191,91.8460242663694
1,19192,95.9911544229571
1,19193,102.41045492022238
1,19194,103.24660508258418
1,25572,177.94044737376703
1,25573,176.04911249495655
1,25597,178.54049310600342
1,25598,179.95284011014866
1,25831,39.751265372067195
1,25832,37.92894216561416
1,25833,38.04200637589332
1,25834,37.074940956123726
1,29847,89.72594896490111
1,29986,68.76861614423501
1,29987,71.68388994168656
1,30102,42.63239590586102
1,30103,41.336147153317825
1,30175,64.89419074918357
1,30181,76.49534065060503
1,30427,94.87768369055311
1,30428,95.9456248835047
1,30521,32.683043680185136
1,30534,78.24809833910484
1,30537,85.06277386872758
1,30672,95.13223202186134
1,30674,101.91085851884424
1,30676,93.39326425465543
1,30678,93.32013225850886
1,30680,97.08379093293644
1,30681,95.09924377095683
1,30692,90.80001517817163
1,31828,152.4947830047821
1,31829,147.37117932960768
2,156,97.70528782822574
2,628,52.13676360338897
2,939,91.37816628518539
2,940,95.58793064622884
2,976,87.90288468426661
2,977,89.19962270536544
2,1428,158.27437914535898
2,1429,154.25398678125197
2,1430,158.47722340896917
2,1431,164.67071565804684
2,1499,31.810179684258742
2,2011,76.78933435536271
2,2017,89.92971797771983
2,2272,81.34927716026948
2,3050,165.45443654100154
2,3051,167.8488944909464
2,3052,167.47850598885879
2,3053,166.96732655002006
2,3678,166.13780378371126
2,3681,165.94397106341808
2,5500,74.3512499593646
2,5693,65.20604635462496
2,5694,69.03402627085073
2,6346,58.54536190188597
2,6347,72.61174950077427
2,6843,60.83787350166563
2,6844,60.38285122585454
2,7001,35.02305848988317
2,7002,33.13336114622362
2,7172,61.28110399149334
2,7197,63.691899097509065
2,7814,65.38367660677199
2,7815,56.02111664224036
2,7816,72.68086602688072
2,8016,55.707424071979176
2,8744,61.269165266953166
2,8745,64.07495494500078
2,8795,97.30643849956482
2,8798,102.44682108875531
2,8799,101.22937386963312
2,9264,63.64239366632955
2,9265,177.82902253704805
2,9266,166.53894450286077
2,9284,130.8026386030682
2,9324,84.70811375622822
2,9325,85.06989028465813
2,9326,84.01448157320351
2,9534,67.31210964342876
2,9656,107.70905783511785
2,9665,103.851991330591
2,9666,107.03076099613804
2,9669,97.36080469089498
2,9675,91.07137371076765
2,9676,75.03382222947175
2,9677,78.74124533934959
2,10119,87.21610732647511
2,10120,138.0291628613037
2,10142,90.58038503335246
2,10145,54.462896901715226
2,10146,35.126204998613844
2,10149,87.24751843506795
2,10188,89.62219750038234
2,10189,64.1598366344511
2,10191,81.38073417730317
2,10199,32.224859391067014
2,10200,97.38422448272382
2,10204,96.13316682861489
2,10208,59.86443296127311
2,10209,58.941653300609175
2,10211,117.62989271334334
2,10212,108.57597682442862
2,10214,109.6002450275355
2,10215,84.90512093374956
2,10217,93.2045766872472
2,10374,102.56158074762845
2,10375,105.26187044010362
2,10384,99.3081498144609
2,10422,101.93659393990492
2,10424,61.17301356387546
2,10446,118.17865997490708
2,10448,104.14687194221875
2,10449,85.93870662664881
2,10450,85.20313371822488
2,10500,109.21408275417338
2,10506,110.06419418297833
2,10523,32.25286899783441
2,10525,104.88128270266995
2,10570,68.86944266003727
2,10572,86.38902115035816
2,10574,89.68056082583507
2,10575,87.25260192489563
2,10593,71.01100588259783
2,10594,108.25723760225924
2,10595,105.53850055318856
2,10611,97.23186653337768
2,10612,94.23447094567882
2,10616,99.91846852282242
2,10619,94.67287057769101
2,10761,74.25130975932785
2,10762,52.98236699313048
2,10779,101.92438887886169
2,10781,103.2740200866009
2,10782,101.70691370250252
2,10785,99.0564906696236
2,10786,100.5892939064789
2,10789,104.70328752135543
2,10799,109.10931514579858
2,10802,95.36715576851122
2,10807,88.80321105449161
2,10808,90.71160910694671
2,10912,81.9286803627964
2,10913,96.5306173152612
2,10930,93.11648491397568
2,10931,93.58383691694779
2,10936,63.23766934100689
2,10937,64.53917458557565
2,10983,64.74725180495821
2,10984,75.44641978505136
2,10985,102.81500877935446
2,10986,98.83365916506335
2,10993,100.19993012312045
2,10994,96.48359469233023
2,10998,88.52862345523641
2,10999,96.12968451890325
2,11010,101.59793102499702
2,11081,62.374067651520704
2,11082,63.30189743001867
2,11102,64.35004008688728
2,11103,49.707047308571646
2,11104,89.56367428891366
2,11106,100.48006417607259
2,11153,97.33466147353411
2,11179,95.20716794255378
2,11180,96.27808619919227
2,11181,86.52758336772047
2,11205,69.67685236531736
2,11206,67.63356328315993
2,11216,90.7310663235341
2,11220,97.23084937412273
2,11406,106.20597478780155
2,11407,112.7896198740936
2,11432,98.57591692043752
2,11806,102.338369419186
2,11814,96.48284132206112
2,11824,93.03133248563972
2,11851,88.64269908172997
2,11855,102.31800979285245
2,11862,74.89030838761079
2,11865,88.65870307747434
2,11869,84.85006425668004
2,12011,96.14554595151424
2,12012,98.78471395007632
2,12054,79.74368488085473
2,12106,77.91488722421127
2,12501,51.27352665881355
2,14918,53.237019342377664
2,14919,54.831822583975594
2,14920,54.17916093191974
2,14921,57.01091006556577
2,16477,77.1364719286488
2,16595,97.34864952328678
2,16596,98.96817804402401
2,16598,100.65838442253505
2,16609,83.6640859483445
2,16610,85.47156881704501
2,16627,104.19525319573165
2,16631,101.59134137422059
2,16642,47.92241382519069
2,16643,49.059042735905535
2,16644,85.39890721655212
2,16647,74.25469007950343
2,16648,86.5320019993726
2,16649,81.17333467229493
2,16686,37.70264031043945
2,16687,30.6051157285562
2,16786,85.87810530175352
2,16797,96.06671333820901
2,16798,94.16043736404495
2,16827,101.30442974561288
2,16828,103.20732208382299
2,16829,104.11967789798285
2,16832,105.22420872987922
2,16841,85.16987975369949
2,16843,93.50417560338742
2,16876,103.57152500044128
2,16877,101.77413487231806
2,16879,89.24974964977298
2,16880,88.75725766577236
2,16882,80.32875838131235
2,16883,90.63556959767041
2,16884,54.47371232079712
2,16885,45.5888526786548
2,17026,100.82924679853338
2,17052,96.93209768101212
2,17053,93.4307438073063
2,17056,66.19306635159842
2,17057,68.69250254216433
2,17098,92.27755681230371
2,17099,92.60390771899569
2,17119,85.16257026746757
2,17120,92.7272221864562
2,17142,61.76340461549108
2,17153,103.05833260605283
2,17156,107.99557899888865
2,17159,108.35318225916103
2,17163,97.65814669612274
2,17171,31.799854064854458
2,17172,32.13425717366238
2,17271,162.73796738328156
2,17272,157.927047205704
2,17308,71.93630301175784
2,17309,68.26543215487662
2,17353,94.8073545176054
2,17400,94.9759440651963
2,17422,109.1043779640076
2,17423,109.06922053251989
2,17435,65.79996070249106
2,17436,72.2186363259872
2,17483,90.44162315488495
2,17486,56.969554900787756
2,17491,64.55214617648957
2,17508,84.33117063488237
2,17510,114.68167523860814
2,17512,84.08550413046362
2,17554,82.20798436375412
2,17555,87.36402551636115
2,17556,102.28651937844876
2,17558,104.46909802660778
2,17672,99.97296581431968
2,17676,100.70638210484293
2,17678,109.03274148998483
2,17679,108.72046669721266
2,18312,165.80806876485258
2,18313,167.15383698609264
2,18552,179.37156105805445
2,18553,64.292796591946
2,18856,55.65355726425588
