video,frame_index,method,head_point_max_delta_px,rotation_delta_degrees
1,17796,iterative,0.0033296691665789125,0.004320463310310345
1,17796,sqpnp,0.0033296691665789125,0.004283627686109873
2,3050,iterative,0.0025054169618864493,0.002250857272908721
2,3050,sqpnp,0.0025054169618864493,0.012275847758015861
2,3052,iterative,0.003636493100173412,0.0034770803593409767
2,3052,sqpnp,0.003636493100173412,0.0025276484648686687
3,3945,iterative,4.57763671875e-05,5.4654851945280214e-05
3,3945,sqpnp,4.57763671875e-05,5.6542767173196e-05
3,3946,iterative,0.0004250606774043005,0.0007108166826900411
3,3946,sqpnp,0.0004250606774043005,0.004648056646523071
3,3947,iterative,4.315837287515549e-05,3.4448470600985575e-05
3,3947,sqpnp,4.315837287515549e-05,4.219058769584133e-05
3,4405,iterative,5.501634636633284e-05,5.826966043336328e-05
3,4405,sqpnp,5.501634636633284e-05,0.00027324758450966713
3,4406,iterative,4.57763671875e-05,6.737783423576828e-05
3,4406,sqpnp,4.57763671875e-05,0.00012888871911686443
3,4407,iterative,0.007355749290006794,0.01059752653885055
3,4407,sqpnp,0.007355749290006794,0.021388911999283503
3,4408,iterative,0.005609343382552359,0.004447691015849119
3,4408,sqpnp,0.005609343382552359,0.03574832738628787
3,28672,iterative,0.009191010978555209,0.010382763827230546
3,28672,sqpnp,0.009191010978555209,0.055007894174463175
3,28673,iterative,0.00606256096111205,49.50242642148792
3,28673,sqpnp,0.00606256096111205,0.010706357487875146
4,243,iterative,0.013383412907327048,0.015588540356861266
4,243,sqpnp,0.013383412907327048,0.015574935175734581
4,244,iterative,0.013084180290468263,0.01210332806593468
4,244,sqpnp,0.013084180290468263,0.03177490024453495
4,245,iterative,0.0043189651361146015,0.008158442252818582
4,245,sqpnp,0.0043189651361146015,0.02892282356236585
4,246,iterative,0.004930855905778969,0.007446756759922927
4,246,sqpnp,0.004930855905778969,0.005614020408052542
4,23861,iterative,3.411968959808029e-05,8.326810208050963e-05
4,23861,sqpnp,3.411968959808029e-05,0.00027650142003932517
4,23862,iterative,0.003124374461151072,0.003356126973858206
4,23862,sqpnp,0.003124374461151072,0.005383738882787038
4,23863,iterative,6.823937919616058e-05,8.928366225281427e-05
4,23863,sqpnp,6.823937919616058e-05,0.00024435532748254214
