target_video,calibration_videos,threshold,equal_video_mean_macro_f1,equal_video_mean_fatigue_f1,equal_video_mean_fatigue_precision,held_out_num_windows,held_out_equal_video_mean_macro_f1,held_out_equal_video_mean_fatigue_f1,held_out_equal_video_mean_fatigue_precision,model_key
video_01,"[""video_02"",""video_03"",""video_04""]",0.39,0.43909605105326605,0.1111111111111111,0.16666666666666666,363,0.23119266055045873,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.38,0.3833316162229267,0.12666048810627126,0.08714596949891067,370,0.3927779228693306,0.0,0.0,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.37,0.34725615425704975,0.026515151515151516,0.014314928425357873,392,0.4954664057403783,0.2857142857142857,0.2,lstm_b
video_04,"[""video_01"",""video_02"",""video_03""]",0.39,0.38591775389746075,0.1111111111111111,0.16666666666666666,418,0.39072755201787457,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.35,0.431631643879608,0.01932367149758454,0.010256410256410256,363,0.26191240344908745,0.037037037037037035,0.021052631578947368,tcn_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.35,0.3853314423192767,0.03166935050993022,0.01727395411605938,370,0.40081300813008136,0.0,0.0,tcn_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.45,0.36692438571998703,0.0,0.0,392,0.44049247606019154,0.0,0.0,tcn_b
video_04,"[""video_01"",""video_02"",""video_03""]",0.36,0.39541833696521417,0.03463203463203463,0.01905137301274471,418,0.3755331088664422,0.0,0.0,tcn_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.5,0.43169388840191475,0.03389830508474576,0.01818181818181818,363,0.25831923293852227,0.0,0.0,tcn_c
video_02,"[""video_01"",""video_03"",""video_04""]",0.5,0.3768961599478709,0.03389830508474576,0.01818181818181818,370,0.4227124183006536,0.0,0.0,tcn_c
video_03,"[""video_01"",""video_02"",""video_04""]",0.5,0.3539295880408901,0.0,0.0,392,0.49161213402159626,0.1016949152542373,0.05454545454545454,tcn_c
video_04,"[""video_01"",""video_02"",""video_03""]",0.5,0.39088126175359067,0.03389830508474576,0.01818181818181818,418,0.3807571128834943,0.0,0.0,tcn_c
