model_key,fold,method,label,precision,recall,f1,support
lstm_b,1,argmax,alert,0.9034994697773064,0.8402366863905325,0.8707204905467553,1014
lstm_b,1,argmax,fatigue,0.08333333333333333,0.5,0.14285714285714285,4
lstm_b,1,argmax,distraction,0.3286384976525822,0.43209876543209874,0.37333333333333335,162
lstm_b,1,crossfit_threshold,alert,0.9037037037037037,0.8422090729783037,0.8718734047983665,1014
lstm_b,1,crossfit_threshold,fatigue,0.08695652173913043,0.5,0.14814814814814814,4
lstm_b,1,crossfit_threshold,distraction,0.33962264150943394,0.4444444444444444,0.3850267379679144,162
lstm_b,2,argmax,alert,0.9399092970521542,0.7675925925925926,0.8450560652395515,1080
lstm_b,2,argmax,fatigue,0.0,0.0,0.0,17
lstm_b,2,argmax,distraction,0.10689655172413794,0.40789473684210525,0.16939890710382513,76
lstm_b,2,crossfit_threshold,alert,0.9399092970521542,0.7675925925925926,0.8450560652395515,1080
lstm_b,2,crossfit_threshold,fatigue,0.0,0.0,0.0,17
lstm_b,2,crossfit_threshold,distraction,0.10416666666666667,0.39473684210526316,0.16483516483516483,76
lstm_b,3,argmax,alert,0.8808618504435995,0.704868154158215,0.7830985915492957,986
lstm_b,3,argmax,fatigue,0.05785123966942149,0.5384615384615384,0.1044776119402985,13
lstm_b,3,argmax,distraction,0.24896265560165975,0.39473684210526316,0.3053435114503817,152
lstm_b,3,crossfit_threshold,alert,0.8813131313131313,0.7079107505070994,0.7851518560179978,986
lstm_b,3,crossfit_threshold,fatigue,0.0,0.0,0.0,13
lstm_b,3,crossfit_threshold,distraction,0.010309278350515464,0.006578947368421052,0.008032128514056224,152
lstm_b,4,argmax,alert,0.92578125,0.7025691699604744,0.798876404494382,1012
lstm_b,4,argmax,fatigue,0.058823529411764705,0.5294117647058824,0.10588235294117647,17
lstm_b,4,argmax,distraction,0.22549019607843138,0.4791666666666667,0.30666666666666664,96
lstm_b,4,crossfit_threshold,alert,0.9263565891472868,0.708498023715415,0.8029115341545353,1012
lstm_b,4,crossfit_threshold,fatigue,0.03,0.5294117647058824,0.056782334384858045,17
lstm_b,4,crossfit_threshold,distraction,0.0,0.0,0.0,96
tcn_b,1,argmax,alert,0.9090909090909091,0.7297830374753451,0.8096280087527352,1014
tcn_b,1,argmax,fatigue,0.025477707006369428,1.0,0.049689440993788817,4
tcn_b,1,argmax,distraction,0.3492822966507177,0.4506172839506173,0.3935309973045822,162
tcn_b,1,crossfit_threshold,alert,0.914179104477612,0.7248520710059172,0.8085808580858086,1014
tcn_b,1,crossfit_threshold,fatigue,0.023391812865497075,1.0,0.045714285714285714,4
tcn_b,1,crossfit_threshold,distraction,0.33658536585365856,0.42592592592592593,0.3760217983651226,162
tcn_b,2,argmax,alert,0.9441860465116279,0.7518518518518519,0.8371134020618557,1080
tcn_b,2,argmax,fatigue,0.056179775280898875,0.29411764705882354,0.09433962264150944,17
tcn_b,2,argmax,distraction,0.14732142857142858,0.4342105263157895,0.22,76
