target_video,calibration_videos,threshold,equal_video_mean_macro_f1,equal_video_mean_fatigue_f1,equal_video_mean_fatigue_precision,model_key
video_01,"[""video_02"",""video_03"",""video_04""]",0.05,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.06,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.07,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.08,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.09,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.1,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.11,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.12,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.13,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.14,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.15,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.16,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.17,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.18,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.19,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.2,0.002244668911335578,0.006734006734006735,0.003401360544217687,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.21,0.08757862041575248,0.007511737089201879,0.003798670465337132,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.22,0.21497401635578917,0.01340033500837521,0.006837606837606838,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.23,0.25216635534075743,0.016460905349794237,0.008438818565400843,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.24,0.2645392582346721,0.018912529550827423,0.009732360097323601,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.25,0.27368667507669936,0.022222222222222223,0.011494252873563218,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.26,0.2791521596242152,0.024464831804281346,0.0126984126984127,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.27,0.2840008316745755,0.028368794326241134,0.014814814814814815,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.28,0.2811960435177319,0.015151515151515152,0.007936507936507936,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.29,0.2851063144923856,0.017316017316017316,0.0091324200913242,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.3,0.3416399623549044,0.022222222222222223,0.011904761904761904,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.31,0.3330330621136545,0.025641025641025644,0.013888888888888888,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.32,0.3311457035136937,0.03508771929824561,0.0196078431372549,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.33,0.4024312038684483,0.04040404040404041,0.022988505747126436,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.34,0.4078906432854051,0.047619047619047616,0.027777777777777776,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.35,0.4170081808702372,0.06666666666666667,0.041666666666666664,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.36,0.4210523720711248,0.07407407407407407,0.047619047619047616,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.37,0.42650901881530573,0.09523809523809523,0.06666666666666667,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.38,0.4291612418151611,0.10256410256410257,0.07407407407407407,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.39,0.43909605105326605,0.1111111111111111,0.16666666666666666,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.4,0.4006885307934304,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.41,0.40066996276015643,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.42,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.43,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.44,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.45,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.46,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.47,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.48,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.49,0.4004360825068462,0.0,0.0,lstm_b
video_01,"[""video_02"",""video_03"",""video_04""]",0.5,0.4004360825068462,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.05,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.06,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.07,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.08,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.09,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.1,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.11,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.12,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.13,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.14,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.15,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.16,0.00992788404135922,0.02978365212407766,0.015338917936320534,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.17,0.03417029228636155,0.03260465350017589,0.01685891748003549,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.18,0.061886891731938364,0.03170279574773957,0.01652472012427018,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.19,0.0690819928915167,0.031223802652374084,0.016332395026976306,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.2,0.0723972497176694,0.03215773554756606,0.016854275342423963,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.21,0.1456951455469309,0.031006597588467664,0.016259729655368284,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.22,0.2301262096250308,0.03442135602939623,0.018001881159775898,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.23,0.2450564058267369,0.03776988556288404,0.01976567940682479,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.24,0.2557558590015065,0.040719383133381935,0.02134098364624566,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.25,0.2648386144436657,0.04423480083857442,0.023219546005891527,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.26,0.27008040713141007,0.046900729240178775,0.024664224664224663,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.27,0.2746578455820749,0.05091307774008976,0.02684230622374952,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.28,0.2730009620075991,0.038027332144979206,0.02015291282306989,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.29,0.2789353275010549,0.04100468059858923,0.021813579511614056,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.3,0.3358616708478785,0.046031746031746035,0.024655217278168096,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.31,0.32757657469135776,0.04957264957264957,0.026709401709401708,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.32,0.3266311560170189,0.05952052907136952,0.03271645736946464,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.33,0.36198672894948464,0.06549364613880743,0.03647598166234802,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.34,0.3630717027646873,0.07298136645962733,0.041423001949317736,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.35,0.3720960426560926,0.0925925925925926,0.05563872255489022,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.36,0.37595807597336356,0.10029130253849354,0.06176046176046176,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.37,0.3817752614685908,0.12175324675324674,0.08098159509202454,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.38,0.3833316162229267,0.12666048810627126,0.08714596949891067,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.39,0.38323185494453343,0.1111111111111111,0.16666666666666666,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.4,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.41,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.42,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.43,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.44,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.45,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.46,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.47,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.48,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.49,0.34484392293958016,0.0,0.0,lstm_b
video_02,"[""video_01"",""video_03"",""video_04""]",0.5,0.34484392293958016,0.0,0.0,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.05,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.06,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.07,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.08,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.09,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.1,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.11,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.12,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.13,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.14,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.15,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.16,0.007683215130023641,0.023049645390070924,0.011937557392102846,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.17,0.031925623375025976,0.025870646766169153,0.013457556935817806,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.18,0.05964222282060278,0.024968789013732836,0.013123359580052493,lstm_b
video_03,"[""video_01"",""video_02"",""video_04""]",0.19,0.06683732398018112,0.02448979591836735,0.01293103448275862,lstm_b
