model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
lstm,validation,42,0.7157995403042814,0.5258588852421757,0.40435497579077473,8.75,23.75,0.40435497579077473,21.27943690000029
tcn,validation,42,0.7165035064204298,0.520429843421528,0.4035265897568637,5.75,20.75,0.4035265897568637,1782.0488230000083
