ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,distraction,focal_r0_w60,31,2,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,699,3,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,99,3,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,188,3,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,6,3,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,7,3,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,0,3,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,86,3,G45,lstm,alert,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,4,3,G45,lstm,fatigue,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,focal_r0_w60,62,3,G45,lstm,distraction,R0,G45__focal_r0_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,706,3,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,95,3,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,focal_r0_w60,185,3,G45,tcn,distraction,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,11,3,G45,tcn,alert,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,focal_r0_w60,2,3,G45,tcn,fatigue,R0,G45__focal_r0_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
