extractor,frames,detected,detection_rate,detection_ci95_low,detection_ci95_high,longest_missing_run_frames,longest_missing_run_seconds,operator_present_frames,detected_operator_present,detection_rate_operator_present,detection_present_ci95_low,detection_present_ci95_high,operator_absent_frames,detected_operator_absent,false_detection_rate_operator_absent,false_detection_absent_ci95_low,false_detection_absent_ci95_high,longest_missing_run_present_frames,longest_missing_run_present_seconds,latency_median_ms,latency_p95_ms
mediapipe,31790,13349,0.41991192198804655,0.4144965534577268,0.42534664364083236,15706,881.6895845863479,16631,13273,0.798087908123384,0.7919184657087662,0.8041196765569377,15159,76,0.0050135233194801765,0.00400776853813883,0.006270084675846755,671,37.66800657439446,5.246,9.42361
openface,31790,14788,0.4651777288455489,0.45969928124587717,0.47066459117678777,6404,359.50210745517455,16631,14688,0.8831699837652577,0.8781993674488914,0.8879636303500394,15159,100,0.006596741209842338,0.005427191517542688,0.008016295270490253,572,32.110431833910035,,
