video_id,frame_index,timestamp_seconds,ear,mar,pitch,yaw,roll,face_detected,pose_detected,ear_eye,pitch_raw,yaw_raw,roll_raw
video_01,0,0.0,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,1,0.066,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,2,0.133,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,3,0.199,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,4,0.266,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,5,0.333,nan,nan,nan,nan,nan,0,1,,nan,nan,nan
video_01,6,0.399,0.13178734557181168,0.02718054904992266,-42.21282572865361,-18.924938275263646,-156.17131466548724,1,1,RIGHT_EYE,-42.21282572865361,-18.924938275263646,-156.17131466548724
video_01,7,0.466,0.16946601659713234,0.05402831467745939,-43.33374448808223,-20.964782595510382,-151.37939252599486,1,1,RIGHT_EYE,-43.33374448808223,-20.964782595510382,-151.37939252599486
video_01,8,0.533,0.15503422106856768,0.036383739859702766,-44.728341302791634,-22.636973244979135,-148.6449833890717,1,1,RIGHT_EYE,-44.728341302791634,-22.636973244979135,-148.6449833890717
video_01,9,0.599,0.1826267092955563,0.0585248185153339,-43.53482397553334,-22.4423704081542,-150.18132859460263,1,1,RIGHT_EYE,-43.53482397553334,-22.4423704081542,-150.18132859460263
video_01,10,0.666,0.1664425339154329,0.02449826296435018,-42.09303912986726,-22.183981504186104,-149.94315491543426,1,1,RIGHT_EYE,-42.09303912986726,-22.183981504186104,-149.94315491543426
video_01,11,0.733,0.14065114943242277,0.044403003044093683,-41.44104916105385,-21.291910949353127,-149.5148163577612,1,1,RIGHT_EYE,-41.44104916105385,-21.291910949353127,-149.5148163577612
video_01,12,0.799,0.1957081866982872,0.030781744810406998,-43.778799365355916,-22.03731701878702,-151.13353974342493,1,1,RIGHT_EYE,-43.778799365355916,-22.03731701878702,-151.13353974342493
video_01,13,0.866,0.14626093940140691,0.03885108252484957,-42.8178780991344,-21.79541379507254,-150.64285696633175,1,1,RIGHT_EYE,-42.8178780991344,-21.79541379507254,-150.64285696633175
video_01,14,0.933,0.1697208844048995,0.03617681958254909,-42.759164792027526,-21.279520296239564,-149.7721744831952,1,1,RIGHT_EYE,-42.759164792027526,-21.279520296239564,-149.7721744831952
video_01,15,0.999,0.16462170549345104,0.03304946764078207,-44.127064964972924,-21.299989044443745,-150.0753205861184,1,1,RIGHT_EYE,-44.127064964972924,-21.299989044443745,-150.0753205861184
video_01,16,1.066,0.10724617923689785,0.03663473838459979,-43.573709938296986,-20.005198464275907,-152.11485256136967,1,1,RIGHT_EYE,-43.573709938296986,-20.005198464275907,-152.11485256136967
video_01,17,1.133,0.09916521886111286,0.032545308893941374,-44.11873941734415,-21.806107665231295,-151.30758539375495,1,1,RIGHT_EYE,-44.11873941734415,-21.806107665231295,-151.30758539375495
video_01,18,1.199,0.11143586160113372,0.02556930060565437,-41.838712563236776,-21.39129617103454,-149.9874960041232,1,1,RIGHT_EYE,-41.838712563236776,-21.39129617103454,-149.9874960041232
video_01,19,1.266,0.16994649425219566,0.02738870035472212,-41.65902972684492,-20.787524089741552,-150.1089918048506,1,1,RIGHT_EYE,-41.65902972684492,-20.787524089741552,-150.1089918048506
video_01,20,1.333,0.15344491298361748,0.036400196558314966,-45.468968560298755,-22.690610300018996,-149.61083830205516,1,1,RIGHT_EYE,-45.468968560298755,-22.690610300018996,-149.61083830205516
video_01,21,1.399,0.16583135060272275,0.052408791408702894,-45.071296967681526,-21.740299970369698,-149.74099837020825,1,1,RIGHT_EYE,-45.071296967681526,-21.740299970369698,-149.74099837020825
video_01,22,1.466,0.1423360014035628,0.08892637768999138,-44.0839024120433,-21.249869841618867,-150.3621135861342,1,1,RIGHT_EYE,-44.0839024120433,-21.249869841618867,-150.3621135861342
video_01,23,1.5330000000000001,0.10907672855076417,0.06152485918645338,-42.2962589297474,-20.70695459606829,-148.9405944235551,1,1,RIGHT_EYE,-42.2962589297474,-20.70695459606829,-148.9405944235551
