video_id,frame_index,timestamp_seconds,ear,mar,pitch,yaw,roll,face_detected,pose_detected,ear_eye,pitch_raw,yaw_raw,roll_raw
video_02,0,0.0,0.18020786422563734,0.029218519132529326,-38.493385452891616,-19.194142453042687,-154.10223268731636,1,1,RIGHT_EYE,-38.493385452891616,-19.194142453042687,-154.10223268731636
video_02,1,0.066,0.10196195288792903,0.01654435186604082,-32.19219984347714,-21.757148939067964,-147.7253343172426,1,1,RIGHT_EYE,-32.19219984347714,-21.757148939067964,-147.7253343172426
video_02,2,0.133,0.10847709311564124,0.005128839356745558,-33.01331997099827,-22.738202091452706,-148.68948819720688,1,1,RIGHT_EYE,-33.01331997099827,-22.738202091452706,-148.68948819720688
video_02,3,0.199,0.11983486695545996,0.007125584729089823,-32.50385377819858,-23.710477687480612,-148.9245520263724,1,1,RIGHT_EYE,-32.50385377819858,-23.710477687480612,-148.9245520263724
video_02,4,0.266,0.12741765353958628,0.00734524718428109,-31.94970881815246,-24.226994303450457,-147.18733372604703,1,1,RIGHT_EYE,-31.94970881815246,-24.226994303450457,-147.18733372604703
video_02,5,0.333,0.1368964247708961,0.013897628270901491,-31.381828841541186,-23.942155127362213,-148.0373949184605,1,1,RIGHT_EYE,-31.381828841541186,-23.942155127362213,-148.0373949184605
video_02,6,0.399,0.1283085709739571,0.01621542360516626,-30.887253446549995,-23.55119665498296,-147.1580446599483,1,1,RIGHT_EYE,-30.887253446549995,-23.55119665498296,-147.1580446599483
video_02,7,0.466,0.1419523773102378,0.023462733717610353,-31.557734100627755,-23.543811418425147,-148.76293064211114,1,1,RIGHT_EYE,-31.557734100627755,-23.543811418425147,-148.76293064211114
video_02,8,0.533,0.1322755597497058,0.02625899402074274,-31.594409276837883,-23.617734238547907,-148.65674170869366,1,1,RIGHT_EYE,-31.594409276837883,-23.617734238547907,-148.65674170869366
video_02,9,0.599,0.13342499756355583,0.018913110839775604,-31.469575409542788,-23.331985146797415,-148.91462887350704,1,1,RIGHT_EYE,-31.469575409542788,-23.331985146797415,-148.91462887350704
video_02,10,0.666,0.12916457886427107,0.009968696942026328,-31.210454924239674,-23.406580465982593,-148.4625150474656,1,1,RIGHT_EYE,-31.210454924239674,-23.406580465982593,-148.4625150474656
video_02,11,0.733,0.12391842571775062,0.007182765303244435,-31.995867158379028,-23.52047703265141,-148.72376327022414,1,1,RIGHT_EYE,-31.995867158379028,-23.52047703265141,-148.72376327022414
video_02,12,0.799,0.1350628525172737,0.005040563435084524,-31.974841290645443,-23.28923447904825,-148.5441502802526,1,1,RIGHT_EYE,-31.974841290645443,-23.28923447904825,-148.5441502802526
video_02,13,0.866,0.1324584032895356,0.01150003526090698,-31.477018326417117,-23.32106794442992,-147.08406151795447,1,1,RIGHT_EYE,-31.477018326417117,-23.32106794442992,-147.08406151795447
video_02,14,0.933,0.14030858267822383,0.02040354516753863,-31.572374132724942,-23.509391115147785,-148.38337040317344,1,1,RIGHT_EYE,-31.572374132724942,-23.509391115147785,-148.38337040317344
video_02,15,0.999,0.1367357512122131,0.04523787186865074,-33.233023521496214,-24.94818865531111,-148.11457766136084,1,1,RIGHT_EYE,-33.233023521496214,-24.94818865531111,-148.11457766136084
video_02,16,1.066,0.12720677837259253,0.01915365901917101,-30.999586544012317,-24.67586772912152,-146.29884674710232,1,1,RIGHT_EYE,-30.999586544012317,-24.67586772912152,-146.29884674710232
video_02,17,1.133,0.10466594368759058,0.01215535771401854,-32.16461846708919,-25.45615858942054,-146.18284689291852,1,1,RIGHT_EYE,-32.16461846708919,-25.45615858942054,-146.18284689291852
video_02,18,1.199,0.11722657284450211,0.016288865556259483,-29.71487540173507,-23.89040498361494,-147.89817894989392,1,1,RIGHT_EYE,-29.71487540173507,-23.89040498361494,-147.89817894989392
video_02,19,1.266,0.10702958258150819,0.0127555009897814,-29.04925574466128,-24.62904301719473,-146.8495433846718,1,1,RIGHT_EYE,-29.04925574466128,-24.62904301719473,-146.8495433846718
video_02,20,1.333,0.1113458752562461,0.015357861656428802,-31.514163979938576,-24.412024171404433,-148.82809731390233,1,1,RIGHT_EYE,-31.514163979938576,-24.412024171404433,-148.82809731390233
