model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
tcn,temporal_r0,1,validation,alert,0.0,0.0,0.0,36,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
tcn,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,4,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
tcn,temporal_r0,1,validation,distraction,0.375,1.0,0.5454545454545454,24,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
tcn,temporal_r0,1,test,alert,0.0,0.0,0.0,22,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
tcn,temporal_r0,1,test,fatigue,0.0,0.0,0.0,21,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
tcn,temporal_r0,1,test,distraction,0.328125,1.0,0.49411764705882355,21,G4SMOKE__g4_smoke_c__tcn__r0__w60__fold_1__seed_42,G4SMOKE,g4_smoke_c,R0,60,42
