model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
tcn,test,42,0.328125,0.3333333333333333,0.16470588235294117,1.0,2.0,0.1818181818181818,1.4942329000041354
tcn,validation,42,0.375,0.3333333333333333,0.1818181818181818,1.0,2.0,0.1818181818181818,1.4942329000041354
