video_id,frame_index,timestamp_seconds,state,ear,mar,pitch,yaw,roll,face_detected,pose_detected
video_01,0,0.0,alert,,,,,,0,1
video_01,1,0.066,alert,,,,,,0,1
video_01,2,0.133,alert,,,,,,0,1
video_01,3,0.199,alert,,,,,,0,1
video_01,4,0.266,alert,,,,,,0,1
video_01,5,0.333,alert,,,,,,0,1
video_01,6,0.399,alert,0.5455066578,0.02717514551,-42.2104181,-18.92538153,-156.1703247,1,1
video_01,7,0.466,alert,0.4512591954,0.05383484785,-43.33033392,-20.95095735,-151.3835523,1,1
video_01,8,0.533,alert,0.5188970455,0.03664095774,-44.68349915,-22.58491118,-148.7193007,1,1
video_01,9,0.599,alert,0.4539197165,0.05758879847,-43.62492646,-22.46766099,-150.2375423,1,1
video_01,10,0.666,alert,0.391852274,0.02799745458,-42.1663681,-22.07324595,-150.0068052,1,1
video_01,11,0.733,alert,0.3520493492,0.04872709295,-41.57866401,-21.45892253,-149.4885095,1,1
video_01,12,0.799,alert,0.5605912005,0.03038307451,-43.80909852,-21.75141097,-151.2372686,1,1
video_01,13,0.866,alert,0.4027823245,0.04004445599,-42.66042039,-21.68822904,-150.7533532,1,1
video_01,14,0.933,alert,0.4619117079,0.03694365325,-42.87030867,-21.31052277,-149.7865549,1,1
video_01,15,0.999,alert,0.514234902,0.03356198172,-44.15678168,-21.158735,-150.1507802,1,1
video_01,16,1.066,alert,0.5314641751,0.02676403782,-44.0367644,-20.22232213,-152.4945621,1,1
video_01,17,1.133,alert,0.3351619865,0.03880502037,-43.24469031,-22.34108219,-150.3834804,1,1
video_01,18,1.199,alert,0.3988123445,0.06440189619,-42.01635828,-22.33203558,-150.2028629,1,1
video_01,19,1.266,alert,0.4497586259,0.06949755229,-43.36320907,-22.44579603,-148.796822,1,1
video_01,20,1.333,alert,0.4509093683,0.0600329731,-43.35659743,-21.71243006,-149.1762419,1,1
video_01,21,1.399,alert,0.4389716212,0.03229735139,-44.17838785,-21.66253963,-149.0542808,1,1
video_01,22,1.466,alert,0.3605599277,0.1176843932,-43.45108988,-20.98678309,-149.8284884,1,1
video_01,23,1.533,alert,0.367935891,0.0564282222,-42.48245125,-21.65393567,-148.3602102,1,1
video_01,24,1.599,alert,0.3542832091,0.02698069743,-43.43365928,-22.85045101,-147.578449,1,1
video_01,25,1.666,alert,0.399976618,0.04044593656,-43.35873801,-22.35817983,-148.745896,1,1
video_01,26,1.733,alert,0.3662718887,0.04287471155,-41.26741257,-21.44244276,-148.3761094,1,1
video_01,27,1.799,alert,0.4279888391,0.02429661261,-41.16439927,-22.77298187,-149.0137271,1,1
video_01,28,1.866,alert,0.383125044,0.03066376352,-41.80607488,-23.37097878,-149.4971108,1,1
video_01,29,1.933,alert,0.4117008354,0.009814005018,-42.68184648,-24.16629159,-149.1789823,1,1
video_01,30,1.999,alert,0.4423776343,0.0171184504,-41.9031075,-22.90237669,-150.6092058,1,1
video_01,31,2.066,alert,0.4098001545,0.01709029372,-40.69466423,-21.67004623,-150.2422725,1,1
video_01,32,2.133,alert,0.3414363589,0.02520875955,-41.39348891,-21.78022653,-149.1537416,1,1
video_01,33,2.199,alert,0.3916600012,0.06067669832,-42.24066863,-22.62534452,-148.2335429,1,1
video_01,34,2.266,alert,0.3639620415,0.02830323114,-56.87298932,-40.03873946,-132.3358782,1,1
video_01,35,2.333,alert,0.4199238169,0.03095432408,-42.76018614,-22.83427967,-148.4705523,1,1
video_01,36,2.399,alert,0.3575613145,0.003663121942,-40.65760185,-22.7048304,-148.1183712,1,1
video_01,37,2.466,alert,0.4053082447,0.0150844876,-41.06070247,-21.55015602,-148.5107678,1,1
video_01,38,2.533,alert,0.4033127666,0.01531783934,-41.09360763,-23.51308256,-145.9977095,1,1
video_01,39,2.599,alert,0.3940605021,0.0085374825,-41.21440172,-21.98454158,-151.2288678,1,1
video_01,40,2.666,alert,0.3550954317,0.01328255953,-41.55511143,-23.42676908,-148.0611209,1,1
video_01,41,2.733,alert,0.3945374125,0.01549756302,-41.1040798,-22.91460115,-148.7836094,1,1
video_01,42,2.799,alert,0.3938009798,0.01853327288,-41.94743785,-23.260201,-148.0929406,1,1
video_01,43,2.866,alert,0.3799105609,0.01613771098,-41.25316123,-21.79877104,-150.1325783,1,1
video_01,44,2.933,alert,0.3326348174,0.012003357,-40.95905746,-23.01142826,-147.955728,1,1
video_01,45,2.999,alert,0.3479692953,0.01076059567,-39.63372801,-22.48666425,-146.0414245,1,1
video_01,46,3.066,alert,0.2833269805,0.006487407146,-37.04844312,-22.33377718,-147.2296724,1,1
video_01,47,3.133,alert,0.2631308151,0.002559426365,-33.28283968,-19.40273841,-149.3636222,1,1
video_01,48,3.199,alert,0.2210396277,0.0034962706,-32.28973804,-20.35730652,-146.7862262,1,1
video_01,49,3.266,alert,0.2387848864,0.00263473849,-32.93275473,-20.02560211,-147.1466143,1,1
video_01,50,3.333,alert,0.2398509382,0.006432368408,-34.54100249,-20.63082395,-143.6508664,1,1
video_01,51,3.399,alert,0.3019201008,0.004896594035,-33.84048625,-19.43480533,-147.5759243,1,1
video_01,52,3.466,alert,0.2878357211,0.003597623987,-36.10117667,-20.1430734,-147.2398202,1,1
video_01,53,3.533,alert,0.2719273052,0.004991921036,-35.66138954,-19.70475897,-146.4847718,1,1
video_01,54,3.599,alert,0.2721662681,0.008625317878,-35.69848073,-19.93540643,-147.2649742,1,1
video_01,55,3.666,alert,0.2226319017,0.004531597257,-33.54820082,-18.79318154,-148.8233509,1,1
video_01,56,3.733,alert,0.2523702604,0.0007059262846,-33.38726716,-20.93017911,-147.9882157,1,1
video_01,57,3.799,alert,0.1897244626,0.00784814288,-27.00172151,-17.55190074,-149.0007844,1,1
video_01,58,3.866,alert,0.1209330614,0.004176836519,-16.95295075,-10.66947968,-149.5591076,1,1
video_01,59,3.933,alert,0.115317287,0.006772669151,-8.896339214,-4.135186806,-151.578548,1,1
video_01,60,3.999,alert,0.1100047985,0.005591194815,3.838359465,3.603364622,-149.3034708,1,1
video_01,61,4.066,alert,0.1274035034,0.003441987258,17.6930244,8.607628285,-150.9847649,1,1
video_01,62,4.133,alert,0.1373924052,0.005721384378,22.46472072,11.80969845,-148.5606699,1,1
video_01,63,4.199,alert,0.1688510054,0.01256119327,22.64858193,12.77759098,-145.6366334,1,1
video_01,64,4.266,alert,0.146080794,0.003259060225,22.87424402,13.11116897,-145.2852051,1,1
video_01,65,4.333,alert,0.1362470517,0.004001891226,21.97325822,14.32856207,-143.787507,1,1
