video_id,frame_index,timestamp_seconds,ear,mar,pitch,yaw,roll,face_detected,pose_detected,ear_eye,pitch_raw,yaw_raw,roll_raw,pose_confidence,face_presence_confidence,face_mesh_detected,indicators_accepted,all_indicators_valid,detection_status,ear_valid,mar_valid,head_pose_valid,ear_status,mar_status,head_pose_status
video_03,0,0.0,0.33206446213461926,0.0793958398955027,-40.253308671669565,-13.391547949007304,-159.0130539059288,1,1,RIGHT_EYE,-40.253308671669565,-13.391547949007304,-159.0130539059288,0.9072251319885254,0.9889811277389526,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,1,0.066,0.3344985726195954,0.1736629389933339,-43.5466002716831,-15.363842343710388,-160.45175390508538,1,1,RIGHT_EYE,-43.5466002716831,-15.363842343710388,-160.45175390508538,0.9091349244117737,0.9691337943077087,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,2,0.133,0.34130600201861405,0.23703531798570754,-43.726302191374,-7.477845971369841,-167.08525942284987,1,1,RIGHT_EYE,-43.726302191374,-7.477845971369841,-167.08525942284987,0.9104487299919128,0.6302698254585266,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,3,0.199,0.3102893130163991,0.15903159221450297,-38.92763481145388,-10.914311717552234,-163.13994372428664,1,1,RIGHT_EYE,-38.92763481145388,-10.914311717552234,-163.13994372428664,0.909710705280304,0.9929560422897339,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,4,0.266,0.312664833864481,0.15707899514000906,-40.40739853000339,-13.341837673725953,-162.5290629207591,1,1,RIGHT_EYE,-40.40739853000339,-13.341837673725953,-162.5290629207591,0.9077955484390259,0.9972725510597229,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,5,0.333,0.29703085419963715,0.26605844948238133,-37.75694897371809,-11.018972290625364,-163.81905658150038,1,1,RIGHT_EYE,-37.75694897371809,-11.018972290625364,-163.81905658150038,0.9097315073013306,0.9960943460464478,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,6,0.399,0.2967807566559467,0.10029094894929587,-32.982623082255124,-11.030904924548949,-161.3102662916735,1,1,RIGHT_EYE,-32.982623082255124,-11.030904924548949,-161.3102662916735,0.9081882834434509,0.9988650679588318,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,7,0.466,0.31191470979351055,0.05330925170047492,-36.472548436698965,-13.700051636823165,-158.97636080593003,1,1,RIGHT_EYE,-36.472548436698965,-13.700051636823165,-158.97636080593003,0.9156355857849121,0.9520138502120972,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,8,0.533,0.32905381851648186,0.08953415474912267,-37.50822519677866,-17.557111974183766,-154.98543283206467,1,1,RIGHT_EYE,-37.50822519677866,-17.557111974183766,-154.98543283206467,0.9190067052841187,0.9994417428970337,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,9,0.599,0.3056467950093998,0.1205213613939465,-37.52747063302175,-19.493112348380407,-154.92255701412216,1,1,RIGHT_EYE,-37.52747063302175,-19.493112348380407,-154.92255701412216,0.9191721677780151,0.9948054552078247,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,10,0.666,0.28782884676336157,0.14647313147246732,-30.645628505883955,-17.314942573155193,-154.68421915769827,1,1,RIGHT_EYE,-30.645628505883955,-17.314942573155193,-154.68421915769827,0.9163479208946228,0.9926437735557556,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,11,0.733,0.3269904780444334,0.13345462055480362,-35.675115076882996,-17.535431698634078,-155.379724534534,1,1,RIGHT_EYE,-35.675115076882996,-17.535431698634078,-155.379724534534,0.9170731902122498,0.9997899532318115,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,12,0.799,0.2450337155126413,0.19370636727266288,-35.202460635161025,-18.142946843811142,-155.22661628444217,1,1,RIGHT_EYE,-35.202460635161025,-18.142946843811142,-155.22661628444217,0.9119327664375305,0.9984456300735474,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,13,0.866,0.3013416402833826,0.1858802046388092,-36.567411931768,-20.51413486835507,-149.91992482896828,1,1,RIGHT_EYE,-36.567411931768,-20.51413486835507,-149.91992482896828,0.9136407375335693,0.9916847348213196,1,1,1,both_detected,1,1,1,ok,ok,ok
video_03,14,0.933,0.2824243810100542,0.2370424511222331,-42.231038459106806,-18.51470294331512,-151.04664778867456,1,1,RIGHT_EYE,-42.231038459106806,-18.51470294331512,-151.04664778867456,0.9155734181404114,0.9847885966300964,1,1,1,both_detected,1,1,1,ok,ok,ok
