model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,2,test,distraction,0.06478511866581142,0.3423728813559322,0.10895361380798274,295,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,alert,0.9302325581395349,0.8839779005524862,0.9065155807365439,1086,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,validation,distraction,0.176056338028169,0.31645569620253167,0.22624434389140272,79,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,alert,0.9294790343074968,0.9259493670886076,0.927710843373494,1580,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,distraction,0.6215277777777778,0.6067796610169491,0.614065180102916,295,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,alert,0.9314671814671814,0.8885819521178637,0.9095193213949104,1086,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,distraction,0.18791946308724833,0.35443037974683544,0.24561403508771928,79,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,alert,0.9292482627921668,0.9310126582278481,0.9301296237748973,1580,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,distraction,0.6267123287671232,0.6203389830508474,0.6235093696763203,295,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,alert,0.9315332690453231,0.8895027624309392,0.910032972209138,1086,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,distraction,0.19047619047619047,0.35443037974683544,0.24778761061946902,79,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,alert,0.9269521410579346,0.9316455696202531,0.9292929292929293,1580,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
