model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing
random_forest,r0_flat,3,test,1513,0.8889623265036352,0.4651230931318459,0.4539823735361584,0.4539823735361584,"[""alert"", ""fatigue"", ""distraction""]",[],0.861654099997395,True,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,validation,1158,0.7832469775474957,0.401044151163407,0.3920325489342371,0.3920325489342371,"[""alert"", ""fatigue"", ""distraction""]",[],1.2696256000017456,True,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,test,1513,0.8856576338400529,0.4613015641462031,0.44906636397425204,0.44906636397425204,"[""alert"", ""fatigue"", ""distraction""]",[],1.2696256000017456,True,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,validation,1137,0.2532981530343008,0.24628075119234258,0.15630384642392225,0.15630384642392225,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,test,1105,0.26334841628959277,0.2886081560283688,0.1715435684647303,0.1715435684647303,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,validation,1137,0.8170624450307827,0.43793203812850184,0.4081869135335978,0.4081869135335978,"[""alert"", ""fatigue"", ""distraction""]",[],8.725825100002112,True,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,test,1105,0.7592760180995475,0.3800605791962175,0.37194708633835605,0.37194708633835605,"[""alert"", ""fatigue"", ""distraction""]",[],8.725825100002112,True,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,validation,1137,0.8258575197889182,0.4381668684222712,0.40875336277346325,0.40875336277346325,"[""alert"", ""fatigue"", ""distraction""]",[],0.9750060999976995,True,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,test,1105,0.7547511312217194,0.37429078014184397,0.3644081983704625,0.3644081983704625,"[""alert"", ""fatigue"", ""distraction""]",[],0.9750060999976995,True,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,validation,1137,0.820580474934037,0.4331626679367347,0.40357126752942235,0.40357126752942235,"[""alert"", ""fatigue"", ""distraction""]",[],1.4426293999968038,True,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,4,test,1105,0.7592760180995475,0.3800605791962175,0.3693698686371101,0.3693698686371101,"[""alert"", ""fatigue"", ""distraction""]",[],1.4426293999968038,True,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,1,validation,1180,0.10932203389830508,0.2083789904302725,0.07627118644067797,0.07627118644067797,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,test,1534,0.1408083441981747,0.21581497438695085,0.12844578121161074,0.12844578121161074,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,validation,1180,0.823728813559322,0.5788954635108481,0.506268081002893,0.506268081002893,"[""alert"", ""fatigue"", ""distraction""]",[],4.972631199998432,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,1,test,1534,0.7913950456323338,0.5203782205494335,0.5057423550574236,0.5057423550574236,"[""alert"", ""fatigue"", ""distraction""]",[],4.972631199998432,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,validation,1180,0.8466101694915255,0.4079309421189763,0.4184266916991894,0.4184266916991894,"[""alert"", ""fatigue"", ""distraction""]",[],1.162704099999246,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,test,1534,0.8096479791395046,0.5094700644109887,0.5103966134026942,0.5103966134026942,"[""alert"", ""fatigue"", ""distraction""]",[],1.162704099999246,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,validation,1180,0.8516949152542372,0.41163221077750994,0.4236749892471177,0.4236749892471177,"[""alert"", ""fatigue"", ""distraction""]",[],1.523636700003408,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,test,1534,0.81877444589309,0.5200637642919964,0.5202855901160985,0.5202855901160985,"[""alert"", ""fatigue"", ""distraction""]",[],1.523636700003408,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,validation,1173,0.11508951406649616,0.26890933761418795,0.08540685767629246,0.08540685767629246,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,test,1864,0.06330472103004292,0.1791537313465261,0.06494916301067762,0.04329944200711841,"[""alert"", ""distraction""]","[""fatigue""]",0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,validation,1173,0.8013640238704177,0.4113557313763712,0.379491939661849,0.379491939661849,"[""alert"", ""fatigue"", ""distraction""]",[],13.340794799998548,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,test,1864,0.8572961373390557,0.7459781926252924,0.7565352583765431,0.5043568389176954,"[""alert"", ""distraction""]","[""fatigue""]",13.340794799998548,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
