fold,representation,seed,subset,num_windows,macro_f1,balanced_accuracy,false_fatigue_episodes_per_hour,alert_precision,alert_recall,alert_f1,fatigue_precision,fatigue_recall,fatigue_f1,distraction_precision,distraction_recall,distraction_f1
1,baseline,42,validation,1180,0.40923359711629126,0.40437577617064796,111.81829891845034,0.8958333333333334,0.8057199211045365,0.8483904465212876,0.0,0.0,0.0,0.3548387096774194,0.4074074074074074,0.3793103448275862
1,geometry_normalized,42,validation,1180,0.40762464835464574,0.4045949302359559,46.04282896642073,0.8891149542217701,0.8619329388560157,0.8753129694541812,0.0,0.0,0.0,0.3433734939759036,0.35185185185185186,0.3475609756097561
1,pose_corrected,42,validation,1180,0.4080165026633704,0.3978498551148124,59.19792295682665,0.8872950819672131,0.854043392504931,0.8703517587939699,0.0,0.0,0.0,0.3691275167785235,0.3395061728395062,0.3536977491961415
2,baseline,42,validation,1173,0.3977301111527414,0.46068875893437294,38.005042386179234,0.9469302809573361,0.8425925925925926,0.89171974522293,0.0,0.0,0.0,0.20918367346938777,0.5394736842105263,0.3014705882352941
2,geometry_normalized,42,validation,1173,0.3761228790063214,0.4300519818063678,38.005042386179234,0.9411764705882353,0.8296296296296296,0.8818897637795275,0.0,0.0,0.0,0.16826923076923078,0.4605263157894737,0.24647887323943662
2,pose_corrected,42,validation,1173,0.38728091347547483,0.44221897335932425,48.3700539460463,0.9438085327783559,0.8398148148148148,0.8887800097991181,0.0,0.0,0.0,0.18974358974358974,0.4868421052631579,0.2730627306273063
3,baseline,42,validation,1151,0.4014825842870879,0.4081438382975695,14.251795577786602,0.8853305785123967,0.8691683569979716,0.8771750255885363,0.0,0.0,0.0,0.30337078651685395,0.35526315789473684,0.32727272727272727
3,geometry_normalized,42,validation,1151,0.3954437669376694,0.4002215223657521,3.5629488944466505,0.8818737270875764,0.8782961460446247,0.8800813008130082,0.0,0.0,0.0,0.2916666666666667,0.3223684210526316,0.30625
3,pose_corrected,42,validation,1151,0.39813649064440026,0.40107113625849616,3.5629488944466505,0.8820564516129032,0.8874239350912779,0.884732052578362,0.0,0.0,0.0,0.3037974683544304,0.3157894736842105,0.3096774193548387
4,baseline,42,validation,1125,0.38866900654668557,0.42317193675889325,40.686324874139544,0.9345172031076582,0.8320158102766798,0.880292733925771,0.0,0.0,0.0,0.21212121212121213,0.4375,0.2857142857142857
4,geometry_normalized,42,validation,1125,0.41660081909398694,0.4601408910072593,62.87886571457929,0.9293598233995585,0.8320158102766798,0.8779979144942649,0.041666666666666664,0.058823529411764705,0.04878048780487805,0.24102564102564103,0.4895833333333333,0.3230240549828179
4,pose_corrected,42,validation,1125,0.408546002769377,0.45089078121367127,66.57762252131926,0.9267480577136515,0.825098814229249,0.872974385781495,0.03571428571428571,0.058823529411764705,0.044444444444444446,0.22959183673469388,0.46875,0.3082191780821918
