fold,training_rows,training_videos,ear_pitch_before,ear_pitch_after,ear_yaw_before,ear_yaw_after
1,38691,video_02;video_03;video_04,-0.5929688774980243,-0.05644574104024857,-0.03734079111565075,-0.038001150205164654
2,30626,video_01;video_03;video_04,-0.7264348478551765,-0.20823362018394362,-0.3199456657123557,-0.27382845714438464
3,35461,video_01;video_02;video_04,-0.7595269259072932,-0.26336252628071477,-0.42908984972175856,-0.3052407822731524
4,41637,video_01;video_02;video_03,-0.7329092935399452,-0.2831419899899158,-0.3338706123341266,-0.18958334315853775
