model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
lstm,test,42,0.8072984424030959,0.5381805176660093,0.4513351789886828,12.0,27.0,0.4026607521514102,15.283110199998191
lstm,validation,42,0.8111228130264864,0.4227627487326842,0.4026607521514102,12.0,27.0,0.4026607521514102,15.283110199998191
tcn,test,42,0.8402426238945095,0.543100013538702,0.4696638309225881,5.75,20.75,0.4065190851314144,1398.6660433000034
tcn,validation,42,0.8235349426415149,0.42102272343701314,0.4065190851314144,5.75,20.75,0.4065190851314144,1398.6660433000034
transformer,test,42,0.8152698503997953,0.5330941029927344,0.45503882154164643,12.75,27.75,0.4062040477410283,21.66500229999656
transformer,validation,42,0.822471777162308,0.42182955059825217,0.4062040477410283,12.75,27.75,0.4062040477410283,21.66500229999656
