model,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
tcn,30,validation,distraction,recall,4,0.3743744069610159,0.06256357075677729,0.3037974683544304,0.45454545454545453
tcn,30,validation,distraction,f1,4,0.32144688165186996,0.04849662129745381,0.2553191489361702,0.36419753086419754
tcn,30,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,30,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,30,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
tcn,60,test,alert,precision,4,0.9090678169852677,0.029995864699853006,0.8775510204081632,0.9446902654867256
tcn,60,test,alert,recall,4,0.9072121089674359,0.05324207797635579,0.831765935214211,0.950986632718014
tcn,60,test,alert,f1,4,0.9077431170129198,0.03787203083281688,0.861005949161709,0.9408740359897172
tcn,60,test,distraction,precision,4,0.49478967821879694,0.2392911536816094,0.20689655172413793,0.7002457002457002
tcn,60,test,distraction,recall,4,0.5307199047328569,0.1847769588157031,0.30434782608695654,0.7519788918205804
tcn,60,test,distraction,f1,4,0.5071070339049308,0.2105694495529792,0.24633431085043989,0.7251908396946565
tcn,60,test,fatigue,precision,2,0.0,0.0,0.0,0.0
tcn,60,test,fatigue,recall,2,0.0,0.0,0.0,0.0
tcn,60,test,fatigue,f1,2,0.0,0.0,0.0,0.0
tcn,60,validation,alert,precision,4,0.9126327773107226,0.022985597887750873,0.8888888888888888,0.932920536635707
tcn,60,validation,alert,recall,4,0.8976623013850724,0.035011889616946644,0.8519269776876268,0.9351851851851852
tcn,60,validation,alert,f1,4,0.9049289107789419,0.026423088397228657,0.8700155359917141,0.933456561922366
tcn,60,validation,distraction,precision,4,0.30244714576488424,0.0754408149979606,0.21348314606741572,0.3973509933774834
tcn,60,validation,distraction,recall,4,0.3787768031189084,0.10263839346560273,0.25,0.5
tcn,60,validation,distraction,f1,4,0.3324593808628292,0.07162066111373203,0.23030303030303031,0.38338658146964855
tcn,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
tcn,150,test,alert,precision,4,0.90904679820857,0.02649564988364627,0.8849557522123894,0.9395484340859432
tcn,150,test,alert,recall,4,0.9183841787612856,0.052310668309369236,0.8456659619450317,0.9653846153846154
tcn,150,test,alert,f1,4,0.9133856158403871,0.03688230444750607,0.866738894907909,0.943609022556391
tcn,150,test,distraction,precision,4,0.5051874203553653,0.28112984598591667,0.17045454545454544,0.7416267942583732
tcn,150,test,distraction,recall,4,0.4958736752061047,0.2289694237032239,0.23076923076923078,0.776595744680851
tcn,150,test,distraction,f1,4,0.4953708862292258,0.24833981068190877,0.19607843137254902,0.7545219638242894
tcn,150,test,fatigue,precision,2,0.0,0.0,0.0,0.0
tcn,150,test,fatigue,recall,2,0.0,0.0,0.0,0.0
tcn,150,test,fatigue,f1,2,0.0,0.0,0.0,0.0
tcn,150,validation,alert,precision,4,0.9121483386574745,0.025850444558806526,0.8840125391849529,0.9358178053830227
tcn,150,validation,alert,recall,4,0.918255378410828,0.03877711990942971,0.8730650154798761,0.9618249534450651
tcn,150,validation,alert,f1,4,0.9149526193683539,0.028046498459724147,0.8785046728971962,0.9468377635197067
tcn,150,validation,distraction,precision,4,0.3007327654360028,0.09203700799607482,0.21153846153846154,0.42857142857142855
tcn,150,validation,distraction,recall,4,0.3048050865347862,0.12339730020459967,0.14864864864864866,0.45054945054945056
tcn,150,validation,distraction,f1,4,0.29455385290839964,0.0866062956605384,0.1746031746031746,0.3595505617977528
tcn,150,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,150,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,150,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,30,test,alert,precision,4,0.902627747155947,0.03825717610902308,0.8557213930348259,0.9386548410938654
transformer,30,test,alert,recall,4,0.8711827955949019,0.07176081311642929,0.7904411764705882,0.9367088607594937
transformer,30,test,alert,f1,4,0.8863356159423494,0.055392342595521796,0.8217869087434305,0.9325771896660365
transformer,30,test,distraction,precision,4,0.43061924078645025,0.18644390418803822,0.21359223300970873,0.6441281138790036
transformer,30,test,distraction,recall,4,0.5306395199458921,0.17187975890950521,0.3120567375886525,0.7097625329815304
transformer,30,test,distraction,f1,4,0.47153447187099573,0.17354832712770832,0.25360230547550433,0.6284722222222222
transformer,30,test,fatigue,precision,3,0.3333333333333333,0.5773502691896258,0.0,1.0
transformer,30,test,fatigue,recall,3,0.004901960784313725,0.008490445135141555,0.0,0.014705882352941176
transformer,30,test,fatigue,f1,3,0.00966183574879227,0.016734790411293502,0.0,0.028985507246376812
transformer,30,validation,alert,precision,4,0.9081339396474575,0.022523067807834793,0.8870116156282999,0.9306083650190115
transformer,30,validation,alert,recall,4,0.8878154339399928,0.030153448765642476,0.8459214501510574,0.9158512720156555
transformer,30,validation,alert,f1,4,0.8976598114855204,0.021820764327796123,0.865979381443299,0.9158091674462114
transformer,30,validation,distraction,precision,4,0.28799762622952896,0.08364191976754656,0.19548872180451127,0.3986013986013986
transformer,30,validation,distraction,recall,4,0.3776732178547635,0.05573940366518683,0.3291139240506329,0.45454545454545453
transformer,30,validation,distraction,f1,4,0.3209523317375645,0.05453983964499123,0.24528301886792453,0.37012987012987014
transformer,30,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,30,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,30,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,60,test,alert,precision,4,0.90850109200121,0.03637818377172456,0.8637254901960785,0.9440765268579838
transformer,60,test,alert,recall,4,0.8812034444753842,0.06770547845704694,0.8097426470588235,0.939528962444303
transformer,60,test,alert,f1,4,0.8943853340621273,0.052179974356235226,0.8358633776091081,0.9413059427732942
transformer,60,test,distraction,precision,4,0.45511683336598363,0.19188252747645768,0.22,0.6594982078853047
transformer,60,test,distraction,recall,4,0.5415326365945138,0.17745333018714485,0.3188405797101449,0.7282321899736148
transformer,60,test,distraction,f1,4,0.4914417522277054,0.18086783374936308,0.2603550295857988,0.6433566433566433
transformer,60,test,fatigue,precision,2,0.38461538461538464,0.5439282932204211,0.0,0.7692307692307693
transformer,60,test,fatigue,recall,2,0.07462686567164178,0.10553832555023096,0.0,0.14925373134328357
transformer,60,test,fatigue,f1,2,0.125,0.1767766952966369,0.0,0.25
transformer,60,validation,alert,precision,4,0.9103871609654024,0.026882018141177043,0.8864915572232646,0.9357622243528284
transformer,60,validation,alert,recall,4,0.8932331954234747,0.03389708535907763,0.8509127789046653,0.9319526627218935
transformer,60,validation,alert,f1,4,0.9013604207839481,0.02219592962039278,0.8689798032107716,0.9194536033914272
transformer,60,validation,distraction,precision,4,0.2928170164714195,0.07968894349606453,0.2,0.39473684210526316
transformer,60,validation,distraction,recall,4,0.37440606725146197,0.08913525986384019,0.2777777777777778,0.4895833333333333
transformer,60,validation,distraction,f1,4,0.3181160412016406,0.04707229467857177,0.2524271844660194,0.3643410852713178
transformer,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
transformer,150,test,alert,precision,4,0.9053028456574294,0.038452562552085394,0.8595600676818951,0.9376811594202898
transformer,150,test,alert,recall,4,0.918746213160284,0.04081532393866528,0.8583509513742071,0.947985347985348
transformer,150,test,alert,f1,4,0.9115897180709033,0.033713796614217695,0.8726491133799033,0.9428051001821494
transformer,150,test,distraction,precision,4,0.4802935395665573,0.25945483700580635,0.16770186335403728,0.7341040462427746
transformer,150,test,distraction,recall,4,0.4817843676051195,0.22174186235597987,0.2076923076923077,0.675531914893617
transformer,150,test,distraction,f1,4,0.48010414872958734,0.24090622515701768,0.18556701030927836,0.703601108033241
transformer,150,test,fatigue,precision,2,0.0,0.0,0.0,0.0
transformer,150,test,fatigue,recall,2,0.0,0.0,0.0,0.0
transformer,150,test,fatigue,f1,2,0.0,0.0,0.0,0.0
transformer,150,validation,alert,precision,4,0.9141798055687017,0.03285878871832298,0.8835051546391752,0.9493041749502982
transformer,150,validation,alert,recall,4,0.9076909366285126,0.03185443251088889,0.8844169246646026,0.953953953953954
transformer,150,validation,alert,f1,4,0.9103350262478114,0.01760458560134356,0.8839608045384219,0.920328343795268
transformer,150,validation,distraction,precision,4,0.3106115043903164,0.09427957602894567,0.22727272727272727,0.4457831325301205
transformer,150,validation,distraction,recall,4,0.3619487035226746,0.112271386151758,0.23870967741935484,0.47297297297297297
transformer,150,validation,distraction,f1,4,0.3138714433141678,0.02686501170227485,0.2866666666666667,0.3508771929824561
transformer,150,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,150,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,150,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
