configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames
qualification_r0_w150_b1024,1,1,G2,0.001,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.2706696007544797,1.07625445859382,0.17915109642301943,0.7774891774891775,1.029370851950212,0.39769537893463575,150
qualification_r0_w150_b1024,2,1,G2,0.001,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8384155925809493,1.003782069821734,0.4562917824262261,0.793073593073593,0.9502756333454346,0.39419624585385965,150
qualification_r0_w150_b1024,3,1,G2,0.001,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8685947815152468,0.9094297369108827,0.4430394998791209,0.8606060606060606,0.8329591978163946,0.3083604777415852,150
qualification_r0_w150_b1024,4,1,G2,0.001,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8711097139264382,0.7625484896208348,0.3613161563213989,0.8632034632034632,0.6467215394560909,0.30885997521685254,150
qualification_r0_w150_b1024,5,1,G2,0.001,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8786545111600126,0.5388349374391417,0.31882528007277117,0.8649350649350649,0.4778032844587838,0.30919220055710306,150
qualification_r0_w150_b1024,6,1,G2,0.0005,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8808550770198051,0.3832781214228369,0.31402742046756904,0.8649350649350649,0.4555735934993405,0.30919220055710306,150
qualification_r0_w150_b1024,7,1,G2,0.0005,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8814838101226029,0.3535797305074888,0.31233639654692286,0.8649350649350649,0.45794823042629085,0.30919220055710306,150
qualification_r0_w150_b1024,8,1,G2,0.0005,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8817981766740018,0.3524946150015975,0.31239558970932174,0.8649350649350649,0.4618711265457141,0.30919220055710306,150
qualification_r0_w150_b1024,9,1,G2,0.0005,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8817981766740018,0.34413756602067536,0.31239558970932174,0.8649350649350649,0.46132062127192813,0.30919220055710306,150
qualification_r0_w150_b1024,10,1,G2,0.00025,lstm,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,0.8814838101226029,0.33754604344696265,0.31233639654692286,0.8649350649350649,0.45989578012135124,0.30919220055710306,150
