ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,qualification_r0_w60_b1024,0.9194536033914272,2,G2,alert,transformer,0.9357622243528284,0.9037037037037037,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,validation,1080,60
temporal_r0,qualification_r0_w60_b1024,0.0,2,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,validation,17,60
temporal_r0,qualification_r0_w60_b1024,0.2524271844660194,2,G2,distraction,transformer,0.2,0.34210526315789475,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,validation,76,60
temporal_r0,qualification_r0_w60_b1024,0.935361216730038,2,G2,alert,transformer,0.931230283911672,0.939528962444303,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,test,1571,60
temporal_r0,qualification_r0_w60_b1024,,2,G2,fatigue,transformer,,,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,test,0,60
temporal_r0,qualification_r0_w60_b1024,0.6433566433566433,2,G2,distraction,transformer,0.6594982078853047,0.6279863481228669,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_2__seed_42,42,test,293,60
temporal_r0,qualification_r0_w60_b1024,0.8677685950413223,3,G2,alert,lstm,0.8842105263157894,0.8519269776876268,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,validation,986,60
temporal_r0,qualification_r0_w60_b1024,0.0,3,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,validation,13,60
temporal_r0,qualification_r0_w60_b1024,0.311614730878187,3,G2,distraction,lstm,0.2736318407960199,0.3618421052631579,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,validation,152,60
temporal_r0,qualification_r0_w60_b1024,0.9397501836884644,3,G2,alert,lstm,0.9439114391143911,0.9356254572055597,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,test,1367,60
