model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
lstm,test,42,0.813938722499061,0.586931586653703,0.453498771084489,12.0,27.0,0.4044495663626978,17.314965500001563
lstm,validation,42,0.8157073114673448,0.424036876015242,0.4044495663626978,12.0,27.0,0.4044495663626978,17.314965500001563
tcn,test,42,0.8444241378691839,0.5898795585268923,0.4716167169726168,6.0,21.0,0.41246276388059033,1410.6025971999989
tcn,validation,42,0.8346099197360846,0.42547970150132686,0.41246276388059033,6.0,21.0,0.41246276388059033,1410.6025971999989
transformer,test,42,0.8287509076476602,0.6001559415472646,0.4827756954299443,7.5,22.5,0.40744026169096226,18.448835500003042
transformer,validation,42,0.8281263122371052,0.42254642089164557,0.4064921539951962,7.5,22.5,0.40744026169096226,18.448835500003042
