model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,accuracy,1,0.8181218352101618,0.0,0.8181218352101618,0.8181218352101618,0.8181218352101618,nan,nan
lstm,test,balanced_accuracy,1,0.5660005050363236,0.0,0.5660005050363236,0.5660005050363236,0.5660005050363236,nan,nan
lstm,test,macro_f1_all_classes,1,0.4421644817988354,0.0,0.4421644817988354,0.4421644817988354,0.4421644817988354,nan,nan
lstm,test,best_epoch,1,11.5,0.0,11.5,11.5,11.5,nan,nan
lstm,test,stopping_epoch,1,26.5,0.0,26.5,26.5,26.5,nan,nan
lstm,test,best_validation_macro_f1,1,0.3945551937982513,0.0,0.3945551937982513,0.3945551937982513,0.3945551937982513,nan,nan
lstm,test,training_seconds,1,18.93138629999521,0.0,18.93138629999521,18.93138629999521,18.93138629999521,nan,nan
lstm,validation,accuracy,1,0.8214373807959001,0.0,0.8214373807959001,0.8214373807959001,0.8214373807959001,nan,nan
lstm,validation,balanced_accuracy,1,0.4081212616330318,0.0,0.4081212616330318,0.4081212616330318,0.4081212616330318,nan,nan
lstm,validation,macro_f1_all_classes,1,0.3945551937982513,0.0,0.3945551937982513,0.3945551937982513,0.3945551937982513,nan,nan
lstm,validation,best_epoch,1,11.5,0.0,11.5,11.5,11.5,nan,nan
lstm,validation,stopping_epoch,1,26.5,0.0,26.5,26.5,26.5,nan,nan
lstm,validation,best_validation_macro_f1,1,0.3945551937982513,0.0,0.3945551937982513,0.3945551937982513,0.3945551937982513,nan,nan
lstm,validation,training_seconds,1,18.93138629999521,0.0,18.93138629999521,18.93138629999521,18.93138629999521,nan,nan
tcn,test,accuracy,1,0.8533312649624851,0.0,0.8533312649624851,0.8533312649624851,0.8533312649624851,nan,nan
tcn,test,balanced_accuracy,1,0.5794785026385644,0.0,0.5794785026385644,0.5794785026385644,0.5794785026385644,nan,nan
tcn,test,macro_f1_all_classes,1,0.469585500689871,0.0,0.469585500689871,0.469585500689871,0.469585500689871,nan,nan
tcn,test,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,test,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,test,best_validation_macro_f1,1,0.40316882409225113,0.0,0.40316882409225113,0.40316882409225113,0.40316882409225113,nan,nan
tcn,test,training_seconds,1,1317.1585865000052,0.0,1317.1585865000052,1317.1585865000052,1317.1585865000052,nan,nan
tcn,validation,accuracy,1,0.8495714677479383,0.0,0.8495714677479383,0.8495714677479383,0.8495714677479383,nan,nan
tcn,validation,balanced_accuracy,1,0.40768682164853814,0.0,0.40768682164853814,0.40768682164853814,0.40768682164853814,nan,nan
tcn,validation,macro_f1_all_classes,1,0.40316882409225113,0.0,0.40316882409225113,0.40316882409225113,0.40316882409225113,nan,nan
tcn,validation,best_epoch,1,5.0,0.0,5.0,5.0,5.0,nan,nan
tcn,validation,stopping_epoch,1,20.0,0.0,20.0,20.0,20.0,nan,nan
tcn,validation,best_validation_macro_f1,1,0.40316882409225113,0.0,0.40316882409225113,0.40316882409225113,0.40316882409225113,nan,nan
tcn,validation,training_seconds,1,1317.1585865000052,0.0,1317.1585865000052,1317.1585865000052,1317.1585865000052,nan,nan
transformer,test,accuracy,1,0.8495459909436015,0.0,0.8495459909436015,0.8495459909436015,0.8495459909436015,nan,nan
transformer,test,balanced_accuracy,1,0.577271383311184,0.0,0.577271383311184,0.577271383311184,0.577271383311184,nan,nan
transformer,test,macro_f1_all_classes,1,0.46389795560016356,0.0,0.46389795560016356,0.46389795560016356,0.46389795560016356,nan,nan
transformer,test,best_epoch,1,6.5,0.0,6.5,6.5,6.5,nan,nan
transformer,test,stopping_epoch,1,21.5,0.0,21.5,21.5,21.5,nan,nan
transformer,test,best_validation_macro_f1,1,0.4080688231873264,0.0,0.4080688231873264,0.4080688231873264,0.4080688231873264,nan,nan
transformer,test,training_seconds,1,27.212170600003446,0.0,27.212170600003446,27.212170600003446,27.212170600003446,nan,nan
transformer,validation,accuracy,1,0.8414486882286071,0.0,0.8414486882286071,0.8414486882286071,0.8414486882286071,nan,nan
transformer,validation,balanced_accuracy,1,0.4232132133837291,0.0,0.4232132133837291,0.4232132133837291,0.4232132133837291,nan,nan
transformer,validation,macro_f1_all_classes,1,0.4080688231873264,0.0,0.4080688231873264,0.4080688231873264,0.4080688231873264,nan,nan
transformer,validation,best_epoch,1,6.5,0.0,6.5,6.5,6.5,nan,nan
transformer,validation,stopping_epoch,1,21.5,0.0,21.5,21.5,21.5,nan,nan
transformer,validation,best_validation_macro_f1,1,0.4080688231873264,0.0,0.4080688231873264,0.4080688231873264,0.4080688231873264,nan,nan
transformer,validation,training_seconds,1,27.212170600003446,0.0,27.212170600003446,27.212170600003446,27.212170600003446,nan,nan
