model,window_size_frames,subset,metric,n_folds,mean,standard_deviation,minimum,maximum
lstm,30,test,accuracy,4,0.8072984424030959,0.09068467921087289,0.7009771986970684,0.8869333333333334
lstm,30,test,balanced_accuracy,4,0.5381805176660093,0.16269986711317488,0.38346631205673765,0.764739326324823
lstm,30,test,macro_f1_all_classes,4,0.4513351789886828,0.0600464034339928,0.37253628298875324,0.5178852148291876
lstm,30,validation,accuracy,4,0.8111228130264864,0.040478362179468985,0.7728842832469776,0.8582278481012658
lstm,30,validation,balanced_accuracy,4,0.4227627487326842,0.02216810906949378,0.4021415639011275,0.4522897607376979
lstm,30,validation,macro_f1_all_classes,4,0.4026607521514102,0.014711507137837747,0.3863971080465926,0.41893466059514983
lstm,60,test,accuracy,4,0.813938722499061,0.09156123600015649,0.6988265971316818,0.89
lstm,60,test,balanced_accuracy,4,0.586931586653703,0.1274537801440294,0.47854181906851984,0.7694692409130508
lstm,60,test,macro_f1_all_classes,4,0.453498771084489,0.059305933568030905,0.374348174049606,0.5180764809438346
lstm,60,validation,accuracy,4,0.8157073114673448,0.04205674172316517,0.7775847089487402,0.8567774936061381
lstm,60,validation,balanced_accuracy,4,0.424036876015242,0.022355981434853855,0.40458969431692826,0.4553277338603426
lstm,60,validation,macro_f1_all_classes,4,0.4044495663626978,0.016891067021185074,0.38993628349480663,0.42694260802912715
lstm,150,test,accuracy,4,0.8181218352101618,0.09063097214515863,0.6969895287958116,0.8955123911587408
lstm,150,test,balanced_accuracy,4,0.5660005050363236,0.12710830511923826,0.45121524178127953,0.7476286613742129
lstm,150,test,macro_f1_all_classes,4,0.4421644817988354,0.061191998332208494,0.35868216058894026,0.5046079270200203
lstm,150,validation,accuracy,4,0.8214373807959001,0.04133596855106526,0.7774891774891775,0.8629310344827587
lstm,150,validation,balanced_accuracy,4,0.4081212616330318,0.013680449407659886,0.39584593668078244,0.42560666213360826
lstm,150,validation,macro_f1_all_classes,4,0.3945551937982513,0.01062124644958907,0.3823956093894744,0.40743273638010474
tcn,30,test,accuracy,4,0.8402426238945095,0.05785672695291562,0.7619909502262443,0.888
tcn,30,test,balanced_accuracy,4,0.543100013538702,0.16309368609841546,0.38110224586288416,0.7639937781591933
tcn,30,test,macro_f1_all_classes,4,0.4696638309225881,0.075795611930212,0.37070946492360807,0.5383928665484908
