configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames
qualification_r0_w30_b1024,6,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8736939151813153,0.3290496202759312,0.480496650575337,0.821608040201005,0.45227225666469467,0.42021622443488155,30
qualification_r0_w30_b1024,7,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8715427166564229,0.33248981637462344,0.4826429452644672,0.8190954773869347,0.4590727906530626,0.42107140225480805,30
qualification_r0_w30_b1024,8,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8727719729563614,0.33342594692292354,0.48373182098429623,0.8224455611390284,0.4543097668157351,0.42077081459150073,30
qualification_r0_w30_b1024,9,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8727719729563614,0.3278075661224021,0.48260510222205494,0.8249581239530989,0.4416531767927023,0.4198496133059531,30
qualification_r0_w30_b1024,10,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.32167417966813927,0.4819492864779436,0.8333333333333334,0.43091910478457734,0.4112277539485176,30
qualification_r0_w30_b1024,11,1,G2,0.001,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8690842040565457,0.3172164100881142,0.33699605188776444,0.8559463986599665,0.4241341818217656,0.3074608904933815,30
qualification_r0_w30_b1024,12,1,G2,0.0005,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.31598704643020914,0.31103825136612023,0.8559463986599665,0.4220991276167146,0.3074608904933815,30
qualification_r0_w30_b1024,13,1,G2,0.0005,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.3147605330796057,0.31103825136612023,0.8559463986599665,0.4218244056905334,0.3074608904933815,30
qualification_r0_w30_b1024,14,1,G2,0.0005,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.31330229181707014,0.31103825136612023,0.8559463986599665,0.4215234735702949,0.3074608904933815,30
qualification_r0_w30_b1024,15,1,G2,0.0005,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.3129347063642231,0.31103825136612023,0.8559463986599665,0.41877204721397293,0.3074608904933815,30
qualification_r0_w30_b1024,16,1,G2,0.00025,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.31358257685252766,0.31103825136612023,0.8559463986599665,0.41917520362128763,0.3074608904933815,30
qualification_r0_w30_b1024,17,1,G2,0.00025,tcn,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,0.8746158574062692,0.3117447837445365,0.31103825136612023,0.8559463986599665,0.4225055441335218,0.3074608904933815,30
