run_id,configuration_id,generation,model,representation,window_size_frames,fold,seed,parameter_count,model_size_bytes,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,peak_gpu_memory_bytes,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_all_classes
G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,qualification_r0_w150_b1024,G2,lstm,R0,150,1,42,51651,651410,1,16,0.39769537893463575,1.07625445859382,1.029370851950212,2.8266306999976223,808088576,False,1155,0.7774891774891775,0.412278945612279,0.39769537893463575,1528,0.6969895287958116,0.5266152644934609,0.461156906945005
G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_2__seed_42,qualification_r0_w150_b1024,G2,lstm,R0,150,2,42,51651,652498,11,26,0.3823956093894744,0.4685924247500782,0.3581720814622682,4.196802599999501,808088576,False,1160,0.8629310344827587,0.3987535021054574,0.3823956093894744,1841,0.8788701792504073,0.7476286613742129,0.5046079270200203
G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_3__seed_42,qualification_r0_w150_b1024,G2,lstm,R0,150,3,42,51651,653202,17,32,0.3906970504887905,0.39566150855996135,0.5300443251993922,5.938692499999888,808088576,False,1125,0.7955555555555556,0.39584593668078244,0.3906970504887905,1493,0.8955123911587408,0.45121524178127953,0.4442109326413759
G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_4__seed_42,qualification_r0_w150_b1024,G2,lstm,R0,150,4,42,51651,653202,17,32,0.40743273638010474,0.352084330281841,0.4302394396579104,5.9692604999981995,808088576,False,1105,0.8497737556561086,0.42560666213360826,0.40743273638010474,1076,0.8011152416356877,0.5385428524963409,0.35868216058894026
G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,qualification_r0_w150_b1024,G2,tcn,R0,150,1,42,49379,637244,7,22,0.42510647195413176,0.29245936268157685,0.3852082755400505,360.0625308000017,363581440,False,1155,0.8510822510822511,0.41520445176359155,0.42510647195413176,1528,0.8455497382198953,0.5646756457804671,0.5518076215750635
G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_2__seed_42,qualification_r0_w150_b1024,G2,tcn,R0,150,2,42,49379,637052,5,20,0.37381364604096046,0.49669414583741994,0.32603925425430824,295.7192161000021,363581440,False,1160,0.9,0.3701578673645713,0.37381364604096046,1841,0.9022270505160239,0.7584930194360799,0.525420694593627
G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_3__seed_42,qualification_r0_w150_b1024,G2,tcn,R0,150,3,42,49379,636924,4,19,0.38868153633314423,0.42827374851619565,0.5098199057446586,313.9401807000031,363581440,False,1125,0.792,0.39446994768869437,0.38868153633314423,1493,0.8941728064300067,0.4565277489805792,0.4468412444973076
G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_4__seed_42,qualification_r0_w150_b1024,G2,tcn,R0,150,4,42,49379,636924,4,19,0.4250736420407682,0.39169446434173255,0.41812241479282464,347.4366588999983,363581440,False,1105,0.8552036199095022,0.45091501977729526,0.4250736420407682,1076,0.7713754646840149,0.5382175963571313,0.354272442093486
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,1,42,17443,267763,5,20,0.41041757118105576,0.2903022467855836,0.37811593666221155,6.9278790999997,570034688,False,1155,0.8571428571428571,0.39755454379110294,0.41041757118105576,1528,0.831151832460733,0.5358806688789121,0.5326557684054466
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,qualification_r0_w150_b1024,G2,transformer,R0,150,2,42,17443,268851,15,30,0.4084289248762933,0.3613035149252723,0.38355440641271654,8.022920000003069,570034688,False,1160,0.853448275862069,0.4540574093646719,0.4084289248762933,1841,0.8924497555676263,0.7921126471393376,0.5280750980928918
