ablation,configuration_id,f1,fold,generation,label,model,precision,recall,representation,run_id,seed,subset,support,window_size_frames
temporal_r0,qualification_r0_w30_b1024,0.8217869087434305,1,G2,alert,transformer,0.8557213930348259,0.7904411764705882,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,1088,30
temporal_r0,qualification_r0_w30_b1024,0.028985507246376812,1,G2,fatigue,transformer,1.0,0.014705882352941176,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,68,30
temporal_r0,qualification_r0_w30_b1024,0.5925110132158591,1,G2,distraction,transformer,0.5085066162570888,0.7097625329815304,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,379,30
temporal_r0,qualification_r0_w30_b1024,0.922077922077922,2,G2,alert,lstm,0.9289719626168225,0.9152854511970534,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,1086,30
temporal_r0,qualification_r0_w30_b1024,0.0,2,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.23711340206185566,2,G2,distraction,lstm,0.2,0.2911392405063291,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,79,30
temporal_r0,qualification_r0_w30_b1024,0.9335839598997494,2,G2,alert,lstm,0.924317617866005,0.9430379746835443,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,1580,30
temporal_r0,qualification_r0_w30_b1024,,2,G2,fatigue,lstm,,,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,0,30
temporal_r0,qualification_r0_w30_b1024,0.6200716845878136,2,G2,distraction,lstm,0.6577946768060836,0.5864406779661017,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,test,295,30
temporal_r0,qualification_r0_w30_b1024,0.9259944495837188,2,G2,alert,tcn,0.9302973977695167,0.921731123388582,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,1086,30
temporal_r0,qualification_r0_w30_b1024,0.0,2,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.2553191489361702,2,G2,distraction,tcn,0.22018348623853212,0.3037974683544304,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,79,30
temporal_r0,qualification_r0_w30_b1024,0.9342928660826032,2,G2,alert,tcn,0.9238861386138614,0.9449367088607595,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,1580,30
temporal_r0,qualification_r0_w30_b1024,,2,G2,fatigue,tcn,,,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,0,30
temporal_r0,qualification_r0_w30_b1024,0.6209386281588448,2,G2,distraction,tcn,0.6640926640926641,0.5830508474576271,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,295,30
temporal_r0,qualification_r0_w30_b1024,0.9158091674462114,2,G2,alert,transformer,0.9306083650190115,0.9014732965009208,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,1086,30
temporal_r0,qualification_r0_w30_b1024,0.0,2,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.24528301886792453,2,G2,distraction,transformer,0.19548872180451127,0.3291139240506329,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,79,30
temporal_r0,qualification_r0_w30_b1024,0.9325771896660365,2,G2,alert,transformer,0.9284818067754078,0.9367088607594937,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,1580,30
temporal_r0,qualification_r0_w30_b1024,,2,G2,fatigue,transformer,,,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,0,30
temporal_r0,qualification_r0_w30_b1024,0.6284722222222222,2,G2,distraction,transformer,0.6441281138790036,0.6135593220338983,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,295,30
temporal_r0,qualification_r0_w30_b1024,0.8640826873385012,3,G2,alert,lstm,0.8874734607218684,0.8418932527693856,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,993,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,13,30
temporal_r0,qualification_r0_w30_b1024,0.32065217391304346,3,G2,distraction,lstm,0.27314814814814814,0.3881578947368421,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,152,30
temporal_r0,qualification_r0_w30_b1024,0.9335291957399926,3,G2,alert,lstm,0.9400887573964497,0.9270605397520059,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,test,1371,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,test,25,30
temporal_r0,qualification_r0_w30_b1024,0.4172661870503597,3,G2,distraction,lstm,0.36024844720496896,0.49572649572649574,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,test,117,30
temporal_r0,qualification_r0_w30_b1024,0.8636363636363636,3,G2,alert,tcn,0.8865323435843054,0.8418932527693856,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,validation,993,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,validation,13,30
temporal_r0,qualification_r0_w30_b1024,0.31607629427792916,3,G2,distraction,tcn,0.26976744186046514,0.3815789473684211,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,validation,152,30
temporal_r0,qualification_r0_w30_b1024,0.9346549192364171,3,G2,alert,tcn,0.9408721359940873,0.9285193289569658,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,test,1371,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,test,25,30
temporal_r0,qualification_r0_w30_b1024,0.4187725631768953,3,G2,distraction,tcn,0.3625,0.49572649572649574,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_3__seed_42,42,test,117,30
temporal_r0,qualification_r0_w30_b1024,0.865979381443299,3,G2,alert,transformer,0.8870116156282999,0.8459214501510574,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,validation,993,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,validation,13,30
temporal_r0,qualification_r0_w30_b1024,0.31955922865013775,3,G2,distraction,transformer,0.27488151658767773,0.3815789473684211,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,validation,152,30
temporal_r0,qualification_r0_w30_b1024,0.9324522760646109,3,G2,alert,transformer,0.9386548410938654,0.9263311451495259,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,test,1371,30
temporal_r0,qualification_r0_w30_b1024,0.0,3,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,test,25,30
temporal_r0,qualification_r0_w30_b1024,0.41155234657039713,3,G2,distraction,transformer,0.35625,0.48717948717948717,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_3__seed_42,42,test,117,30
temporal_r0,qualification_r0_w30_b1024,0.903420523138833,4,G2,alert,lstm,0.9257731958762887,0.8821218074656189,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,validation,1018,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.3533834586466165,4,G2,distraction,lstm,0.281437125748503,0.47474747474747475,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,validation,99,30
temporal_r0,qualification_r0_w30_b1024,0.8589881593110872,4,G2,alert,lstm,0.888641425389755,0.83125,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,test,960,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,test,4,30
temporal_r0,qualification_r0_w30_b1024,0.25862068965517243,4,G2,distraction,lstm,0.21739130434782608,0.3191489361702128,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_4__seed_42,42,test,141,30
temporal_r0,qualification_r0_w30_b1024,0.9063595393089634,4,G2,alert,tcn,0.9244126659856997,0.8889980353634578,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,validation,1018,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.35019455252918286,4,G2,distraction,tcn,0.2848101265822785,0.45454545454545453,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,validation,99,30
temporal_r0,qualification_r0_w30_b1024,0.85852608929532,4,G2,alert,tcn,0.8876529477196885,0.83125,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,test,960,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,test,4,30
temporal_r0,qualification_r0_w30_b1024,0.25360230547550433,4,G2,distraction,tcn,0.21359223300970873,0.3120567375886525,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_4__seed_42,42,test,141,30
temporal_r0,qualification_r0_w30_b1024,0.905811623246493,4,G2,alert,transformer,0.9243353783231084,0.888015717092338,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,validation,1018,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,validation,20,30
temporal_r0,qualification_r0_w30_b1024,0.3488372093023256,4,G2,distraction,transformer,0.2830188679245283,0.45454545454545453,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,validation,99,30
temporal_r0,qualification_r0_w30_b1024,0.85852608929532,4,G2,alert,transformer,0.8876529477196885,0.83125,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,test,960,30
temporal_r0,qualification_r0_w30_b1024,0.0,4,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,test,4,30
temporal_r0,qualification_r0_w30_b1024,0.25360230547550433,4,G2,distraction,transformer,0.21359223300970873,0.3120567375886525,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_4__seed_42,42,test,141,30
temporal_r0,qualification_r0_w60_b1024,0.8689444161142275,1,G2,alert,lstm,0.8996832101372756,0.8402366863905325,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,qualification_r0_w60_b1024,0.35443037974683544,1,G2,distraction,lstm,0.30042918454935624,0.43209876543209874,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,qualification_r0_w60_b1024,0.7774193548387097,1,G2,alert,lstm,0.9365284974093264,0.6645220588235294,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,lstm,0.0,0.0,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,qualification_r0_w60_b1024,0.6117440841367222,1,G2,distraction,lstm,0.458005249343832,0.920844327176781,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,qualification_r0_w60_b1024,0.90357317670093,1,G2,alert,tcn,0.8969873663751214,0.9102564102564102,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,qualification_r0_w60_b1024,0.38338658146964855,1,G2,distraction,tcn,0.3973509933774834,0.37037037037037035,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,qualification_r0_w60_b1024,0.8930022573363431,1,G2,alert,tcn,0.8775510204081632,0.9090073529411765,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,tcn,0.0,0.0,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,qualification_r0_w60_b1024,0.7251908396946565,1,G2,distraction,tcn,0.7002457002457002,0.7519788918205804,R0,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,qualification_r0_w60_b1024,0.9086538461538461,1,G2,alert,transformer,0.8864915572232646,0.9319526627218935,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,validation,1014,60
temporal_r0,qualification_r0_w60_b1024,0.0,1,G2,fatigue,transformer,0.0,0.0,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,validation,4,60
temporal_r0,qualification_r0_w60_b1024,0.32608695652173914,1,G2,distraction,transformer,0.39473684210526316,0.2777777777777778,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,validation,162,60
temporal_r0,qualification_r0_w60_b1024,0.8358633776091081,1,G2,alert,transformer,0.8637254901960785,0.8097426470588235,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,test,1088,60
temporal_r0,qualification_r0_w60_b1024,0.25,1,G2,fatigue,transformer,0.7692307692307693,0.14925373134328357,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,test,67,60
temporal_r0,qualification_r0_w60_b1024,0.6272727272727273,1,G2,distraction,transformer,0.5508982035928144,0.7282321899736148,R0,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,test,379,60
temporal_r0,qualification_r0_w60_b1024,0.9210526315789473,2,G2,alert,lstm,0.9351145038167938,0.9074074074074074,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,validation,1080,60
