ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,alert,qualification_r0_w150_b1024,836,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,163,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,1,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,93,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,62,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,719,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,371,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,22,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,40,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,30,1,G2,lstm,alert,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,0,1,G2,lstm,fatigue,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,346,1,G2,lstm,distraction,R0,G2__qualification_r0_w150_b1024__lstm__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,935,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,64,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,1,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,107,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,48,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,1000,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,90,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,46,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,fatigue,qualification_r0_w150_b1024,16,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,84,1,G2,tcn,alert,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,distraction,qualification_r0_w150_b1024,292,1,G2,tcn,distraction,R0,G2__qualification_r0_w150_b1024__tcn__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,953,1,G2,transformer,alert,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,46,1,G2,transformer,distraction,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,1,1,G2,transformer,alert,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,fatigue,qualification_r0_w150_b1024,0,1,G2,transformer,distraction,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,118,1,G2,transformer,alert,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,distraction,qualification_r0_w150_b1024,37,1,G2,transformer,distraction,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,validation,150
temporal_r0,alert,qualification_r0_w150_b1024,1016,1,G2,transformer,alert,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,test,150
temporal_r0,alert,qualification_r0_w150_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,42,test,150
