ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,30,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,97,1,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,282,1,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,936,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,86,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,7,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,108,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,57,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,860,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,228,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,35,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,1,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,32,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,110,1,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,1,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,269,1,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_1__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,994,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,92,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,20,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,56,2,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,23,2,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_2__seed_42,42,validation,30
