model,ablation,fold,subset,actual,predicted,count
random_forest,facial_only,3,validation,distraction,fatigue,0
random_forest,facial_only,3,validation,distraction,distraction,52
random_forest,facial_only,3,test,alert,alert,1296
random_forest,facial_only,3,test,alert,fatigue,0
random_forest,facial_only,3,test,alert,distraction,71
random_forest,facial_only,3,test,fatigue,alert,20
random_forest,facial_only,3,test,fatigue,fatigue,0
random_forest,facial_only,3,test,fatigue,distraction,1
random_forest,facial_only,3,test,distraction,alert,61
random_forest,facial_only,3,test,distraction,fatigue,0
random_forest,facial_only,3,test,distraction,distraction,51
xgboost,facial_only,3,validation,alert,alert,785
xgboost,facial_only,3,validation,alert,fatigue,15
xgboost,facial_only,3,validation,alert,distraction,186
xgboost,facial_only,3,validation,fatigue,alert,13
xgboost,facial_only,3,validation,fatigue,fatigue,0
xgboost,facial_only,3,validation,fatigue,distraction,0
xgboost,facial_only,3,validation,distraction,alert,86
xgboost,facial_only,3,validation,distraction,fatigue,2
xgboost,facial_only,3,validation,distraction,distraction,64
xgboost,facial_only,3,test,alert,alert,1252
xgboost,facial_only,3,test,alert,fatigue,5
xgboost,facial_only,3,test,alert,distraction,110
xgboost,facial_only,3,test,fatigue,alert,16
xgboost,facial_only,3,test,fatigue,fatigue,0
xgboost,facial_only,3,test,fatigue,distraction,5
xgboost,facial_only,3,test,distraction,alert,41
xgboost,facial_only,3,test,distraction,fatigue,0
xgboost,facial_only,3,test,distraction,distraction,71
svm,facial_only,4,validation,alert,alert,780
svm,facial_only,4,validation,alert,fatigue,67
svm,facial_only,4,validation,alert,distraction,165
svm,facial_only,4,validation,fatigue,alert,15
svm,facial_only,4,validation,fatigue,fatigue,2
svm,facial_only,4,validation,fatigue,distraction,0
svm,facial_only,4,validation,distraction,alert,39
svm,facial_only,4,validation,distraction,fatigue,16
svm,facial_only,4,validation,distraction,distraction,41
svm,facial_only,4,test,alert,alert,662
svm,facial_only,4,test,alert,fatigue,124
svm,facial_only,4,test,alert,distraction,171
svm,facial_only,4,test,fatigue,alert,0
svm,facial_only,4,test,fatigue,fatigue,0
svm,facial_only,4,test,fatigue,distraction,0
svm,facial_only,4,test,distraction,alert,72
svm,facial_only,4,test,distraction,fatigue,13
svm,facial_only,4,test,distraction,distraction,53
random_forest,facial_only,4,validation,alert,alert,884
random_forest,facial_only,4,validation,alert,fatigue,7
random_forest,facial_only,4,validation,alert,distraction,121
random_forest,facial_only,4,validation,fatigue,alert,17
random_forest,facial_only,4,validation,fatigue,fatigue,0
random_forest,facial_only,4,validation,fatigue,distraction,0
random_forest,facial_only,4,validation,distraction,alert,49
random_forest,facial_only,4,validation,distraction,fatigue,0
random_forest,facial_only,4,validation,distraction,distraction,47
random_forest,facial_only,4,test,alert,alert,794
random_forest,facial_only,4,test,alert,fatigue,1
random_forest,facial_only,4,test,alert,distraction,162
random_forest,facial_only,4,test,fatigue,alert,0
random_forest,facial_only,4,test,fatigue,fatigue,0
random_forest,facial_only,4,test,fatigue,distraction,0
random_forest,facial_only,4,test,distraction,alert,86
random_forest,facial_only,4,test,distraction,fatigue,0
random_forest,facial_only,4,test,distraction,distraction,52
xgboost,facial_only,4,validation,alert,alert,843
xgboost,facial_only,4,validation,alert,fatigue,21
xgboost,facial_only,4,validation,alert,distraction,148
xgboost,facial_only,4,validation,fatigue,alert,16
xgboost,facial_only,4,validation,fatigue,fatigue,0
xgboost,facial_only,4,validation,fatigue,distraction,1
xgboost,facial_only,4,validation,distraction,alert,45
xgboost,facial_only,4,validation,distraction,fatigue,4
