model,ablation,fold,subset,label,precision,recall,f1,support
svm,facial_plus_missingness,1,test,fatigue,0.0,0.0,0.0,67
svm,facial_plus_missingness,1,test,distraction,0.3907766990291262,0.8496042216358839,0.5353283458021613,379
random_forest,facial_plus_missingness,1,validation,alert,0.8912639405204461,0.9457593688362919,0.9177033492822967,1014
random_forest,facial_plus_missingness,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,facial_plus_missingness,1,validation,distraction,0.47115384615384615,0.30246913580246915,0.3684210526315789,162
random_forest,facial_plus_missingness,1,test,alert,0.8154335719968179,0.9420955882352942,0.8742004264392325,1088
random_forest,facial_plus_missingness,1,test,fatigue,0.0,0.0,0.0,67
random_forest,facial_plus_missingness,1,test,distraction,0.7111913357400722,0.5197889182058048,0.600609756097561,379
xgboost,facial_plus_missingness,1,validation,alert,0.9035639412997903,0.8500986193293886,0.8760162601626016,1014
xgboost,facial_plus_missingness,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,facial_plus_missingness,1,validation,distraction,0.3395348837209302,0.4506172839506173,0.38726790450928383,162
xgboost,facial_plus_missingness,1,test,alert,0.8692098092643051,0.8795955882352942,0.8743718592964824,1088
xgboost,facial_plus_missingness,1,test,fatigue,0.0,0.0,0.0,67
xgboost,facial_plus_missingness,1,test,distraction,0.6503496503496503,0.7361477572559367,0.6905940594059405,379
svm,facial_plus_missingness,2,validation,alert,0.9439252336448598,0.7481481481481481,0.8347107438016529,1080
svm,facial_plus_missingness,2,validation,fatigue,0.019801980198019802,0.11764705882352941,0.03389830508474576,17
svm,facial_plus_missingness,2,validation,distraction,0.18981481481481483,0.5394736842105263,0.2808219178082192,76
svm,facial_plus_missingness,2,test,alert,0.938137321549966,0.8784213876511776,0.9072978303747534,1571
svm,facial_plus_missingness,2,test,fatigue,,,,0
svm,facial_plus_missingness,2,test,distraction,0.5967213114754099,0.621160409556314,0.6086956521739131,293
random_forest,facial_plus_missingness,2,validation,alert,0.9407191448007775,0.8962962962962963,0.9179706021811285,1080
random_forest,facial_plus_missingness,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_plus_missingness,2,validation,distraction,0.23357664233576642,0.42105263157894735,0.3004694835680751,76
random_forest,facial_plus_missingness,2,test,alert,0.9305555555555556,0.9382558879694463,0.9343898573692552,1571
random_forest,facial_plus_missingness,2,test,fatigue,,,,0
random_forest,facial_plus_missingness,2,test,distraction,0.6606498194945848,0.6245733788395904,0.6421052631578947,293
xgboost,facial_plus_missingness,2,validation,alert,0.9446185997910136,0.837037037037037,0.8875797741777123,1080
