model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
random_forest,all_features,2,test,fatigue,distraction,0,zero_fill_baseline,30,14
random_forest,all_features,2,test,distraction,alert,105,zero_fill_baseline,30,14
random_forest,all_features,2,test,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,2,test,distraction,distraction,190,zero_fill_baseline,30,14
xgboost,all_features,2,validation,alert,alert,903,zero_fill_baseline,30,14
xgboost,all_features,2,validation,alert,fatigue,11,zero_fill_baseline,30,14
xgboost,all_features,2,validation,alert,distraction,172,zero_fill_baseline,30,14
xgboost,all_features,2,validation,fatigue,alert,16,zero_fill_baseline,30,14
xgboost,all_features,2,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,2,validation,fatigue,distraction,4,zero_fill_baseline,30,14
xgboost,all_features,2,validation,distraction,alert,45,zero_fill_baseline,30,14
xgboost,all_features,2,validation,distraction,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,2,validation,distraction,distraction,34,zero_fill_baseline,30,14
xgboost,all_features,2,test,alert,alert,1440,zero_fill_baseline,30,14
xgboost,all_features,2,test,alert,fatigue,8,zero_fill_baseline,30,14
xgboost,all_features,2,test,alert,distraction,132,zero_fill_baseline,30,14
xgboost,all_features,2,test,fatigue,alert,0,zero_fill_baseline,30,14
xgboost,all_features,2,test,fatigue,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,2,test,fatigue,distraction,0,zero_fill_baseline,30,14
xgboost,all_features,2,test,distraction,alert,104,zero_fill_baseline,30,14
xgboost,all_features,2,test,distraction,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,2,test,distraction,distraction,191,zero_fill_baseline,30,14
svm,all_features,3,validation,alert,alert,802,zero_fill_baseline,30,14
svm,all_features,3,validation,alert,fatigue,24,zero_fill_baseline,30,14
svm,all_features,3,validation,alert,distraction,167,zero_fill_baseline,30,14
svm,all_features,3,validation,fatigue,alert,13,zero_fill_baseline,30,14
svm,all_features,3,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
svm,all_features,3,validation,fatigue,distraction,0,zero_fill_baseline,30,14
svm,all_features,3,validation,distraction,alert,83,zero_fill_baseline,30,14
svm,all_features,3,validation,distraction,fatigue,7,zero_fill_baseline,30,14
svm,all_features,3,validation,distraction,distraction,62,zero_fill_baseline,30,14
svm,all_features,3,test,alert,alert,1234,zero_fill_baseline,30,14
svm,all_features,3,test,alert,fatigue,10,zero_fill_baseline,30,14
svm,all_features,3,test,alert,distraction,127,zero_fill_baseline,30,14
svm,all_features,3,test,fatigue,alert,21,zero_fill_baseline,30,14
svm,all_features,3,test,fatigue,fatigue,1,zero_fill_baseline,30,14
svm,all_features,3,test,fatigue,distraction,3,zero_fill_baseline,30,14
svm,all_features,3,test,distraction,alert,46,zero_fill_baseline,30,14
svm,all_features,3,test,distraction,fatigue,7,zero_fill_baseline,30,14
svm,all_features,3,test,distraction,distraction,64,zero_fill_baseline,30,14
random_forest,all_features,3,validation,alert,alert,857,zero_fill_baseline,30,14
random_forest,all_features,3,validation,alert,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,validation,alert,distraction,136,zero_fill_baseline,30,14
random_forest,all_features,3,validation,fatigue,alert,13,zero_fill_baseline,30,14
random_forest,all_features,3,validation,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,validation,fatigue,distraction,0,zero_fill_baseline,30,14
random_forest,all_features,3,validation,distraction,alert,97,zero_fill_baseline,30,14
random_forest,all_features,3,validation,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,validation,distraction,distraction,55,zero_fill_baseline,30,14
random_forest,all_features,3,test,alert,alert,1291,zero_fill_baseline,30,14
random_forest,all_features,3,test,alert,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,test,alert,distraction,80,zero_fill_baseline,30,14
random_forest,all_features,3,test,fatigue,alert,23,zero_fill_baseline,30,14
random_forest,all_features,3,test,fatigue,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,test,fatigue,distraction,2,zero_fill_baseline,30,14
random_forest,all_features,3,test,distraction,alert,63,zero_fill_baseline,30,14
random_forest,all_features,3,test,distraction,fatigue,0,zero_fill_baseline,30,14
random_forest,all_features,3,test,distraction,distraction,54,zero_fill_baseline,30,14
xgboost,all_features,3,validation,alert,alert,810,zero_fill_baseline,30,14
xgboost,all_features,3,validation,alert,fatigue,11,zero_fill_baseline,30,14
