model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,candidate_id,parameters
random_forest,facial_only,3,validation,1151,0.8088618592528236,0.40934041493185297,0.40777170613236186,0.40777170613236186,"[""alert"", ""fatigue"", ""distraction""]",[],0.9576485999987199,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,facial_only,3,test,1500,0.8986666666666666,0.45712065001567564,0.45369331606067714,0.45369331606067714,"[""alert"", ""fatigue"", ""distraction""]",[],0.9576485999987199,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,facial_only,3,validation,1151,0.7289313640312771,0.407916978043486,0.3885831975242347,0.3885831975242347,"[""alert"", ""fatigue"", ""distraction""]",[],0.6485892000000604,False,61d28dd004ab,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_only,3,test,1500,0.8786666666666667,0.5208463963493225,0.47542239208905873,0.47542239208905873,"[""alert"", ""fatigue"", ""distraction""]",[],0.6485892000000604,False,61d28dd004ab,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_only,4,validation,1125,0.7617777777777778,0.43313570487483527,0.4019873462931782,0.4019873462931782,"[""alert"", ""fatigue"", ""distraction""]",[],0.5061499000003096,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
svm,facial_only,4,test,1095,0.6666666666666666,0.5209327154604516,0.5327860363314991,0.3551906908876661,"[""alert"", ""distraction""]","[""fatigue""]",0.5061499000003096,False,3f2d5a9c37df,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}"
random_forest,facial_only,4,validation,1125,0.8391111111111111,0.45550614844093107,0.4254823807115158,0.4254823807115158,"[""alert"", ""fatigue"", ""distraction""]",[],2.1968125000003056,False,b488d33d0ae3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,facial_only,4,test,1095,0.7744292237442922,0.6011880423424651,0.5790486981505317,0.3860324654336878,"[""alert"", ""distraction""]","[""fatigue""]",2.1968125000003056,False,b488d33d0ae3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_only,4,validation,1125,0.7662222222222222,0.47333953344183527,0.4183378192469413,0.4183378192469413,"[""alert"", ""fatigue"", ""distraction""]",[],0.5757479000003514,False,5019e0e4e655,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_only,4,test,1095,0.6721461187214612,0.5488732906274135,0.5390666348900768,0.3593777565933845,"[""alert"", ""distraction""]","[""fatigue""]",0.5757479000003514,False,5019e0e4e655,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_plus_missingness,1,validation,1180,0.7211864406779661,0.6670745367326564,0.43228636106395024,0.43228636106395024,"[""alert"", ""fatigue"", ""distraction""]",[],1.8906924000002618,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,facial_plus_missingness,1,test,1534,0.5795306388526728,0.456914642506079,0.3998839067143701,0.3998839067143701,"[""alert"", ""fatigue"", ""distraction""]",[],1.8906924000002618,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,facial_plus_missingness,1,validation,1180,0.8542372881355932,0.41607616821292037,0.42870813397129187,0.42870813397129187,"[""alert"", ""fatigue"", ""distraction""]",[],0.8143266999995831,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,facial_plus_missingness,1,test,1534,0.7966101694915254,0.4872948354803663,0.4916033941789311,0.4916033941789311,"[""alert"", ""fatigue"", ""distraction""]",[],0.8143266999995831,False,1f3f5b7a1f13,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,facial_plus_missingness,1,validation,1180,0.7923728813559322,0.4335719677600019,0.42109472155729516,0.42109472155729516,"[""alert"", ""fatigue"", ""distraction""]",[],6.859502999999677,False,900dbedc225b,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_plus_missingness,1,test,1534,0.8057366362451108,0.5385811151637436,0.521655306234141,0.521655306234141,"[""alert"", ""fatigue"", ""distraction""]",[],6.859502999999677,False,900dbedc225b,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,facial_plus_missingness,2,validation,1173,0.7254901960784313,0.46842296372740133,0.3831436555648726,0.3831436555648726,"[""alert"", ""fatigue"", ""distraction""]",[],0.41146779999871796,False,4f4f2e972d2b,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}"
svm,facial_plus_missingness,2,test,1864,0.8379828326180258,0.7497908986037458,0.7579967412743333,0.5053311608495555,"[""alert"", ""distraction""]","[""fatigue""]",0.41146779999871796,False,4f4f2e972d2b,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}"
random_forest,facial_plus_missingness,2,validation,1173,0.8525149190110827,0.4391163092917479,0.4061466952497345,0.4061466952497345,"[""alert"", ""fatigue"", ""distraction""]",[],0.859969999999521,False,cfdf5414a6fe,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,facial_plus_missingness,2,test,1864,0.8889484978540773,0.7814146334045183,0.788247560263575,0.52549837350905,"[""alert"", ""distraction""]","[""fatigue""]",0.859969999999521,False,cfdf5414a6fe,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,facial_plus_missingness,2,validation,1173,0.803921568627451,0.4500649772579597,0.3910980199639993,0.3910980199639993,"[""alert"", ""fatigue"", ""distraction""]",[],6.581161699999939,False,7aa0faebcd59,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
