model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,preprocessing,window_size_frames,num_features
xgboost,all_features,4,test,1105,0.7230769230769231,0.3923906619385343,0.3694141003861778,0.3694141003861778,"[""alert"", ""fatigue"", ""distraction""]",[],4.576862899999469,True,short_gap_interpolation,30,14
svm,all_features,1,validation,1194,0.6599664991624791,0.6103658898179446,0.39387530782916996,0.39387530782916996,"[""alert"", ""fatigue"", ""distraction""]",[],0.42109249999884923,True,short_gap_interpolation_with_flags,30,17
svm,all_features,1,test,1535,0.6931596091205212,0.49564934812975325,0.47201065727381514,0.47201065727381514,"[""alert"", ""fatigue"", ""distraction""]",[],0.42109249999884923,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,validation,1194,0.8316582914572864,0.4136590958508766,0.4197055064087886,0.4197055064087886,"[""alert"", ""fatigue"", ""distraction""]",[],1.1399968999994599,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,test,1535,0.8104234527687296,0.5152410238501733,0.5127283332007742,0.5127283332007742,"[""alert"", ""fatigue"", ""distraction""]",[],1.1399968999994599,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,validation,1194,0.7805695142378559,0.4140919962837771,0.4047990905420624,0.4047990905420624,"[""alert"", ""fatigue"", ""distraction""]",[],4.554844899999807,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,test,1535,0.78371335504886,0.5244588765585391,0.5068775595611754,0.5068775595611754,"[""alert"", ""fatigue"", ""distraction""]",[],4.554844899999807,True,short_gap_interpolation_with_flags,30,17
svm,all_features,2,validation,1185,0.7662447257383966,0.48498651809372834,0.4063662368446848,0.4063662368446848,"[""alert"", ""fatigue"", ""distraction""]",[],0.3150196999995387,True,short_gap_interpolation_with_flags,30,17
svm,all_features,2,test,1875,0.8570666666666666,0.7676947007080026,0.7639308605653042,0.5092872403768695,"[""alert"", ""distraction""]","[""fatigue""]",0.3150196999995387,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,validation,1185,0.8202531645569621,0.40397929925169596,0.3767802877750522,0.3767802877750522,"[""alert"", ""fatigue"", ""distraction""]",[],1.0872889999991457,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,test,1875,0.8282666666666667,0.6072462990774512,0.630237166991553,0.420158111327702,"[""alert"", ""distraction""]","[""fatigue""]",1.0872889999991457,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,validation,1185,0.7924050632911392,0.4016753308312158,0.36800915500756765,0.36800915500756765,"[""alert"", ""fatigue"", ""distraction""]",[],6.139415399999052,True,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,test,1875,0.8192,0.6073803904741472,0.6270956297975728,0.4180637531983819,"[""alert"", ""distraction""]","[""fatigue""]",6.139415399999052,True,short_gap_interpolation_with_flags,30,17
svm,all_features,3,validation,1158,0.7547495682210709,0.4029677037508171,0.39178697960899367,0.39178697960899367,"[""alert"", ""fatigue"", ""distraction""]",[],0.33736989999852085,True,short_gap_interpolation_with_flags,30,17
svm,all_features,3,test,1513,0.8704560475875743,0.4922525824932828,0.4686249467858663,0.4686249467858663,"[""alert"", ""fatigue"", ""distraction""]",[],0.33736989999852085,True,short_gap_interpolation_with_flags,30,17
random_forest,all_features,3,validation,1158,0.7780656303972366,0.38231435840356176,0.38356650554005806,0.38356650554005806,"[""alert"", ""fatigue"", ""distraction""]",[],1.1480454000011378,True,short_gap_interpolation_with_flags,30,17
