video_id,category,label,num_frames,duration_seconds_estimated,percentage_video,percentage_dataset
video_01,behavior,alert,16280,903.2915765470278,50.85434042420267,13.307503044867865
video_01,behavior,distraction,5695,315.9855975697373,17.78964795551807,4.655173823127917
video_01,behavior,fatigue,1027,56.98282856964359,3.208071720863399,0.839484375127721
video_01,operational,operator_absent,9011,499.97299731359135,28.147939899415864,7.365719283618202
video_02,behavior,alert,23738,1510.44894,84.177304964539,19.40377808839517
video_02,behavior,distraction,4462,283.91706,15.822695035460994,3.6473021244594848
video_03,behavior,alert,20624,1212.6869846377003,67.98971451176897,16.858350294677816
video_03,behavior,distraction,1785,104.95763516186457,5.884486055251533,1.459084332622183
video_03,behavior,fatigue,391,22.990720083075097,1.2889826597217644,0.3196089490505734
video_03,operational,operator_absent,7534,442.99766011736006,24.83681677325773,6.158398522115141
video_04,behavior,alert,14422,809.6095243158226,45.36646744259201,11.788747476233683
video_04,behavior,distraction,2139,120.0772966656181,6.728530984586348,1.748448956570784
video_04,behavior,fatigue,70,3.9295983013526263,0.2201950298836112,0.05721899343616404
video_04,operational,operator_absent,15159,850.9825807172066,47.684806542938034,12.391181735697295
