model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
svm,all_features,4,validation,distraction,0.21052631578947367,0.4444444444444444,0.2857142857142857,99,zero_fill_baseline,30,14
svm,all_features,4,test,alert,0.8845637583892617,0.6864583333333333,0.7730205278592376,960,zero_fill_baseline,30,14
svm,all_features,4,test,fatigue,0.0,0.0,0.0,4,zero_fill_baseline,30,14
svm,all_features,4,test,distraction,0.2,0.3333333333333333,0.25,141,zero_fill_baseline,30,14
random_forest,all_features,4,validation,alert,0.9288702928870293,0.8722986247544204,0.8996960486322189,1018,zero_fill_baseline,30,14
random_forest,all_features,4,validation,fatigue,0.0,0.0,0.0,20,zero_fill_baseline,30,14
random_forest,all_features,4,validation,distraction,0.2722222222222222,0.494949494949495,0.35125448028673834,99,zero_fill_baseline,30,14
random_forest,all_features,4,test,alert,0.8896551724137931,0.80625,0.8459016393442623,960,zero_fill_baseline,30,14
random_forest,all_features,4,test,fatigue,0.0,0.0,0.0,4,zero_fill_baseline,30,14
random_forest,all_features,4,test,distraction,0.2094017094017094,0.3475177304964539,0.2613333333333333,141,zero_fill_baseline,30,14
xgboost,all_features,4,validation,alert,0.9274725274725275,0.8290766208251473,0.8755186721991701,1018,zero_fill_baseline,30,14
xgboost,all_features,4,validation,fatigue,0.0,0.0,0.0,20,zero_fill_baseline,30,14
xgboost,all_features,4,validation,distraction,0.2237442922374429,0.494949494949495,0.3081761006289308,99,zero_fill_baseline,30,14
xgboost,all_features,4,test,alert,0.8914354644149578,0.7697916666666667,0.8261598658468418,960,zero_fill_baseline,30,14
xgboost,all_features,4,test,fatigue,0.0,0.0,0.0,4,zero_fill_baseline,30,14
xgboost,all_features,4,test,distraction,0.20676691729323307,0.3900709219858156,0.2702702702702703,141,zero_fill_baseline,30,14
svm,all_features,1,validation,alert,0.8865853658536585,0.7113502935420744,0.7893593919652552,1022,short_gap_interpolation,30,14
svm,all_features,1,validation,fatigue,0.02702702702702703,0.42857142857142855,0.05084745762711865,7,short_gap_interpolation,30,14
