video_id,start,end_exclusive,reason
video_01,17460,17550,missing_indicator
video_01,17550,17640,missing_indicator
video_01,17640,17730,missing_indicator
video_01,17730,17820,missing_indicator
video_01,17820,17910,missing_indicator
video_01,17910,18000,missing_indicator
video_01,18000,18090,missing_indicator
video_01,18090,18180,missing_indicator
video_01,18180,18270,missing_indicator
video_01,18270,18360,missing_indicator
video_01,18360,18450,missing_indicator
video_01,18450,18540,missing_indicator
video_01,18540,18630,missing_indicator
video_01,18630,18720,missing_indicator
video_01,18720,18810,missing_indicator
video_01,18810,18900,missing_indicator
video_01,18900,18990,missing_indicator
video_01,18990,19080,missing_indicator
video_01,19080,19170,missing_indicator
video_01,19170,19260,missing_indicator
video_01,19260,19350,missing_indicator
video_01,19350,19440,absent_unknown_or_missing_frame
video_01,19440,19530,absent_unknown_or_missing_frame
video_01,19530,19620,absent_unknown_or_missing_frame
video_01,19620,19710,absent_unknown_or_missing_frame
video_01,19710,19800,absent_unknown_or_missing_frame
video_01,19800,19890,absent_unknown_or_missing_frame
video_01,19890,19980,absent_unknown_or_missing_frame
video_01,19980,20070,absent_unknown_or_missing_frame
video_01,20070,20160,absent_unknown_or_missing_frame
video_01,20160,20250,absent_unknown_or_missing_frame
video_01,20250,20340,absent_unknown_or_missing_frame
video_01,20340,20430,absent_unknown_or_missing_frame
video_01,20430,20520,absent_unknown_or_missing_frame
video_01,20520,20610,absent_unknown_or_missing_frame
video_01,20610,20700,absent_unknown_or_missing_frame
video_01,20700,20790,absent_unknown_or_missing_frame
video_01,20790,20880,absent_unknown_or_missing_frame
video_01,20880,20970,absent_unknown_or_missing_frame
video_01,20970,21060,absent_unknown_or_missing_frame
video_01,21060,21150,absent_unknown_or_missing_frame
video_01,21150,21240,absent_unknown_or_missing_frame
video_01,21240,21330,absent_unknown_or_missing_frame
video_01,21330,21420,absent_unknown_or_missing_frame
video_01,21420,21510,absent_unknown_or_missing_frame
video_01,21510,21600,absent_unknown_or_missing_frame
video_01,21600,21690,absent_unknown_or_missing_frame
video_01,21690,21780,absent_unknown_or_missing_frame
video_01,21780,21870,absent_unknown_or_missing_frame
video_01,21870,21960,absent_unknown_or_missing_frame
video_01,21960,22050,absent_unknown_or_missing_frame
video_01,22050,22140,absent_unknown_or_missing_frame
video_01,22140,22230,absent_unknown_or_missing_frame
video_01,22230,22320,absent_unknown_or_missing_frame
video_01,22320,22410,absent_unknown_or_missing_frame
video_01,22410,22500,absent_unknown_or_missing_frame
video_01,22500,22590,absent_unknown_or_missing_frame
video_01,22590,22680,absent_unknown_or_missing_frame
video_01,22680,22770,absent_unknown_or_missing_frame
video_01,22770,22860,absent_unknown_or_missing_frame
video_01,22860,22950,absent_unknown_or_missing_frame
video_01,22950,23040,absent_unknown_or_missing_frame
video_01,23040,23130,absent_unknown_or_missing_frame
video_01,23130,23220,absent_unknown_or_missing_frame
video_01,23220,23310,absent_unknown_or_missing_frame
video_01,23310,23400,absent_unknown_or_missing_frame
video_01,23400,23490,absent_unknown_or_missing_frame
video_01,23490,23580,absent_unknown_or_missing_frame
video_01,23580,23670,absent_unknown_or_missing_frame
video_01,23670,23760,absent_unknown_or_missing_frame
video_01,23760,23850,absent_unknown_or_missing_frame
video_01,23850,23940,absent_unknown_or_missing_frame
video_01,23940,24030,absent_unknown_or_missing_frame
video_01,24030,24120,absent_unknown_or_missing_frame
video_01,24120,24210,absent_unknown_or_missing_frame
video_01,24210,24300,absent_unknown_or_missing_frame
video_01,24300,24390,absent_unknown_or_missing_frame
video_01,24390,24480,absent_unknown_or_missing_frame
video_01,24480,24570,absent_unknown_or_missing_frame
video_01,24570,24660,absent_unknown_or_missing_frame
video_01,24660,24750,absent_unknown_or_missing_frame
video_01,24750,24840,absent_unknown_or_missing_frame
video_01,24840,24930,absent_unknown_or_missing_frame
video_01,24930,25020,absent_unknown_or_missing_frame
video_01,25020,25110,absent_unknown_or_missing_frame
video_01,25110,25200,absent_unknown_or_missing_frame
video_01,25200,25290,absent_unknown_or_missing_frame
video_01,25290,25380,absent_unknown_or_missing_frame
video_01,25380,25470,absent_unknown_or_missing_frame
video_01,25470,25560,missing_indicator
video_01,25560,25650,missing_indicator
video_01,25650,25740,missing_indicator
video_01,25740,25830,missing_indicator
video_01,25830,25920,missing_indicator
video_01,25920,26010,missing_indicator
video_01,26010,26100,absent_unknown_or_missing_frame
video_01,26100,26190,absent_unknown_or_missing_frame
video_01,26190,26280,absent_unknown_or_missing_frame
video_01,26280,26370,absent_unknown_or_missing_frame
video_01,26370,26460,absent_unknown_or_missing_frame
video_01,26460,26550,absent_unknown_or_missing_frame
video_01,26550,26640,absent_unknown_or_missing_frame
video_01,26640,26730,absent_unknown_or_missing_frame
video_01,26730,26820,absent_unknown_or_missing_frame
video_01,26820,26910,absent_unknown_or_missing_frame
video_01,26910,27000,absent_unknown_or_missing_frame
video_01,27000,27090,absent_unknown_or_missing_frame
video_01,27090,27180,absent_unknown_or_missing_frame
