reference,compared,frames,face_disagreements,common_valid,ear_paired_n,ear_mae,ear_max,mar_paired_n,mar_mae,mar_max,pitch_paired_n,pitch_mae,pitch_max,yaw_paired_n,yaw_mae,yaw_max,roll_paired_n,roll_mae,roll_max
torch_cpu,torch_cuda,795,0,161,161,6.030386299259922e-05,0.0008313025731996604,161,4.886357350191393e-05,0.0004997817395697157,161,0.22492244235401582,34.22100887009046,161,0.013783061396446111,0.7050757206524452,161,0.23520187332786355,36.520839450957624
torch_cpu,mediapipe_tracking,795,245,150,150,0.12506690934116554,0.2870455368747536,150,0.0385502196748983,0.3028767356554811,150,7.159455965566655,85.39737979481924,150,9.23461711007388,165.4699582212346,150,11.86427349416675,77.23779733792996
torch_cpu,mediapipe_static,795,136,131,131,0.10394938258124364,0.24979675513946956,131,0.032236248746559754,0.23588513688114884,131,6.025416818473802,89.98399793273995,131,10.945265121695343,167.33964106825772,131,6.4945449957370895,61.13277569320134
