video_id,frame_index,clip_id,state,timestamp_seconds,backend,detector_found,presence,elapsed_ms,selected_eye,ear,mar,pitch,yaw,roll,face_mesh_detected,indicators_accepted,all_indicators_valid,detection_status,ear_valid,ear_status,mar_valid,mar_status,head_pose_valid,head_pose_status
video_01,13296,0,alert,738.2330000000001,torch_cpu,True,0.7900683879852295,41.775900004722644,"[33, 160, 158, 133, 153, 144]",0.3643744596028722,0.22323471109492168,-38.778229580592594,-10.224362223008383,-175.67221071543773,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13296,0,alert,738.2330000000001,mediapipe_tracking,,,6.133200004114769,"[33, 160, 158, 133, 153, 144]",0.1671956244428048,0.0010294373765231933,-32.32978420370847,-25.51351096256677,-147.10701511346895,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13296,0,alert,738.2330000000001,mediapipe_static,,,9.695599997940008,None,,,,,,0,0,0,face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing
video_01,13297,0,alert,738.299,torch_cpu,True,0.6069304347038269,49.96270000265213,"[33, 160, 158, 133, 153, 144]",0.3397326407310193,0.054157559346611574,-36.35897138970059,-13.588400086956218,-165.9649068867173,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13297,0,alert,738.299,torch_cuda,True,0.6064849495887756,26.791800002683885,"[33, 160, 158, 133, 153, 144]",0.33975636380464913,0.0541661667725597,-36.358887107309044,-13.586038072802335,-165.96810091373638,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13297,0,alert,738.299,mediapipe_tracking,,,7.969199999934062,"[33, 160, 158, 133, 153, 144]",0.18799308529337005,0.005839376329019216,-31.304875914987207,-24.793930671420753,-146.19933536309404,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13297,0,alert,738.299,mediapipe_static,,,9.263300002203323,None,,,,,,0,0,0,face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing,0,not_evaluated_face_mesh_missing
video_01,13298,0,alert,738.366,torch_cuda,True,0.8380216956138611,24.92999999958556,"[33, 160, 158, 133, 153, 144]",0.3256541425617218,0.01652038997520059,-34.0533902880062,-18.383135742682235,-158.43221794614627,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13298,0,alert,738.366,torch_cpu,True,0.8399261832237244,42.73990000365302,"[33, 160, 158, 133, 153, 144]",0.3257128741332988,0.01656779048563196,-34.06507377928924,-18.38655494334605,-158.42709374689065,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13298,0,alert,738.366,mediapipe_tracking,,,6.223299998964649,"[33, 160, 158, 133, 153, 144]",0.2063608719462564,0.0071576505907508265,-31.528072430782977,-24.88029058294824,-148.52350107107236,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13298,0,alert,738.366,mediapipe_static,,,11.00869999936549,"[33, 160, 158, 133, 153, 144]",0.1185245568500805,0.004196363772006779,-28.559843084852687,-19.68211128358406,-151.45857798638383,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13299,0,alert,738.433,torch_cpu,True,0.8010326027870178,43.91929999837885,"[33, 160, 158, 133, 153, 144]",0.2981775769680378,0.027918184098621103,-38.19324745072571,-19.256667030936402,-158.23887584210527,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13299,0,alert,738.433,torch_cuda,True,0.7996469736099243,24.71739999600686,"[33, 160, 158, 133, 153, 144]",0.29822141917609774,0.02791727613630906,-38.1988679093125,-19.26340421764535,-158.23492077830286,1,1,1,both_detected,1,ok,1,ok,1,ok
video_01,13299,0,alert,738.433,mediapipe_tracking,,,7.165499999246094,"[33, 160, 158, 133, 153, 144]",0.18723274666515655,0.0005792602519858608,-31.113800922646742,-25.337868069421678,-146.05095087785273,1,1,1,both_detected,1,ok,1,ok,1,ok
