run_id,generation,configuration_id,representation,window_size_frames,model,fold,seed,epoch,training_loss,validation_loss,training_macro_f1,validation_macro_f1,training_accuracy,validation_accuracy,learning_rate
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,6,0.4039465379596754,0.44947768308348574,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.001
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,7,0.4069108156586048,0.4415694160986755,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.0005
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,8,0.3958397724789512,0.43383264122372966,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.0005
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,9,0.3867877901505493,0.43489341074127263,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.0005
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,10,0.38645555283545263,0.4334756108411288,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.0005
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,11,0.382553044130531,0.4308680654582331,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.00025
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,12,0.3804611191684556,0.42827789743067857,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.00025
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,13,0.3788494046236067,0.4270077979665692,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.00025
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,14,0.37722805698367884,0.4260373395883431,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.00025
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,15,0.3763142373767252,0.4255897385589147,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.000125
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,16,0.3757054128253796,0.4251535713672638,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.000125
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,tcn,1,42,17,0.3747470486559364,0.4247603862467459,0.3116025746822908,0.3081130355515041,0.8775952897427952,0.8593220338983051,0.000125
