model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r1,1,validation,alert,0.8649350649350649,1.0,0.9275766016713092,999,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,1,validation,fatigue,0.0,0.0,0.0,1,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,1,validation,distraction,0.0,0.0,0.0,155,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,1,test,alert,0.7078103207810321,0.9311926605504587,0.8042789223454834,1090,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,1,test,fatigue,0.2608695652173913,0.0967741935483871,0.1411764705882353,62,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,1,test,distraction,0.15492957746478872,0.02925531914893617,0.049217002237136466,376,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,validation,alert,0.9258620689655173,1.0,0.9615040286481648,1074,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,validation,fatigue,0.0,0.0,0.0,12,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,validation,distraction,0.0,0.0,0.0,74,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,test,alert,0.8473655621944596,1.0,0.9173772419876507,1560,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,test,fatigue,,,,0,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,2,test,distraction,0.0,0.0,0.0,281,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_2__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,validation,alert,0.8613333333333333,1.0,0.9255014326647565,969,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,validation,fatigue,0.0,0.0,0.0,11,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,validation,distraction,0.0,0.0,0.0,145,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,test,alert,0.9142665773610181,1.0,0.9552134359692093,1365,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,test,fatigue,0.0,0.0,0.0,22,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,3,test,distraction,0.0,0.0,0.0,106,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_3__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,validation,alert,0.9067873303167421,1.0,0.9511153298528714,1002,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,validation,fatigue,0.0,0.0,0.0,12,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,validation,distraction,0.0,0.0,0.0,91,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,test,alert,0.879182156133829,1.0,0.9357072205736894,946,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,test,fatigue,,,,0,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
transformer,temporal_r1,4,test,distraction,0.0,0.0,0.0,130,G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_4__seed_42,G3,qualification_r1_w150_b1024,R1,150,42
