model,subset,comparison,metric,n_folds,mean_delta,standard_deviation,minimum,maximum
tcn,validation,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R0,macro_f1_all_classes,4,-0.050757796333772046,0.05501426346812008,-0.12087355050535542,-0.004886411959110493
tcn,validation,R2-R1,balanced_accuracy,4,0.04237929680963534,0.05863849178297271,0.0,0.12432751427316646
tcn,validation,R2-R1,distraction_f1,4,0.11065793551875812,0.17081408420760383,0.0,0.36015325670498083
tcn,validation,R2-R1,fatigue_f1,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R1,fatigue_predictions,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R1,fatigue_recall,4,0.0,0.0,0.0,0.0
tcn,validation,R2-R1,macro_f1_all_classes,4,0.04497783948061415,0.05367936965963181,0.0,0.10657494494668368
transformer,test,R1-R0,balanced_accuracy,4,-0.1558362022072022,0.10970812817912066,-0.2921126471393376,-0.03302162953325738
transformer,test,R1-R0,distraction_f1,4,-0.4677998981703032,0.22651303292013653,-0.6543841057961046,-0.18556701030927836
transformer,test,R1-R0,fatigue_f1,4,0.03529411764705882,0.07058823529411765,0.0,0.1411764705882353
transformer,test,R1-R0,fatigue_predictions,4,5.75,11.5,0.0,23.0
transformer,test,R1-R0,fatigue_recall,4,0.024193548387096774,0.04838709677419354,0.0,0.0967741935483871
transformer,test,R1-R0,macro_f1_all_classes,4,-0.14698376445837985,0.082476059429217,-0.2222826840970082,-0.04083630103849745
transformer,test,R2-R0,balanced_accuracy,4,-0.00048432689725982914,0.011813708171643924,-0.017646923307300666,0.00922101154659305
transformer,test,R2-R0,distraction_f1,4,0.0007159423558930691,0.025618863457680347,-0.03740779768177027,0.016519809326207113
transformer,test,R2-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
transformer,test,R2-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
transformer,test,R2-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
transformer,test,R2-R0,macro_f1_all_classes,4,0.0015176390505662607,0.009793922028106836,-0.01251412028458665,0.009033858999218491
transformer,test,R2-R1,balanced_accuracy,4,0.15535187530994238,0.11037942346145677,0.04224264107985043,0.2943231590473583
transformer,test,R2-R1,distraction_f1,4,0.46851584052619627,0.2370495361045559,0.19455252918287938,0.669150344701639
transformer,test,R2-R1,fatigue_f1,4,-0.03529411764705882,0.07058823529411765,-0.1411764705882353,0.0
transformer,test,R2-R1,fatigue_predictions,4,-5.75,11.5,-23.0,0.0
transformer,test,R2-R1,fatigue_recall,4,-0.024193548387096774,0.04838709677419354,-0.0967741935483871,0.0
transformer,test,R2-R1,macro_f1_all_classes,4,0.1485014035089461,0.08307383277500023,0.04987016003771594,0.22962253887975986
transformer,validation,R1-R0,balanced_accuracy,4,-0.08987988005039577,0.032027677691560355,-0.12072407603133861,-0.060322882934177924
transformer,validation,R1-R0,distraction_f1,4,-0.3138714433141678,0.02686501170227485,-0.3508771929824561,-0.2866666666666667
transformer,validation,R1-R0,fatigue_f1,4,0.0,0.0,0.0,0.0
transformer,validation,R1-R0,fatigue_predictions,4,0.0,0.0,0.0,0.0
transformer,validation,R1-R0,fatigue_recall,4,0.0,0.0,0.0,0.0
transformer,validation,R1-R0,macro_f1_all_classes,4,-0.0942607071175679,0.011376385950051023,-0.10618119633930317,-0.08170867951344402
