model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r2,2,test,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,2,test,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,2,test,distraction,alert,101,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,2,test,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,2,test,distraction,distraction,180,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,alert,alert,885,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,alert,distraction,84,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,fatigue,alert,11,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,distraction,alert,106,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,validation,distraction,distraction,39,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,alert,alert,1299,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,alert,distraction,66,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,fatigue,alert,22,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,fatigue,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,fatigue,distraction,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,distraction,alert,70,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,distraction,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,3,test,distraction,distraction,36,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,alert,alert,937,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,alert,fatigue,0,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,alert,distraction,65,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
transformer,temporal_r2,4,validation,fatigue,alert,12,G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,G3,qualification_r2_w150_b1024,R2,150,42
